Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments,Sales Pressure,Flow Rate Sales,Flow Rate Flare
VRE Minerals #1,1/2/2025,0,1,0,0,0,,18.71,0.93,0
Moreland #1,1/1/2025,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,1/1/2025,0,1,0,0,0,,18.53,0.31,0
Moreland #1,12/31/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/31/2024,0,1,0,0,0,,18.91,0.5,0
Moreland #1,12/30/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/30/2024,0,1,0,0,0,Off,19.21,0.65,0
Moreland #1,12/29/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/29/2024,0,1,0,0,0,Off,23.99,0.76,0
Moreland #1,12/28/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/28/2024,0,1,0,0,0,Off,27,1.04,0
Moreland #1,12/27/2024,0,0,0,0,0,,,,
VRE Minerals #1,12/27/2024,0,1,0,0,0,Off,25.15,0.84,0
Moreland #1,12/26/2024,0,0,0,0,0,,,,
VRE Minerals #1,12/26/2024,0,1,0,0,0,Off,24.32,1.1,0
Moreland #1,12/25/2024,0,0,0,0,0,,,,
VRE Minerals #1,12/25/2024,0,1,0,0,0,Off,24.44,0.96,0
Moreland #1,12/24/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/24/2024,0,1,0,0,0,,24.68,0.69,0
Moreland #1,12/23/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/23/2024,0,0,0,0,0,,25.12,0.66,0
Moreland #1,12/22/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/22/2024,0,0,0,0,0,,24.79,0.4,0
Moreland #1,12/21/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/21/2024,0,1,0,0,0,Off,24.62,0.56,0
Moreland #1,12/20/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/20/2024,0,1,0,0,0,Off,23.98,0.59,0
Moreland #1,12/19/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/19/2024,0,1,0,0,0,Off,28.99,0.42,0
Moreland #1,12/18/2024,0,0,0,0,0,,,,
VRE Minerals #1,12/18/2024,0,1,0,0,0,Off,33.35,0.81,0
Moreland #1,12/17/2024,0,0,0,0,0,,,,
VRE Minerals #1,12/17/2024,0,1,0,0,0,Off,34.62,1.3,0
Moreland #1,12/16/2024,0,0,0,0,0,,,,
VRE Minerals #1,12/16/2024,0,1,0,0,0,Off,35.05,0.63,0
Moreland #1,12/15/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/15/2024,0,0,0,0,0,,35.89,0.62,0
Moreland #1,12/14/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/14/2024,0,0,0,0,0,,30.28,0.45,0
Moreland #1,12/13/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/13/2024,0,0,0,0,0,,19.35,0.31,0
Moreland #1,12/12/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/12/2024,0,0,0,0,0,Off,18.9,0.06,0
Moreland #1,12/11/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/11/2024,0,0,0,0,0,Off,20.13,0.02,0
Moreland #1,12/10/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/10/2024,0,0,0,0,0,Off,21.81,0.06,0
Moreland #1,12/9/2024,0,0,0,0,0,Off,,,
VRE Minerals #1,12/9/2024,0,1,0,0,0,Off,24.65,0.49,0
Moreland #1,12/8/2024,0,0,0,0,0,Off,,,
VRE Minerals #1,12/8/2024,0,0,0,0,0,Off,29.63,0.68,0
Moreland #1,12/7/2024,0,0,0,0,0,Off,,,
VRE Minerals #1,12/7/2024,0,0,0,0,0,Off,31.08,0.02,0
Moreland #1,12/6/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/6/2024,0,0,0,0,0,,41.62,0.18,0
Moreland #1,12/5/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/5/2024,0,0,0,0,0,,28.12,0.19,0
Moreland #1,12/4/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/4/2024,0,0,0,0,0,,14.68,0.12,0
Moreland #1,12/3/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/3/2024,0,0,0,0,0,Off,14.79,0.03,0
Moreland #1,12/2/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/2/2024,0,0,0,0,0,Off,14.76,0.03,0
Moreland #1,12/1/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,12/1/2024,0,0,0,0,0,Off,14.71,0.23,0
Moreland #1,11/30/2024,0,0,0,0,0,,,,
VRE Minerals #1,11/30/2024,0,0,0,0,0,Off,14.72,0.19,0
Moreland #1,11/29/2024,0,0,0,0,0,,,,
VRE Minerals #1,11/29/2024,0,0,0,0,0,Off,14.75,0.1,0
Moreland #1,11/28/2024,0,0,0,0,0,,,,
VRE Minerals #1,11/28/2024,0,0,0,0,0,Off,14.63,0.03,0
Moreland #1,11/27/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/27/2024,0,0,0,0,0,,14.56,0.56,0
Moreland #1,11/26/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/26/2024,0,0,0,0,0,,14.68,0.02,0
Moreland #1,11/25/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/25/2024,0,0,0,0,0,,14.63,0.39,0
Moreland #1,11/24/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/24/2024,0,0,0,0,0,Off,14.57,0.34,0
Moreland #1,11/23/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/23/2024,0,0,0,0,0,Off,14.63,0.24,0
Moreland #1,11/22/2024,0,0,0,0,0,,,,
VRE Minerals #1,11/22/2024,0,0,0,0,0,Off,14.68,0.22,0
Moreland #1,11/21/2024,0,0,0,0,0,Off,,,
VRE Minerals #1,11/21/2024,0,0,0,0,0,Off,14.73,0.17,0
Moreland #1,11/20/2024,0,0,0,0,0,Off,,,
VRE Minerals #1,11/20/2024,0,1,0,0,0,Off,15.7,0.23,0
Moreland #1,11/19/2024,0,0,0,0,0,Off,,,
VRE Minerals #1,11/19/2024,0,0,0,0,0,Off,28.39,0.48,0
Moreland #1,11/18/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/18/2024,0,0,0,0,0,,21.74,0.29,0
Moreland #1,11/17/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/17/2024,0,0,0,0,0,,22.25,0.37,0
Moreland #1,11/16/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/16/2024,0,0,0,0,0,,22.85,0.29,0
Moreland #1,11/15/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/15/2024,0,1,0,0,0,Off,21.87,0.27,0
Moreland #1,11/14/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/14/2024,0,0,0,0,0,Off,23.91,0.49,0
Moreland #1,11/13/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/13/2024,0,0,0,0,0,Off,22.2,0.36,0
Moreland #1,11/12/2024,0,0,0,0,0,,,,
VRE Minerals #1,11/12/2024,0,1,0,0,0,Off,38.73,0.45,0
Moreland #1,11/11/2024,0,0,0,0,0,,,,
VRE Minerals #1,11/11/2024,0,0,0,0,0,Off,34.81,0.49,0
Moreland #1,11/10/2024,0,0,0,0,0,,,,
VRE Minerals #1,11/10/2024,0,0,0,0,0,Off,14.6,0.4,0
Moreland #1,11/9/2024,0,0,0,0,0,,,,
VRE Minerals #1,11/9/2024,0,0,0,0,0,Off,14.62,0.2,0
Moreland #1,11/8/2024,0,0,0,0,0,Off,,,
