,Well,Unnamed: 1,Unnamed: 2,Nymex PV
150,lisa-hermann b-5, WI,0.0023725,
151,little 179 1h,WI,0.0255,413.27234007159024
152,llb 15 1,WI,0.0391875,8.795157399191902
153,lloyd 1, WI,0.07232695,0.0
154,los vaqueros fed, WI,0.00060554,
155,los vaqueros fed, WI,0.00060554,
156,los vaqueros fed, WI,0.00060554,
157,los vaqueros fed, WI,0.00060554,
158,lott-wilson 1h, WI,0.00566887,2.0200987744705787
159,lt 1,WI,0.04137091,2.0499177416111207
160,madden 1h, WI,0.01448581,
161,marguerite 1, WI,0.00154523,0.14669431515871356
162,marpick 1,WI,0.00140625,0.0
163,mcduffie 1, WI,0.09765496,
164,mclean 1,WI,0.0802947,
165,mdb (ac),WI,0.00273857,
166,melville state un,WI,0.00222463,
167,montemayor 1,OR,0.00554101,0.0
168,moore 12u cl, WI,0.05117004,
169,moore 5 cl, WI,0.05117004,
170,moore 7 cl,WI,0.05117004,
171,moore 8 cl,WI,0.05435566,
172,moore 9 cl, WI,0.05117004,
173,moore lease - car,WI,0.05117004,
174,moreland 1, WI,0.10310282,0.0
175,mosley 1, OR,0.0024937,84.81867459937425
176,mt 1,RI,0.00435138,
177,muleshoe ranch 1, WI,0.02164,17.779272171230264
178,murphy smith 1, WI,0.07318028,
179,myrtle 1,WI,0.00199582,0.0
180,nevill 1,WI,0.00185548,192.55469847560937
181,nichols 1,WI,0.02414062,
182,nichols 2,WI,0.02414062,
183,nichols 3,WI,0.02414062,
184,orca 1h,WI,0.01494295,
185,ortiz 1, WI,0.05883422,
186,owen 1h,WI,0.07350169,76.89806319577978
187,ozelle davis , WI,0.03273058,
188,parkway 1,WI,0.01477246,123.78933078043727
189,pecan grove 1,WI,0.00363684,0.0
190,peters 5, WI,0.10503063,0.0
191,peters 6,WI,0.13233333,214.74840105286387
192,peters 7,WI,0.13233333,
193,pfeiffer 1 re,WI,0.001875,
194,pickens 1,WI,0.0015075,11.802555396159068
195,pickwill 1,WI,0.00169395,9.468804398844682
196,post oak 1,WI,0.07634432,
197,post oak 2,WI,0.07634432,
198,powers state , WI,0.00254093,
199,ra 1,WI,0.00196323,15.2057958801572
200,razorback  nw,OR,8.29e-05,
201,rb clary 1,WI,0.00182944,533.6002312068632
202,remington 1h,WI,0.00061876,
203,ridgeback 1h, WI,0.02284001,
204,robertson state 2,WI,0.0016446,
205,robertson state u, WI,0.00311774,
206,ronald 1, WI,0.00178847,62.54251888772067
207,ruen 1,RI,0.00059852,
208,ruen 2,RI,0.00059852,
209,ruen 3x,RI,0.00059852,
210,ruthpick 1,WI,0.00161523,72.75083202988044
211,sandifer 1, WI,0.0532875,
212,seawasp 2h, WI,0.02034418,
213,shell 41  131, WI,0.00191207,
214,shell 41  221, WI,0.00191207,
215,shell 41  232, WI,0.00191207,
216,shell 41  331, WI,0.00191207,
217,shell 41  332, WI,0.00191207,
218,slaughter b 1, WI,0.001875,
219,soell 1, WI,0.05899519,0.0
220,spiller t bar x , WI,0.0449775,
221,stingray 2h,WI,0.00623584,6.201061809247632
222,strain state ,WI,0.00157232,
223,susie q 1h,WI,0.0009375,
224,sutton 1,WI,0.08449221,
225,sutton 2,RI,0.00055542,
226,sutton 3,RI,0.00055542,
227,thalmann 1,RI,0.00071569,1.7069076682912503
228,thompson 1,WI,0.11188349,
229,thompson 2,WI,0.09833937,
230,thresher 1,WI,0.00299418,
231,thumper 1h,WI,0.0009375,
232,thuss 1,WI,0.0026451,0.34365878148059736
233,timothy 1, WI,0.059,
234,tlapek 1,WI,0.07407235,4.326635735286766
235,townsen a2 11ua,WI,0.00276733,
236,townsen a3 4la,WI,0.00274012,
237,townsen a4 12ua,WI,0.00258992,
238,townsen a5 5la,WI,0.00241015,
239,townsen a6 13ua,WI,0.00240361,
240,townsen a7 19h,WI,0.00274864,
241,triple a federal, WI,0.03200035,
242,triple j 2,WI,0.07340129,
243,triple sal a 1h, WI,0.00270018,
244,triple sal a 2h, WI,0.00270018,
245,urso 1 (lang 1), RI,0.00024968,
246,vermillion 1,WI,0.00129152,0.0
247,waler state , RI,9.473e-05,
248,waler state , RI,9.473e-05,
249,waler state , RI,9.473e-05,
250,warlander 501wa, RI,0.00019568,
251,warlander 502wa, RI,0.00019568,
252,warlander 503wa, RI,0.00019568,
253,warlander 504wb, RI,0.00019568,
254,warlander 505bs, RI,0.00019568,
255,warlander 506bs, RI,0.00019568,
256,warren 1-h, WI,0.07823618,
257,webb 1, WI,0.09161143,39.76565194315802
258,wheaton cattle co,OR,0.00046131,
259,white-springer 1,WI,0.00202674,148.47621222772094
260,wickson 1, OR,0.00103865,
261,william 1,RI,0.00017925,181.06806522322728
262,williams 1-38 uni,WI,0.00491519,
263,williams 1-38 uni,WI,0.00491519,
264,williams 1-38 uni,WI,0.00491519,
265,willie 1,WI,0.0023197,220.3474519525019
266,wilson 191 no 1h, WI,0.05141582,
267,wilson , WI,0.07583526,
268,wombat 1h, WI,0.03135888,24.26184725858998
269,wombat 2h,WI,0.02116946,97.95424711634261
270,wombat 3h, WI,0.03135888,42.677645446086544
271,ws 1, RI,0.0001579,192.99445205543708
