Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Blair TXL 7 #1,2019-12-31,8.25,44.0,61.0,0,0,Turned well off
Blair TXL 7 #2,2019-12-31,8.37,17.0,0.0,0,0,
Blair TXL 7 #3,2019-12-31,0.0,0.0,0.0,0,0,
CL Moore 6,2019-12-31,0.0,312.0,1.67,0,0,
CL Moore 8,2019-12-31,0.0,0.0,0.0,0,0,Well down
Davis Lease,2019-12-31,19.53,0.0,205.75,0,0,
Dyer Unit #10,2019-12-31,2.32,30.0,15.3,0,0,
Fridel #1,2019-12-31,0.0,0.0,0.0,0,0,OFF
Huber #1,2019-12-31,0.0,0.0,0.0,0,0,shut in till after new years
JM Moore 178,2019-12-31,5.01,140.0,3.48,0,0,
JM Moore 192,2019-12-31,15.03,0.0,154.0,0,0,
Joe #1,2019-12-31,0.0,0.0,0.0,0,0,
Kirby #1,2019-12-31,3.34,2.3,3.34,0,0,comp dn bol
Kleimann #3,2019-12-31,0.0,0.0,21.45,0,0,
Lloyd #1,2019-12-31,0.0,0.0,0.0,0,0,OFF
McLean #1,2019-12-31,6.81,0.0,0.0,0,0,
Montemayor #1,2019-12-31,0.0,0.0,0.0,0,0,unit off till after new years
Paddy 19 State #1 & #5,2019-12-31,5.52,0.0,27.5,0,0,
Palm #1,2019-12-31,178.82,998.9,184.85,0,0,
Pierce Ranch #4,2019-12-31,2.32,30.0,5.01,0,0,
Preston #1,2019-12-31,10.99,356.8,29.8,0,0,
Rhodes #1,2019-12-31,0.0,0.0,3.34,0,0,
Terrell #1,2019-12-31,0.0,53.0,3.34,0,0,Enterprise Sales-53 MCF
Vermillion #1,2019-12-31,3.34,27.5,18.37,0,0,
Wayne #1,2019-12-31,0.0,232.0,0.0,0,0,
Wendel Unit #1,2019-12-31,0.0,0.0,0.0,0,0,
White Marlin #1,2019-12-31,0.0,0.0,0.0,0,0,unit off till after new years
Wittig Sisters #1,2019-12-31,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2019-12-30,13.75,87.0,116.0,0,0,
Blair TXL 7 #2,2019-12-30,5.58,18.0,0.0,0,0,
Blair TXL 7 #3,2019-12-30,0.0,0.0,0.0,0,0,
CL Moore 6,2019-12-30,0.0,313.0,0.0,0,0,
CL Moore 8,2019-12-30,0.0,0.0,0.0,0,0,Well down
Davis Lease,2019-12-30,17.18,0.0,245.0,0,0,
Dyer Unit #10,2019-12-30,0.0,25.0,6.68,0,0,
Fridel #1,2019-12-30,0.0,0.0,0.0,0,0,OFF
Huber #1,2019-12-30,0.0,0.0,0.0,0,0,
JM Moore 178,2019-12-30,3.34,140.0,3.48,0,0,
JM Moore 192,2019-12-30,15.03,0.0,149.0,0,0,
Joe #1,2019-12-30,0.0,0.0,0.0,0,0,
Kirby #1,2019-12-30,3.34,0.0,0.0,0,0,comp dn bol
Kleimann #3,2019-12-30,0.0,0.0,108.55,0,0,
Lloyd #1,2019-12-30,0.0,0.0,0.0,0,0,
McLean #1,2019-12-30,2.27,0.0,6.68,0,0,
Montemayor #1,2019-12-30,0.0,0.0,0.0,0,0,
Paddy 19 State #1 & #5,2019-12-30,0.0,0.0,74.0,0,0,
Palm #1,2019-12-30,86.84,982.6,151.51,0,0,
Pierce Ranch #4,2019-12-30,1.16,29.0,5.01,0,0,
Preston #1,2019-12-30,11.69,366.9,56.78,0,0,
Rhodes #1,2019-12-30,0.74,0.0,6.68,0,0,
Terrell #1,2019-12-30,0.0,57.0,3.34,0,0,Enterprise Sales- 57 MCF
Vermillion #1,2019-12-30,0.0,40.4,35.07,0,0,
Wayne #1,2019-12-30,0.0,262.0,0.0,0,0,
Wendel Unit #1,2019-12-30,0.0,0.0,0.0,0,0,
White Marlin #1,2019-12-30,0.0,0.0,0.0,0,0,off till after new year
Wittig Sisters #1,2019-12-30,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2019-12-29,30.25,110.0,121.0,0,0,
Blair TXL 7 #2,2019-12-29,13.95,18.0,0.0,0,0,
Blair TXL 7 #3,2019-12-29,0.0,0.0,0.0,0,0,
CL Moore 6,2019-12-29,0.0,315.0,1.67,0,0,
CL Moore 8,2019-12-29,0.0,0.0,0.0,0,0,Well down
Davis Lease,2019-12-29,11.16,0.0,269.0,0,0,
Dyer Unit #10,2019-12-29,0.0,30.0,33.14,0,0,
Fridel #1,2019-12-29,0.0,0.0,0.0,0,0,OFF
Huber #1,2019-12-29,0.0,0.0,0.0,0,0,
JM Moore 178,2019-12-29,8.35,140.0,3.34,0,0,
JM Moore 192,2019-12-29,15.03,0.0,160.0,0,0,
Joe #1,2019-12-29,0.0,0.0,0.0,0,0,
Kirby #1,2019-12-29,5.01,0.0,0.0,0,0,comp dn bol
Kleimann #3,2019-12-29,0.0,0.0,41.29,0,0,bol unit
Lloyd #1,2019-12-29,0.0,0.0,0.0,0,0,OFF
McLean #1,2019-12-29,6.81,0.0,3.34,0,0,
Montemayor #1,2019-12-29,0.0,0.0,0.0,0,0,
Paddy 19 State #1 & #5,2019-12-29,5.52,0.0,44.0,0,0,
Palm #1,2019-12-29,80.16,978.3,136.68,0,0,
Pierce Ranch #4,2019-12-29,2.32,29.0,5.01,0,0,
Preston #1,2019-12-29,6.68,360.1,11.69,0,0,
Rhodes #1,2019-12-29,5.01,0.0,8.35,0,0,
Terrell #1,2019-12-29,0.0,59.0,5.01,0,0,Enterprise Sales-59 MCF
Vermillion #1,2019-12-29,0.0,5.2,6.68,0,0,
Wayne #1,2019-12-29,0.0,267.0,0.0,0,0,
Wendel Unit #1,2019-12-29,0.0,0.0,0.0,0,0,
White Marlin #1,2019-12-29,0.0,0.0,0.0,0,0,
Wittig Sisters #1,2019-12-29,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2019-12-28,66.0,171.0,-88.0,0,0,
Blair TXL 7 #2,2019-12-28,13.95,18.0,0.0,0,0,
Blair TXL 7 #3,2019-12-28,0.0,0.0,0.0,0,0,
CL Moore 6,2019-12-28,1.16,303.0,1.67,0,0,
CL Moore 8,2019-12-28,0.0,0.0,0.0,0,0,Well down
Davis Lease,2019-12-28,5.58,0.0,242.5,0,0,
Dyer Unit #10,2019-12-28,1.16,35.0,20.04,0,0,
Fridel #1,2019-12-28,0.0,0.0,0.0,0,0,OFF
Huber #1,2019-12-28,0.0,0.0,0.0,0,0,
JM Moore 178,2019-12-28,8.35,140.0,0.0,0,0,
JM Moore 192,2019-12-28,15.03,0.0,168.0,0,0,
Joe #1,2019-12-28,0.0,0.0,0.0,0,0,
Kirby #1,2019-12-28,3.34,0.0,0.0,0,0,parkway comp was down
Kleimann #3,2019-12-28,0.0,0.0,153.38,0,0,
Lloyd #1,2019-12-28,0.0,0.0,0.0,0,0,OFF
McLean #1,2019-12-28,9.08,0.0,0.0,0,0,
Montemayor #1,2019-12-28,0.0,0.0,0.0,0,0,
Paddy 19 State #1 & #5,2019-12-28,2.76,0.0,41.25,0,0,
Palm #1,2019-12-28,128.8,980.0,176.5,0,0,
Pierce Ranch #4,2019-12-28,1.16,31.0,6.68,0,0,
Preston #1,2019-12-28,8.35,356.9,50.1,0,0,
Rhodes #1,2019-12-28,0.0,0.0,3.34,0,0,
Terrell #1,2019-12-28,0.0,65.0,5.01,0,0,Enterprise Sales-65 MCF
Vermillion #1,2019-12-28,3.34,0.0,6.68,0,0,
Wayne #1,2019-12-28,0.0,263.0,0.0,0,0,
Wendel Unit #1,2019-12-28,0.0,0.0,0.0,0,0,
White Marlin #1,2019-12-28,0.0,0.0,0.0,0,0,
Wittig Sisters #1,2019-12-28,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2019-12-27,5.5,82.0,182.0,0,0,
Blair TXL 7 #2,2019-12-27,13.95,14.0,0.0,0,0,
Blair TXL 7 #3,2019-12-27,3.0,0.0,0.0,0,0,
CL Moore 6,2019-12-27,0.0,297.0,1.67,0,0,
CL Moore 8,2019-12-27,0.0,0.0,0.0,0,0,Well down
Davis Lease,2019-12-27,0.0,0.0,30.25,0,0,
Dyer Unit #10,2019-12-27,2.32,25.0,35.68,0,0,
Fridel #1,2019-12-27,0.0,0.0,0.0,0,0,OFF
Huber #1,2019-12-27,0.0,0.0,0.0,0,0,
JM Moore 178,2019-12-27,3.34,140.0,3.48,0,0,
JM Moore 192,2019-12-27,15.03,0.0,160.0,0,0,
Joe #1,2019-12-27,1.67,0.0,0.0,0,0,sibu
Kirby #1,2019-12-27,5.01,0.0,10.02,0,0,"comp down high line psi 
big comp was down at parkway"
Kleimann #3,2019-12-27,0.0,0.0,143.36,0,0,
Lloyd #1,2019-12-27,0.0,0.0,0.0,0,0,OFF
McLean #1,2019-12-27,6.81,0.0,0.0,0,0,
