Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Preston #1,2024-03-24,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-23,35.75,91,137.0,0,0,
Blair TXL 7 #2,2024-03-23,8.37,12,0.0,0,0,
Blair TXL 7 #3,2024-03-23,0.0,0,0.0,0,0,
Davis Lease,2024-03-23,0.0,0,0.0,0,0,
JM Moore 178,2024-03-23,8.35,0,4.03,0,0,
JM Moore 192,2024-03-23,13.36,0,136.0,0,0,
Kleimann #3,2024-03-23,0.0,0,0.0,0,0,
MCWF #1,2024-03-23,0.0,0,36.27,0,0,
Paddy 19 State #1 & #5,2024-03-23,2.76,0,22.0,0,0,
Palm #1,2024-03-23,0.0,0,0.0,0,0,
Preston #1,2024-03-23,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-22,35.75,88,135.5,0,0,
Blair TXL 7 #2,2024-03-22,8.37,12,0.0,0,0,
Blair TXL 7 #3,2024-03-22,0.0,0,0.0,0,0,
Davis Lease,2024-03-22,0.0,0,0.0,0,0,
JM Moore 178,2024-03-22,6.68,0,1.67,0,0,Venting gas 115 mcf
JM Moore 192,2024-03-22,10.02,0,140.0,0,0,
Kleimann #3,2024-03-22,0.0,0,0.0,0,0,
MCWF #1,2024-03-22,0.0,0,78.12,0,0,
Paddy 19 State #1 & #5,2024-03-22,0.0,0,19.25,0,0,
Palm #1,2024-03-22,0.0,0,0.0,0,0,
Preston #1,2024-03-22,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-21,35.75,91,238.5,0,0,
Blair TXL 7 #2,2024-03-21,8.37,13,0.0,0,0,
Blair TXL 7 #3,2024-03-21,0.0,0,0.0,0,0,
Davis Lease,2024-03-21,0.0,0,0.0,0,0,
JM Moore 178,2024-03-21,6.68,0,1.67,0,0,Venting gas 113 mcf
JM Moore 192,2024-03-21,11.69,0,140.0,0,0,
Kleimann #3,2024-03-21,0.0,0,0.0,0,0,
MCWF #1,2024-03-21,0.0,0,33.98,0,0,
