Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Betty #1,2017-11-30,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2017-11-30,47.5,250.0,129.0,0,0,Repaired water meterhas different readings as battery was dead.  That's why we show negative  water
Blair TXL 7 #2,2017-11-30,13.95,0.0,18.0,0,0,
Blair TXL 7 #3,2017-11-30,0.0,0.0,0.0,0,0,
Boone Est GU #1,2017-11-30,0.0,0.0,0.0,0,0,
Carpenter #1,2017-11-30,0.0,91.0,1.16,0,0,
Clayton 1,2017-11-30,0.0,0.0,0.0,0,0,
Cornette #1,2017-11-30,0.0,0.0,0.0,0,0,
Etta #1,2017-11-30,0.0,0.0,0.0,0,0,
Flying G #1,2017-11-30,0.0,0.0,0.0,0,0,3 of 10 off
Glaze #1,2017-11-30,0.0,0.0,0.0,0,0,
Haby #1,2017-11-30,0.0,0.0,0.0,0,0,Well is turned off
Huber #1,2017-11-30,0.0,0.0,0.0,0,0,3 of 5 off
Joe #1,2017-11-30,0.0,0.0,0.0,0,0,
Kirby #1,2017-11-30,15.38,312.0,0.0,0,0,Comp was down high 1st stage liquid level Bol at11:30
Kresta #1,2017-11-30,0.0,320.0,0.0,0,0,
Lansford #1,2017-11-30,0.0,0.0,0.0,0,0,Lansford Down. Wouldn’t start. Low battery.
Lee #1H,2017-11-30,0.0,74.2,0.0,0,0,16/64 choke
Lisa #1,2017-11-30,0.0,0.0,0.0,0,0,
McLean #1,2017-11-30,0.0,0.0,0.0,0,0,Well was down
Montemayor #1,2017-11-30,6.68,0.0,0.0,0,0,
Paddy 19 State #1 & #5,2017-11-30,11.03,0.0,162.5,0,0,
Pierce Ranch #4,2017-11-30,0.0,33.0,6.68,0,0,
Preston #1,2017-11-30,46.76,0.0,26.72,0,0,
Rhodes #1,2017-11-30,20.04,17.0,8.35,0,0,
Terrell #1,2017-11-30,0.0,250.0,55.11,0,0,Enterprise Sales-      107 MCF
Vermillion #1,2017-11-30,0.0,190.0,0.0,0,0,Comp was down low 1st stage disch psi Bol at 11:00am
Wendel Unit #1,2017-11-30,11.6,0.0,364.0,0,0,
Wendel-Rioux #1,2017-11-30,0.0,0.0,0.0,0,0,
Betty #1,2017-11-29,1.67,0.0,0.0,0,0,
Blair TXL 7 #1,2017-11-29,49.25,241.0,128.0,0,0,
Blair TXL 7 #2,2017-11-29,13.95,0.0,19.0,0,0,
Blair TXL 7 #3,2017-11-29,0.0,0.0,0.0,0,0,
Boone Est GU #1,2017-11-29,0.0,0.0,0.0,0,0,
Carpenter #1,2017-11-29,0.0,104.0,2.32,0,0,
Clayton 1,2017-11-29,0.0,0.0,0.0,0,0,
Cornette #1,2017-11-29,0.0,0.0,0.0,0,0,
Etta #1,2017-11-29,0.0,0.0,0.0,0,0,
Flying G #1,2017-11-29,0.0,0.0,0.0,0,0,
Glaze #1,2017-11-29,0.0,0.0,0.0,0,0,
Haby #1,2017-11-29,0.32,0.0,0.0,0,0,Well is turned off
Huber #1,2017-11-29,0.0,0.0,0.0,0,0,
Joe #1,2017-11-29,0.0,0.0,0.0,0,0,
Kirby #1,2017-11-29,18.37,384.0,1.67,0,0,
Kresta #1,2017-11-29,0.0,328.0,1.16,0,0,
Lansford #1,2017-11-29,6.68,0.0,8.35,0,0,
Lee #1H,2017-11-29,0.0,74.7,0.0,0,0,16/64 choke
Lisa #1,2017-11-29,0.0,0.0,0.0,0,0,
McLean #1,2017-11-29,2.27,0.0,0.0,0,0,
Montemayor #1,2017-11-29,5.41,0.0,0.0,0,0,
Paddy 19 State #1 & #5,2017-11-29,24.83,0.0,272.75,0,0,
