Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
JM Moore 178,2024-07-17,0.0,0.0,0.0,0,0,Well dn
JM Moore 192,2024-07-17,0.0,0.0,0.0,0,0,Well dn
Palm #1,2024-07-17,0.0,129.12,0.0,0,0,
Blair TXL 7 #1,2024-07-16,24.75,86.0,137.0,0,0,
Blair TXL 7 #2,2024-07-16,8.28,14.0,0.0,0,0,
Blair TXL 7 #3,2024-07-16,8.0,0.0,0.0,0,0,
Davis Lease,2024-07-16,0.0,0.0,31.5,0,0,
JM Moore 178,2024-07-16,1.67,0.0,0.0,0,0,Swi bad bearing on pu
JM Moore 192,2024-07-16,0.0,0.0,0.0,0,0,Well dn
MCWF #1,2024-07-16,0.0,0.0,479.42,0,0,
Paddy 19 State #1 & #5,2024-07-16,2.76,0.0,265.5,0,0,
Palm #1,2024-07-16,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2024-07-15,22.0,86.0,139.0,0,0,
Blair TXL 7 #2,2024-07-15,8.28,14.0,0.0,0,0,
Blair TXL 7 #3,2024-07-15,0.0,0.0,0.0,0,0,
Davis Lease,2024-07-15,2.79,0.0,57.75,0,0,#1 is off
JM Moore 178,2024-07-15,0.0,0.0,0.0,0,0,Well dn
JM Moore 192,2024-07-15,0.0,0.0,0.0,0,0,Well dn
MCWF #1,2024-07-15,0.0,0.0,525.47,0,0,
Paddy 19 State #1 & #5,2024-07-15,2.76,0.0,46.75,0,0,Started well 1
Palm #1,2024-07-15,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2024-07-14,30.25,87.0,135.0,0,0,
Blair TXL 7 #2,2024-07-14,8.28,14.0,0.0,0,0,
Blair TXL 7 #3,2024-07-14,0.0,0.0,0.0,0,0,
Davis Lease,2024-07-14,0.0,0.0,58.5,0,0,
JM Moore 178,2024-07-14,0.0,0.0,0.0,0,0,Well dn
JM Moore 192,2024-07-14,0.0,0.0,0.0,0,0,Well dn
MCWF #1,2024-07-14,0.0,0.0,336.57,0,0,
Paddy 19 State #1 & #5,2024-07-14,0.0,0.0,33.0,0,0,
Palm #1,2024-07-14,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2024-07-13,27.5,85.0,133.5,0,0,
Blair TXL 7 #2,2024-07-13,8.28,13.0,0.0,0,0,
Blair TXL 7 #3,2024-07-13,0.0,0.0,0.0,0,0,
Davis Lease,2024-07-13,0.0,0.0,43.75,0,0,
JM Moore 178,2024-07-13,0.0,0.0,0.0,0,0,Well dn water tank lightning hit
JM Moore 192,2024-07-13,0.0,0.0,0.0,0,0,Well dn
MCWF #1,2024-07-13,0.0,0.0,209.11,0,0,
Paddy 19 State #1 & #5,2024-07-13,2.76,0.0,27.5,0,0,
Palm #1,2024-07-13,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2024-07-12,19.25,86.0,119.0,0,0,
Blair TXL 7 #2,2024-07-12,8.28,14.0,0.0,0,0,
Blair TXL 7 #3,2024-07-12,0.0,0.0,0.0,0,0,
Davis Lease,2024-07-12,0.0,0.0,71.5,0,0,
JM Moore 178,2024-07-12,5.01,0.0,1.67,0,0,Venting gas 115
JM Moore 192,2024-07-12,0.0,0.0,0.0,0,0,Well dn
MCWF #1,2024-07-12,0.0,0.0,437.47,0,0,
Paddy 19 State #1 & #5,2024-07-12,0.0,0.0,30.25,0,0,
Palm #1,2024-07-12,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2024-07-11,30.25,85.0,136.0,0,0,
Blair TXL 7 #2,2024-07-11,8.28,13.0,0.0,0,0,
Blair TXL 7 #3,2024-07-11,0.0,0.0,0.0,0,0,
Davis Lease,2024-07-11,8.37,0.0,139.25,0,0,
