Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Blair TXL 7 #1,2023-08-31,27.5,92.0,139.5,0,0,
Blair TXL 7 #2,2023-08-31,11.16,14.0,0.0,0,0,
Blair TXL 7 #3,2023-08-31,0.0,0.0,0.0,0,0,
Branton #1,2023-08-31,0.0,0.0,0.0,0,0,
Davis Lease,2023-08-31,0.0,0.0,85.5,0,0,Hot oiled #3
JM Moore 178,2023-08-31,3.34,0.0,0.0,0,0,Venting gas 135 mcf
JM Moore 192,2023-08-31,11.69,0.0,135.0,0,0,
Joe #1,2023-08-31,0.0,0.0,0.0,0,0,Shut in till further notice
Kleimann #3,2023-08-31,0.0,0.0,0.0,0,0,
MCWF #1,2023-08-31,0.0,0.0,394.86,0,0,
Montemayor #1,2023-08-31,0.0,0.0,0.0,0,0,
Paddy 19 State #1 & #5,2023-08-31,2.76,0.0,35.75,0,0,
Palm #1,2023-08-31,0.0,0.0,0.0,0,0,Kolor kut
Preston #1,2023-08-31,0.0,0.0,0.0,0,0,Shut in
Vermillion #1,2023-08-31,0.0,0.0,0.0,0,0,"Unit down, heater repair"
White Marlin #1,2023-08-31,0.0,0.0,0.0,0,0,Unit running made no fluid
Blair TXL 7 #1,2023-08-30,33.0,92.0,132.0,0,0,
Blair TXL 7 #2,2023-08-30,6.28,14.0,0.0,0,0,
Blair TXL 7 #3,2023-08-30,0.0,0.0,0.0,0,0,
Branton #1,2023-08-30,0.0,0.0,0.0,0,0,
Davis Lease,2023-08-30,8.37,0.0,33.0,0,0,
JM Moore 178,2023-08-30,5.01,0.0,1.67,0,0,Venting gas 141 mcf
JM Moore 192,2023-08-30,15.86,0.0,140.0,0,0,
Joe #1,2023-08-30,0.0,0.0,0.0,0,0,Shut in till further notice
Kleimann #3,2023-08-30,0.0,0.0,0.0,0,0,
MCWF #1,2023-08-30,0.0,0.0,224.79,0,0,
Montemayor #1,2023-08-30,0.0,0.0,0.0,0,0,
Paddy 19 State #1 & #5,2023-08-30,5.52,0.0,38.5,0,0,
Palm #1,2023-08-30,0.0,0.0,0.0,0,0,
Preston #1,2023-08-30,0.0,0.0,0.0,0,0,Shut in till further notice
Vermillion #1,2023-08-30,0.0,0.0,0.0,0,0,"Down, heater repair"
White Marlin #1,2023-08-30,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2023-08-29,30.25,90.0,132.0,0,0,
Blair TXL 7 #2,2023-08-29,8.37,14.0,0.0,0,0,
Blair TXL 7 #3,2023-08-29,0.0,0.0,0.0,0,0,
Branton #1,2023-08-29,0.0,0.0,0.0,0,0,
Davis Lease,2023-08-29,8.37,0.0,49.5,0,0,
JM Moore 178,2023-08-29,5.01,0.0,1.67,0,0,Venting gas 140 mcf
JM Moore 192,2023-08-29,15.03,0.0,132.0,0,0,
Joe #1,2023-08-29,0.0,0.0,0.0,0,0,
Kleimann #3,2023-08-29,0.0,0.0,0.0,0,0,
MCWF #1,2023-08-29,0.0,0.0,304.21,0,0,
Montemayor #1,2023-08-29,0.0,0.0,0.0,0,0,
Paddy 19 State #1 & #5,2023-08-29,2.76,0.0,41.5,0,0,
Palm #1,2023-08-29,0.0,0.0,0.0,0,0,Shut in till further notice
Preston #1,2023-08-29,0.0,0.0,-60.12,0,0,
Vermillion #1,2023-08-29,0.0,0.0,0.0,0,0,
White Marlin #1,2023-08-29,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2023-08-28,24.75,94.0,122.5,0,0,
Blair TXL 7 #2,2023-08-28,8.37,14.0,0.0,0,0,
Blair TXL 7 #3,2023-08-28,0.0,0.0,0.0,0,0,
Branton #1,2023-08-28,0.0,0.0,0.0,0,0,
Davis Lease,2023-08-28,5.58,0.0,39.25,0,0,
