Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Blair TXL 7 #1,2024-01-31,48.81,91.0,152.0,0,0,
Blair TXL 7 #2,2024-01-31,13.92,16.0,0.0,0,0,
Blair TXL 7 #3,2024-01-31,0.0,0.0,0.0,0,0,
Branton #1,2024-01-31,0.0,0.0,0.0,0,0,
Davis Lease,2024-01-31,0.0,0.0,0.0,0,0,
JM Moore 178,2024-01-31,5.01,0.0,1.67,0,0,Venting gas 111 mcf
JM Moore 192,2024-01-31,13.36,0.0,140.0,0,0,
Joe #1,2024-01-31,0.0,0.0,0.0,0,0,
Kleimann #3,2024-01-31,0.0,0.0,0.0,0,0,
MCWF #1,2024-01-31,0.0,0.0,166.0,0,0,
Montemayor #1,2024-01-31,0.0,0.0,0.0,0,0,
Paddy 19 State #1 & #5,2024-01-31,2.76,0.0,35.75,0,0,
Palm #1,2024-01-31,0.0,0.0,0.0,0,0,
Preston #1,2024-01-31,0.0,0.0,0.0,0,0,
Vermillion #1,2024-01-31,0.0,0.0,0.0,0,0,Unit remains down
White Marlin #1,2024-01-31,0.0,0.0,0.0,0,0,Unit remains down
Blair TXL 7 #1,2024-01-30,34.38,87.0,152.0,0,0,
Blair TXL 7 #2,2024-01-30,13.8,16.0,0.0,0,0,
Blair TXL 7 #3,2024-01-30,0.0,0.0,0.0,0,0,
Branton #1,2024-01-30,0.0,0.0,0.0,0,0,
Davis Lease,2024-01-30,0.0,0.0,0.0,0,0,
JM Moore 178,2024-01-30,6.68,0.0,1.67,0,0,Venting gas 115 mcf
JM Moore 192,2024-01-30,11.69,0.0,141.0,0,0,
Joe #1,2024-01-30,0.0,0.0,0.0,0,0,
Kleimann #3,2024-01-30,0.0,0.0,0.0,0,0,
MCWF #1,2024-01-30,0.0,0.0,111.15,0,0,
Montemayor #1,2024-01-30,0.0,0.0,0.0,0,0,
Paddy 19 State #1 & #5,2024-01-30,2.76,1.0,27.75,0,0,
Palm #1,2024-01-30,0.0,0.0,0.0,0,0,
Preston #1,2024-01-30,0.0,0.0,0.0,0,0,
Vermillion #1,2024-01-30,0.0,0.0,0.0,0,0,Well remains down
White Marlin #1,2024-01-30,0.0,0.0,0.0,0,0,Unit remains down
Blair TXL 7 #1,2024-01-29,107.25,87.0,0.0,0,0,
Blair TXL 7 #2,2024-01-29,13.8,16.0,0.0,0,0,
Blair TXL 7 #3,2024-01-29,0.0,0.0,0.0,0,0,
Branton #1,2024-01-29,0.0,0.0,0.0,0,0,
Davis Lease,2024-01-29,0.0,0.0,0.0,0,0,
JM Moore 178,2024-01-29,5.01,0.0,0.0,0,0,Venting gas 114 mcf
JM Moore 192,2024-01-29,10.02,0.0,148.0,0,0,
Kleimann #3,2024-01-29,0.0,0.0,0.0,0,0,
MCWF #1,2024-01-29,0.0,0.0,349.75,0,0,
Paddy 19 State #1 & #5,2024-01-29,2.76,0.0,27.5,0,0,
Palm #1,2024-01-29,0.0,0.0,0.0,0,0,
Preston #1,2024-01-29,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2024-01-28,49.5,86.0,153.0,0,0,
Blair TXL 7 #2,2024-01-28,13.8,16.0,0.0,0,0,
Blair TXL 7 #3,2024-01-28,0.0,0.0,0.0,0,0,
Branton #1,2024-01-28,0.0,0.0,0.0,0,0,
Davis Lease,2024-01-28,0.0,0.0,0.0,0,0,
JM Moore 178,2024-01-28,5.01,0.0,1.67,0,0,Venting gas 110 mcf
JM Moore 192,2024-01-28,5.01,0.0,155.0,0,0,
Kleimann #3,2024-01-28,0.0,0.0,0.0,0,0,
MCWF #1,2024-01-28,0.0,0.0,111.52,0,0,
Paddy 19 State #1 & #5,2024-01-28,2.76,0.0,24.75,0,0,
Palm #1,2024-01-28,0.0,0.0,0.0,0,0,
Preston #1,2024-01-28,0.0,0.0,0.0,0,0,
Vermillion #1,2024-01-28,0.0,0.0,0.0,0,0,
White Marlin #1,2024-01-28,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2024-01-27,41.25,84.0,151.0,0,0,
Blair TXL 7 #2,2024-01-27,12.12,16.0,0.0,0,0,
Blair TXL 7 #3,2024-01-27,0.0,0.0,0.0,0,0,
Branton #1,2024-01-27,0.0,0.0,0.0,0,0,
Davis Lease,2024-01-27,0.0,0.0,0.0,0,0,
JM Moore 178,2024-01-27,3.34,0.0,0.0,0,0,Venting gas 114 mcf
JM Moore 192,2024-01-27,5.01,0.0,50.0,0,0,Turn Ed well on this am
Kleimann #3,2024-01-27,0.0,0.0,0.0,0,0,
MCWF #1,2024-01-27,0.0,0.0,143.79,0,0,
Paddy 19 State #1 & #5,2024-01-27,0.0,0.0,22.0,0,0,
Palm #1,2024-01-27,0.0,0.0,0.0,0,0,
Preston #1,2024-01-27,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2024-01-26,38.5,84.0,155.0,0,0,
Blair TXL 7 #2,2024-01-26,11.04,16.0,0.0,0,0,
Blair TXL 7 #3,2024-01-26,0.0,0.0,0.0,0,0,
Branton #1,2024-01-26,0.0,0.0,0.0,0,0,
Davis Lease,2024-01-26,0.0,0.0,0.0,0,0,
JM Moore 178,2024-01-26,3.34,0.0,0.0,0,0,Venting gas 111 mcf
JM Moore 192,2024-01-26,10.02,0.0,150.0,0,0,
Kleimann #3,2024-01-26,0.0,0.0,0.0,0,0,
MCWF #1,2024-01-26,0.0,0.0,141.79,0,0,
Montemayor #1,2024-01-26,0.0,0.0,0.0,0,0,
Paddy 19 State #1 & #5,2024-01-26,0.0,0.0,27.5,0,0,
Palm #1,2024-01-26,0.0,0.0,0.0,0,0,
Preston #1,2024-01-26,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2024-01-25,35.75,86.0,149.0,0,0,
Blair TXL 7 #2,2024-01-25,8.28,17.0,0.0,0,0,
Blair TXL 7 #3,2024-01-25,0.0,0.0,0.0,0,0,Off for pumping schedule
Branton #1,2024-01-25,0.0,0.0,0.0,0,0,
Davis Lease,2024-01-25,0.0,0.0,0.0,0,0,
JM Moore 178,2024-01-25,3.34,0.0,1.67,0,0,Venting gas 112 mcf
JM Moore 192,2024-01-25,13.36,0.0,145.0,0,0,
Kleimann #3,2024-01-25,0.0,0.0,0.0,0,0,
MCWF #1,2024-01-25,0.0,0.0,170.0,0,0,
Montemayor #1,2024-01-25,0.0,0.0,0.0,0,0,
Paddy 19 State #1 & #5,2024-01-25,0.0,0.0,8.25,0,0,Filling repaired heater treater
Palm #1,2024-01-25,0.0,0.0,0.0,0,0,
Preston #1,2024-01-25,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2024-01-24,33.0,88.0,156.0,0,0,
Blair TXL 7 #2,2024-01-24,8.28,17.0,0.0,0,0,
Blair TXL 7 #3,2024-01-24,3.0,0.0,0.0,0,0,
Branton #1,2024-01-24,0.0,0.0,0.0,0,0,
Davis Lease,2024-01-24,0.0,0.0,0.0,0,0,
JM Moore 178,2024-01-24,5.01,0.0,0.0,0,0,Venting gas 110 mcf
JM Moore 192,2024-01-24,13.36,0.0,142.0,0,0,
