Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Blair TXL 7 #1,2021-05-31,38.5,132.0,181.0,0,0,
Blair TXL 7 #2,2021-05-31,11.16,13.0,0.0,0,0,
Blair TXL 7 #3,2021-05-31,3.0,0.0,0.0,0,0,
Branton #1,2021-05-31,0.0,11.82,0.0,0,0,
Davis Lease,2021-05-31,8.37,0.0,84.0,0,0,
Dyer Unit #10,2021-05-31,0.0,0.0,0.0,0,0,S.i.
JM Moore 178,2021-05-31,5.01,173.0,1.67,0,0,
JM Moore 192,2021-05-31,16.7,0.0,142.0,0,0,
Joe #1,2021-05-31,0.0,0.0,25.05,0,0,
Kincaid #1,2021-05-31,0.0,0.0,0.0,0,0,
Kirby #1,2021-05-31,0.0,0.0,0.0,0,0,SIBU
Kleimann #3,2021-05-31,0.0,0.0,0.0,0,0,sibu
MCWF #1,2021-05-31,0.0,0.0,471.79,0,0,
Montemayor #1,2021-05-31,0.0,0.0,0.0,0,0,SIBU
Paddy 19 State #1 & #5,2021-05-31,5.52,0.0,38.5,0,0,
Palm #1,2021-05-31,20.04,225.75,133.34,0,0,
Pierce Ranch #4,2021-05-31,1.16,12.0,3.34,0,0,
Preston #1,2021-05-31,6.68,207.1,81.57,0,0,
Rhodes #1,2021-05-31,13.36,0.0,98.53,0,0,
Vermillion #1,2021-05-31,3.34,0.0,6.68,0,0,
White Marlin #1,2021-05-31,0.0,0.0,0.0,0,0,
Wittig Sisters #1,2021-05-31,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2021-05-30,33.0,167.0,195.0,0,0,
Blair TXL 7 #2,2021-05-30,13.95,12.0,0.0,0,0,
Blair TXL 7 #3,2021-05-30,3.0,0.0,0.0,0,0,
Branton #1,2021-05-30,40.08,11.7,48.2,0,0,
Davis Lease,2021-05-30,2.79,0.0,16.5,0,0,
Dyer Unit #10,2021-05-30,0.0,0.0,0.0,0,0,S.i.
JM Moore 178,2021-05-30,6.68,176.0,0.14,0,0,
JM Moore 192,2021-05-30,15.03,0.0,150.0,0,0,
Joe #1,2021-05-30,0.0,0.0,16.7,0,0,
Kincaid #1,2021-05-30,0.0,0.0,0.0,0,0,
Kirby #1,2021-05-30,0.0,0.0,0.0,0,0,sibu
Kleimann #3,2021-05-30,0.0,0.0,0.0,0,0,
MCWF #1,2021-05-30,0.0,0.0,607.53,0,0,
Montemayor #1,2021-05-30,0.0,0.0,0.0,0,0,Sibu
Paddy 19 State #1 & #5,2021-05-30,2.76,0.0,51.5,0,0,
Palm #1,2021-05-30,0.0,224.16,124.99,0,0,
Pierce Ranch #4,2021-05-30,0.0,18.0,5.01,0,0,
Preston #1,2021-05-30,5.01,206.2,80.16,0,0,
Rhodes #1,2021-05-30,0.0,0.0,0.0,0,0,
Vermillion #1,2021-05-30,0.0,0.0,9.76,0,0,
White Marlin #1,2021-05-30,0.0,0.0,0.0,0,0,Sibu
Wittig Sisters #1,2021-05-30,0.0,0.0,0.0,0,0,
Blair TXL 7 #1,2021-05-29,0.0,89.0,198.0,0,0,Oil dump was plugged and all oil went into water tank.
Blair TXL 7 #2,2021-05-29,11.16,14.0,0.0,0,0,
Blair TXL 7 #3,2021-05-29,3.0,0.0,0.0,0,0,
Branton #1,2021-05-29,0.0,11.16,0.0,0,0,bol
Davis Lease,2021-05-29,5.58,0.0,50.5,0,0,
Dyer Unit #10,2021-05-29,0.0,0.0,0.0,0,0,S.i.
JM Moore 178,2021-05-29,5.01,175.0,0.65,0,0,
JM Moore 192,2021-05-29,15.03,0.0,145.0,0,0,
Joe #1,2021-05-29,0.0,0.0,24.81,0,0,
Kincaid #1,2021-05-29,8.35,0.0,0.0,0,0,
Kirby #1,2021-05-29,0.0,0.0,0.0,0,0,sibu
Kleimann #3,2021-05-29,0.0,0.0,0.0,0,0,
MCWF #1,2021-05-29,0.0,0.0,597.21,0,0,
Montemayor #1,2021-05-29,0.0,0.0,0.0,0,0,sibu
Paddy 19 State #1 & #5,2021-05-29,5.52,0.0,31.5,0,0,Replaced seal in transfer pump.
Palm #1,2021-05-29,10.02,196.37,106.88,0,0,
Pierce Ranch #4,2021-05-29,2.27,17.0,5.01,0,0,
Preston #1,2021-05-29,5.01,205.1,33.16,0,0,
Rhodes #1,2021-05-29,0.0,0.0,0.0,0,0,bol
Vermillion #1,2021-05-29,3.34,0.0,35.07,0,0,
White Marlin #1,2021-05-29,0.0,0.0,0.0,0,0,sibu
Wittig Sisters #1,2021-05-29,0.0,0.0,0.0,0,0,
