Date,Time,Well Name,Seating Nipple Depth (ft),Plunger Diameter (in),ACU Acoustic Velocity (ft/s),ACU Tubing Pressure (psi (g)),Back Pressure (psi (g)),Back Pressure on Formation Due to Liquid Loading (psi (g)),Gas Free Above Pump (ft),Fluid Above Pump (ft),Distance to Liquid (ft),Well State,ACU Casing Pressure (psi (g))
2022-05-24,01:55:39 PM,CR #101,5154.0,1.25,1209.0,,,310.4,634.0,3392.0,1738.0,Producing,61.6
2022-05-25,10:07:21 AM,CR #101,5154.0,1.25,1204.0,,,221.1,567.0,3030.0,2101.0,Producing,39.2
2022-05-31,08:17:17 AM,CR #101,5154.0,1.25,1184.0,,,144.2,367.0,1892.0,3239.0,Producing,67.2
2022-06-01,03:02:40 PM,CR #101,5154.0,1.25,1153.0,,,524.2,1279.0,1390.0,3741.0,Producing,66.1
2022-06-03,09:45:14 AM,CR #101,5154.0,1.25,1159.0,,,81.4,188.0,1004.0,4127.0,Producing,72.7
2022-06-06,02:13:23 PM,CR #101,5154.0,1.25,1208.0,,,195.1,541.0,2890.0,2240.0,Producing,82.8
2022-06-13,02:08:24 PM,CR #101,5154.0,1.25,1173.0,,,144.7,357.0,1863.0,3267.0,Producing,55.8
2022-06-16,01:57:21 PM,CR #101,5154.0,1.25,1187.0,,,128.5,321.0,1673.0,3458.0,Producing,67.8
2022-06-27,08:53:16 AM,CR #101,5154.0,1.25,1180.0,,,134.5,331.0,1676.0,3455.0,Producing,61.6
2023-04-03,12:22:00 PM,CR #101,5154.0,1.25,1172.0,,,50.1,55.0,233.0,4898.0,Producing,54.2
2023-05-22,02:21:58 PM,CR #101,5154.0,1.25,1175.0,,,64.1,103.0,487.0,4644.0,Producing,51.9
2024-02-01,02:48:59 PM,CR #101,5154.0,1.25,1171.0,,,61.2,84.0,328.0,4802.0,Producing,55.7
2024-02-01,02:55:46 PM,CR #101,5154.0,1.25,1203.0,,,42.8,27.0,105.0,5032.0,Producing,58.0
2021-01-13,12:25:07 PM,CR #201,4626.0,1.5,1229.0,,,282.2,594.0,3178.0,1448.0,Producing,96.4
2021-01-25,05:45:52 PM,CR #201,4626.0,1.5,1204.0,,,161.3,217.0,1161.0,3465.0,Producing,86.2
2021-02-04,09:52:37 AM,CR #201,4626.0,1.5,1206.0,,,95.0,16.0,87.0,4538.0,Producing,89.1
2021-02-22,05:08:17 PM,CR #201,4626.0,1.5,1217.0,,,120.9,108.0,576.0,4050.0,Producing,103.7
2021-03-03,12:09:19 PM,CR #201,4626.0,1.5,1207.0,,,93.2,,,4762.0,Producing,46.4
2021-03-08,12:58:07 PM,CR #201,4626.0,1.5,1218.0,,,83.5,,,4730.0,Producing,102.4
2021-03-26,03:39:10 PM,CR #201,4626.0,1.5,1183.0,,,116.8,39.0,210.0,4415.0,Producing,37.5
2021-04-05,11:39:06 AM,CR #201,4626.0,1.5,1187.0,,,98.7,,,4708.0,Producing,39.0
2021-04-13,11:16:45 AM,CR #201,4626.0,1.5,1183.0,,,99.8,,,4690.0,Producing,38.1
2021-04-30,03:45:34 PM,CR #201,4626.0,1.5,1159.0,,,99.4,,,4743.0,Producing,45.4
2021-06-04,12:16:20 PM,CR #201,4626.0,1.5,1127.0,,,120.5,,,4727.0,Producing,11.9
2021-06-18,10:32:28 AM,CR #201,4626.0,1.5,1172.0,,,96.2,8.0,43.0,4583.0,Producing,71.8
2021-06-30,08:49:40 AM,CR #201,4626.0,1.5,1133.0,,,306.9,,,4720.0,Producing,17.3
2021-07-09,01:07:39 PM,CR #201,4626.0,1.5,1192.0,,,93.7,,,4649.0,Producing,68.2
2021-07-23,11:33:44 AM,CR #201,4626.0,1.5,1140.0,,,111.4,,,4758.0,Producing,19.2
2021-08-12,03:43:51 PM,CR #201,4626.0,1.5,1146.0,,,108.0,,,4734.0,Producing,21.6
2021-08-24,08:58:06 AM,CR #201,4626.0,1.5,1186.0,,,136.5,,,4648.0,Producing,52.4
2021-09-21,04:20:16 PM,CR #201,5312.0,1.25,1231.0,,,329.6,799.0,1165.0,4044.0,Producing,44.1
2021-10-12,08:35:04 AM,CR #201,5312.0,1.25,1220.0,,,197.1,500.0,1395.0,3814.0,Producing,72.3
2021-10-29,04:13:27 PM,CR #201,5312.0,1.25,1184.0,,,279.3,730.0,3276.0,1933.0,Producing,22.8
2021-11-03,01:36:12 PM,CR #201,5312.0,1.25,1195.0,,,136.0,349.0,1549.0,3660.0,Producing,70.8
2021-11-05,10:54:26 AM,CR #201,5312.0,1.25,1186.0,,,244.9,575.0,851.0,4358.0,Producing,73.0
2021-11-15,01:25:46 PM,CR #201,5312.0,1.25,1182.0,,,187.2,392.0,562.0,4647.0,Producing,67.9
2021-11-22,02:55:38 PM,CR #201,5312.0,1.25,1130.0,,,143.2,291.0,977.0,4232.0,Producing,3.1
2021-11-29,10:23:12 AM,CR #201,5312.0,1.25,1170.0,,,77.5,167.0,685.0,4524.0,Producing,69.0
2021-12-14,01:45:32 PM,CR #201,5312.0,1.25,1147.0,,,70.9,152.0,688.0,4522.0,Producing,66.4
2022-01-17,12:49:12 PM,CR #201,5312.0,1.25,1196.0,,,-27.7,28.0,125.0,5115.0,Producing,284.4
2022-01-28,10:15:26 AM,CR #201,5312.0,1.25,1202.0,,,49.5,137.0,155.0,5077.0,Producing,310.5
2022-02-16,11:23:20 AM,CR #201,5312.0,1.25,1219.0,,,46.3,130.0,452.0,4757.0,Producing,154.2
2022-03-24,09:52:35 AM,CR #201,5312.0,1.25,1220.0,,,724.9,1938.0,2502.0,2707.0,Producing,3.4
2022-04-01,04:22:08 PM,CR #201,5312.0,1.25,1248.0,,,618.0,1606.0,1675.0,3534.0,Producing,35.5
2022-04-12,03:23:59 PM,CR #201,5312.0,1.25,1267.0,,,467.0,1190.0,1543.0,3666.0,Producing,40.0
2022-05-04,05:02:29 PM,CR #201,5312.0,1.25,1247.0,,,597.1,1523.0,1523.0,3686.0,Producing,26.0
2022-05-16,11:06:47 AM,CR #201,5156.0,1.25,1132.0,,,704.0,1723.0,1723.0,3391.0,Producing,1.0
2022-05-18,03:30:05 PM,CR #201,5156.0,1.25,1230.0,,,300.7,889.0,3503.0,1611.0,Producing,141.7
2022-05-19,10:37:40 AM,CR #201,5156.0,1.25,1219.0,,,692.9,1822.0,2053.0,3061.0,Producing,85.7
2022-05-20,02:06:01 PM,CR #201,5156.0,1.25,1240.0,,,417.7,1087.0,1794.0,3320.0,Producing,111.1
2022-05-23,02:46:40 PM,CR #201,5156.0,1.25,1264.0,,,181.9,592.0,1712.0,3402.0,Producing,261.6
2022-05-24,04:37:58 PM,CR #201,5156.0,1.25,922.0,,,64.4,492.0,2629.0,2485.0,Producing,293.9
2022-05-25,11:26:39 AM,CR #201,5156.0,1.25,1132.0,,,235.4,655.0,3503.0,1611.0,Producing,78.5
2022-05-26,02:48:46 PM,CR #201,5156.0,1.25,1167.0,,,251.7,618.0,2547.0,2567.0,Producing,23.9
2022-05-31,09:49:04 AM,CR #201,5156.0,1.25,1220.0,,,228.5,612.0,3270.0,1844.0,Producing,67.8
2022-06-01,03:43:39 PM,CR #201,5156.0,1.25,1205.0,,,60.1,97.0,510.0,4604.0,Producing,63.3
2022-06-03,10:08:25 AM,CR #201,5156.0,1.25,1218.0,,,207.9,553.0,2956.0,2158.0,Producing,70.3
2022-06-06,03:12:25 PM,CR #201,5156.0,1.25,1237.0,,,137.7,265.0,828.0,4286.0,Producing,39.0
2022-06-13,03:15:56 PM,CR #201,5156.0,1.25,1170.0,,,111.7,220.0,983.0,4131.0,Producing,36.5
2022-06-16,02:33:03 PM,CR #201,5156.0,1.25,1103.0,,,66.3,51.0,202.0,4914.0,Producing,6.0
2022-06-20,03:17:24 PM,CR #201,5156.0,1.25,1162.0,,,111.4,232.0,1126.0,3988.0,Producing,44.1
2022-06-27,09:46:24 AM,CR #201,5156.0,1.25,1152.0,,,67.1,100.0,461.0,4653.0,Producing,48.0
2023-05-22,01:15:51 PM,CR #201,5156.0,1.25,1080.0,,,52.0,56.0,230.0,4885.0,Producing,55.2
2024-02-01,03:16:47 PM,CR #201,5156.0,1.25,1172.0,,,63.7,89.0,409.0,4705.0,Producing,48.4
2021-11-08,02:41:59 PM,CR #301,4579.0,1.25,1246.0,,,167.9,658.0,3519.0,1024.0,Producing,156.7
2021-11-15,02:26:17 PM,CR #301,4579.0,1.25,1240.0,,,776.9,2586.0,2586.0,1957.0,Producing,193.3
2021-11-22,02:10:21 PM,CR #301,4579.0,1.25,1187.0,,,-119.3,16.0,71.0,4482.0,Producing,406.5
2021-12-13,02:46:12 PM,CR #301,4579.0,1.25,1565.0,,,199.3,728.0,3895.0,648.0,Producing,173.1
2022-01-17,02:08:32 PM,CR #301,4579.0,1.25,1479.0,,,475.7,1552.0,1552.0,2991.0,Producing,169.3
2022-01-21,02:09:40 PM,CR #301,4579.0,1.25,1095.0,,,448.8,1329.0,2023.0,2520.0,Producing,11.3
2022-03-24,11:16:37 AM,CR #301,4579.0,1.25,1222.0,,,135.7,589.0,3150.0,1393.0,Producing,177.5
2022-04-01,02:13:45 PM,CR #301,4579.0,1.25,1073.0,,,455.3,1353.0,1353.0,3190.0,Producing,14.8
2022-04-19,04:58:06 PM,CR #301,4579.0,1.25,1147.0,,,555.3,1655.0,1655.0,2888.0,Producing,13.4
2022-05-12,08:46:25 AM,CR #301,4457.0,1.25,1098.0,,,654.7,1865.0,1865.0,2585.0,Producing,14.9
2022-05-16,08:55:51 AM,CR #301,4457.0,1.25,1114.0,,,161.2,795.0,4253.0,196.0,Producing,248.2
2022-05-18,01:07:56 PM,CR #301,4457.0,1.25,1251.0,,,148.7,650.0,3476.0,974.0,Producing,218.7
2022-05-19,08:50:17 AM,CR #301,4457.0,1.25,783.0,,,51.1,638.0,3412.0,1038.0,Producing,258.4
2022-05-20,10:49:10 AM,CR #301,4457.0,1.25,762.0,,,96.0,668.0,3575.0,875.0,Producing,204.5
2022-05-23,01:05:21 PM,CR #301,4457.0,1.25,1048.0,,,102.9,434.0,2323.0,2127.0,Producing,124.6
2022-05-24,12:26:20 PM,CR #301,4457.0,1.25,1236.0,,,179.6,573.0,3064.0,1385.0,Producing,73.8
2022-05-25,08:56:50 AM,CR #301,4457.0,1.25,1057.0,,,131.6,455.0,2434.0,2016.0,Producing,78.4
2022-05-31,11:38:15 AM,CR #301,4457.0,1.25,1057.0,,,87.3,449.0,2364.0,2086.0,Producing,169.5
2022-06-01,01:53:18 PM,CR #301,4457.0,1.25,1246.0,,,920.0,2830.0,2830.0,1620.0,Producing,114.8
2022-06-03,08:46:13 AM,CR #301,4457.0,1.25,1250.0,,,256.7,618.0,3302.0,1147.0,Producing,107.3
2022-06-06,12:50:32 PM,CR #301,4457.0,1.25,1285.0,,,1141.4,3504.0,3504.0,946.0,Producing,95.2
2022-06-06,12:56:44 PM,CR #301,4457.0,1.25,1271.0,,,194.9,650.0,3474.0,976.0,Producing,103.7
2022-06-13,12:51:02 PM,CR #301,4457.0,1.25,1234.0,,,64.2,327.0,1720.0,2730.0,Producing,171.5
2022-06-16,12:45:04 PM,CR #301,4457.0,1.25,1257.0,,,127.2,530.0,2835.0,1614.0,Producing,178.8
2022-06-21,08:28:57 AM,CR #301,4457.0,1.25,1229.0,,,115.0,489.0,2612.0,1838.0,Producing,170.4
2023-06-01,12:20:24 PM,CR #301,4457.0,1.25,1246.0,,,18.7,162.0,716.0,3734.0,Producing,164.0
2024-02-01,01:59:44 PM,CR #301,4457.0,1.25,1246.0,,,378.2,1138.0,1138.0,3311.0,Producing,121.9
2024-02-01,02:05:32 PM,CR #301,4457.0,1.25,1229.0,,,392.7,1183.0,1183.0,3266.0,Producing,122.3
2021-08-24,11:06:35 AM,CR #302,4272.0,1.25,1061.0,,,149.6,232.0,1130.0,3142.0,Producing,190.6
2021-09-21,12:22:58 PM,CR #302,4272.0,1.25,1223.0,,,173.9,246.0,976.0,3295.0,Producing,26.4
2021-09-30,01:59:33 PM,CR #302,4272.0,1.25,1193.0,,,91.2,5.0,18.0,4253.0,Producing,21.6
2021-10-12,04:02:06 PM,CR #302,4272.0,1.25,1189.0,,,57.1,,,4417.0,Producing,18.7
2021-10-29,08:57:10 AM,CR #302,4272.0,1.25,1220.0,,,94.4,8.0,31.0,4241.0,Producing,19.7
2022-02-16,04:12:10 PM,CR #302,4272.0,1.25,1184.0,,,95.1,7.0,27.0,4245.0,Producing,27.1
2022-04-01,11:49:47 AM,CR #302,4272.0,1.25,1179.0,,,91.8,,,4279.0,Producing,20.7
2022-05-04,10:24:07 AM,CR #302,4272.0,1.25,1194.0,,,99.0,26.0,107.0,4165.0,Producing,22.2
2022-05-18,09:05:49 AM,CR #302,4272.0,1.25,1249.0,,,277.0,555.0,2272.0,2000.0,Producing,20.0
2022-06-02,08:59:42 AM,CR #302,4272.0,1.25,1260.0,,,285.0,596.0,2786.0,1486.0,Producing,26.3
2022-06-30,08:57:08 AM,CR #302,4272.0,1.25,1247.0,,,369.3,824.0,3279.0,993.0,Producing,21.5
2022-07-26,09:35:35 AM,CR #302,4272.0,1.25,1171.0,,,184.8,266.0,983.0,3289.0,Producing,16.9
2023-04-24,01:15:09 PM,CR #302,4272.0,1.25,1203.0,,,179.7,254.0,954.0,3318.0,Producing,16.7
2024-02-02,08:36:34 AM,CR #302,4272.0,1.25,1169.0,,,94.3,,,4288.0,Producing,13.8
2021-06-30,10:39:32 AM,CR #401,3981.0,1.5,1223.0,,,65.4,8.0,40.0,3941.0,Producing,26.9
2021-07-09,02:35:16 PM,CR #401,3981.0,1.5,1194.0,,,69.4,14.0,68.0,3913.0,Producing,28.9
2021-07-23,01:13:08 PM,CR #401,3981.0,1.5,1193.0,,,53.0,21.0,102.0,3879.0,Producing,72.9
2021-08-12,01:38:09 PM,CR #401,3981.0,1.5,1231.0,,,238.3,462.0,1873.0,2108.0,Producing,3.1
2021-09-21,02:38:05 PM,CR #401,3981.0,1.5,1223.0,,,329.2,740.0,2862.0,1119.0,Producing,15.5
2021-09-30,09:56:51 AM,CR #401,3981.0,1.5,1125.0,,,82.5,37.0,169.0,3812.0,Producing,17.5
2021-10-12,10:32:18 AM,CR #401,4510.0,1.25,1146.0,,7.2,7.2,21.0,92.0,4368.0,Producing,16.4
2021-10-29,02:43:08 PM,CR #401,4510.0,1.25,1192.0,,12.1,12.1,36.0,149.0,4295.0,Producing,18.5
2021-11-03,02:52:17 PM,CR #401,4510.0,1.25,1210.0,,41.4,41.4,121.0,478.0,3943.0,Producing,16.8
2022-02-16,01:54:54 PM,CR #401,4510.0,1.25,1162.0,,4.4,4.4,23.0,94.0,4365.0,Producing,25.8
2022-04-19,03:35:19 PM,CR #401,4510.0,1.25,1164.0,,2.9,2.9,21.0,81.0,4384.0,Producing,28.3
2022-05-04,02:59:49 PM,CR #401,4510.0,1.25,1174.0,,3.0,3.0,20.0,73.0,4394.0,Producing,27.4
2022-06-02,12:43:36 PM,CR #401,4510.0,1.25,1138.0,,16.7,16.7,43.0,167.0,4273.0,Producing,27.1
2022-07-26,01:07:13 PM,CR #401,4510.0,1.25,1168.0,,1.3,1.3,19.0,71.0,4398.0,Producing,30.6
2023-09-27,10:59:29 AM,CR #401,4510.0,1.25,1184.0,,39.5,39.5,114.0,391.0,4030.0,Producing,16.1
2021-01-04,01:07:31 PM,CR #501,3747.0,1.5,1194.0,,,162.2,261.0,1202.0,2545.0,Producing,40.3
2021-01-04,01:12:02 PM,CR #501,3747.0,1.5,1196.0,,,159.6,255.0,1151.0,2596.0,Producing,44.1
2021-01-13,10:22:52 AM,CR #501,3747.0,1.5,1202.0,,,149.0,220.0,983.0,2764.0,Producing,43.5
2021-01-25,03:35:42 PM,CR #501,3747.0,1.5,1174.0,,,1402.1,3658.0,3658.0,89.0,Producing,15.7
2021-01-25,03:39:45 PM,CR #501,3747.0,1.5,1174.0,,,1406.3,3670.0,3670.0,77.0,Producing,14.9
2021-02-04,11:56:34 AM,CR #501,3747.0,1.5,1020.0,,,248.7,365.0,1557.0,2190.0,Producing,12.3
2021-02-05,03:01:19 PM,CR #501,3747.0,1.5,994.0,,,573.8,1141.0,1322.0,2425.0,Producing,11.1
2021-02-08,08:50:59 AM,CR #501,3747.0,1.5,952.0,,,549.8,992.0,992.0,2755.0,Producing,3.0
2021-02-08,08:55:10 AM,CR #501,3747.0,1.5,946.0,,,511.5,896.0,931.0,2816.0,Producing,2.8
2021-02-11,11:18:02 AM,CR #501,3747.0,1.5,1221.0,,,155.4,275.0,1472.0,2275.0,Producing,64.2
2021-02-22,02:51:35 PM,CR #501,3747.0,1.5,1189.0,,,291.8,435.0,689.0,3058.0,Producing,36.5
2021-03-03,02:28:41 PM,CR #501,3747.0,1.5,1184.0,,,81.2,14.0,62.0,3685.0,Producing,35.1
2021-03-08,02:52:54 PM,CR #501,3747.0,1.5,1108.0,,,130.3,148.0,600.0,3147.0,Producing,33.0
2021-03-26,01:35:26 PM,CR #501,3747.0,1.5,1197.0,,,149.3,206.0,898.0,2849.0,Producing,26.9
2021-04-05,01:43:39 PM,CR #501,3747.0,1.5,1176.0,,,145.1,143.0,442.0,3305.0,Producing,21.7
2021-04-13,01:19:39 PM,CR #501,3747.0,1.5,1170.0,,,152.0,211.0,899.0,2848.0,Producing,25.9
2021-04-30,01:47:05 PM,CR #501,3747.0,1.5,1198.0,,,83.8,5.0,21.0,3726.0,Producing,23.4
2021-05-13,09:46:43 AM,CR #501,3747.0,1.5,1246.0,,,182.7,308.0,1383.0,2364.0,Producing,29.3
2021-06-04,02:22:45 PM,CR #501,3747.0,1.5,1241.0,,,163.7,236.0,959.0,2788.0,Producing,22.9
