Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Lloyd #1,2016-03-30,6.81,84.0,0.0,0,0,
McLean #1,2016-03-30,0.0,0.0,0.0,0,0,
Montemayor #1,2016-03-30,0.0,0.0,0.0,0,0,
Peters EE A,2016-03-30,9.08,0.0,6.96,0,0,
Pierce Ranch #4,2016-03-30,0.0,30.0,8.35,0,0,
Preston #1,2016-03-30,13.36,0.0,53.18,0,0,
Pritchett #1,2016-03-30,0.0,0.0,0.0,0,0,
Stange #1D,2016-03-30,0.0,221.0,0.0,0,0,
Terrell #1,2016-03-30,0.0,346.0,13.36,0,0,
Wayne #1,2016-03-30,0.0,256.0,0.0,0,0,
Wendel Unit #1,2016-03-30,6.96,0.0,203.0,0,0,
Wendel-Rioux #1,2016-03-30,3.48,0.0,166.0,0,0,
Wittig Sisters #1,2016-03-30,0.0,21.0,39.52,0,0,
AL #1,2016-03-29,0.0,28.9,0.0,0,0,16/64 choke
Allen 1,2016-03-29,0.0,0.0,0.0,0,0,
American Breco #3X-D&F,2016-03-29,0.0,0.0,0.0,0,0,
Ann #1,2016-03-29,0.0,0.0,0.0,0,0,
Betty #1,2016-03-29,0.0,0.0,0.0,0,0,
Boone Est GU #1,2016-03-29,0.0,4.0,0.0,0,0,
Bowman 1,2016-03-29,0.0,0.0,0.0,0,0,
Box 1,2016-03-29,0.0,0.0,0.0,0,0,
Breco-Dyer #1,2016-03-29,0.0,52.0,0.0,0,0,
Carpenter #1,2016-03-29,0.0,85.0,1.16,0,0,
Clayton 1,2016-03-29,0.0,0.0,0.0,0,0,
Cornette #1,2016-03-29,0.0,0.0,0.0,0,0,
Dyer #1,2016-03-29,0.0,35.0,0.0,0,0,
Dyer #2,2016-03-29,0.0,20.0,0.0,0,0,"Rods parted, WOR"
Dyer #7,2016-03-29,0.0,25.0,0.0,0,0,
Dyer Unit #10,2016-03-29,0.0,70.0,10.02,0,0,
Etta #1,2016-03-29,0.0,0.0,0.0,0,0,
Flying G #1,2016-03-29,0.0,0.0,10.44,0,0,
Fridel #1,2016-03-29,6.81,29.0,41.75,0,0,
GB #1,2016-03-29,0.0,0.0,0.0,0,0,
George Foundation #1 & SP,2016-03-29,0.57,0.0,0.0,0,0,
Glaze #1,2016-03-29,0.0,350.0,385.87,0,0,
Haby #1,2016-03-29,0.0,0.0,0.0,0,0,
Hill #1,2016-03-29,0.0,0.0,0.0,0,0,
Hilmar Unit #2,2016-03-29,0.0,23.0,0.0,0,0,
Huber #1,2016-03-29,0.0,0.0,0.0,0,0,
JM Moore 178,2016-03-29,10.02,263.0,1.67,0,0,
JM Moore 192,2016-03-29,20.04,0.0,126.0,0,0,
Joe #1,2016-03-29,23.38,0.0,16.7,0,0,
Kirby #1,2016-03-29,20.04,512.0,74.89,0,0,
Knotts Unit #1H,2016-03-29,0.0,0.0,0.0,0,0,OFF
Kresta #1,2016-03-29,0.0,228.0,0.0,0,0,
Lansford #1,2016-03-29,0.0,0.0,0.0,0,0,
Lastly Unit #1,2016-03-29,0.0,0.0,0.0,0,0,Open well/ start comp
Lee #1H,2016-03-29,0.0,55.7,0.0,0,0,16/64 choke
Lisa #1,2016-03-29,0.0,0.0,0.0,0,0,
Lloyd #1,2016-03-29,6.81,8.0,0.0,0,0,
McLean #1,2016-03-29,0.0,0.0,0.0,0,0,
Montemayor #1,2016-03-29,0.0,0.0,0.0,0,0,
Peters EE A,2016-03-29,9.08,0.0,5.8,0,0,
Pierce Ranch #4,2016-03-29,0.0,33.0,10.02,0,0,
Preston #1,2016-03-29,8.35,0.0,65.13,0,0,
Pritchett #1,2016-03-29,0.0,0.0,0.0,0,0,
Stange #1D,2016-03-29,0.0,221.0,0.0,0,0,
Terrell #1,2016-03-29,0.0,345.0,13.36,0,0,
Wayne #1,2016-03-29,0.0,258.0,0.0,0,0,
Wendel Unit #1,2016-03-29,8.12,0.0,202.0,0,0,
Wendel-Rioux #1,2016-03-29,3.48,0.0,174.0,0,0,
Wittig Sisters #1,2016-03-29,0.0,22.0,176.4,0,0,
AL #1,2016-03-28,0.0,35.1,0.0,0,0,16/64 choke
Allen 1,2016-03-28,0.0,0.0,0.0,0,0,
American Breco #3X-D&F,2016-03-28,0.0,0.0,0.0,0,0,
Ann #1,2016-03-28,0.0,0.0,0.0,0,0,
Betty #1,2016-03-28,0.0,0.0,0.0,0,0,
Boone Est GU #1,2016-03-28,0.0,2.0,0.0,0,0,
Bowman 1,2016-03-28,0.0,0.0,0.0,0,0,
Box 1,2016-03-28,0.0,0.0,0.0,0,0,
Breco-Dyer #1,2016-03-28,0.0,55.0,0.0,0,0,
Carpenter #1,2016-03-28,0.0,41.0,0.0,0,0,
Clayton 1,2016-03-28,0.0,0.0,0.0,0,0,
Cornette #1,2016-03-28,0.0,0.0,0.0,0,0,
Dyer #1,2016-03-28,0.0,38.0,0.0,0,0,
Dyer #2,2016-03-28,0.0,110.0,100.0,0,0,Rods Parted Waiting on rig
Dyer #7,2016-03-28,0.0,25.0,0.0,0,0,
Dyer Unit #10,2016-03-28,0.0,95.0,10.02,0,0,
Etta #1,2016-03-28,0.0,0.0,0.0,0,0,
Flying G #1,2016-03-28,0.0,0.0,11.6,0,0,
Fridel #1,2016-03-28,4.54,25.0,48.13,0,0,
GB #1,2016-03-28,0.0,0.0,0.0,0,0,
George Foundation #1 & SP,2016-03-28,0.51,0.0,0.0,0,0,
Glaze #1,2016-03-28,0.0,364.0,391.3,0,0,
Haby #1,2016-03-28,0.0,0.0,0.0,0,0,
Hill #1,2016-03-28,0.0,0.0,0.0,0,0,
Hilmar Unit #2,2016-03-28,0.0,24.0,0.0,0,0,
Huber #1,2016-03-28,0.0,0.0,0.0,0,0,
JM Moore 178,2016-03-28,8.35,265.0,0.0,0,0,
JM Moore 192,2016-03-28,20.04,0.0,132.0,0,0,
Joe #1,2016-03-28,6.68,0.0,13.36,0,0,
Kirby #1,2016-03-28,23.38,0.0,75.15,0,0,
Knotts Unit #1H,2016-03-28,0.0,0.0,0.0,0,0,OFF
Kresta #1,2016-03-28,0.0,245.0,0.0,0,0,
Lansford #1,2016-03-28,0.0,0.0,0.0,0,0,
Lastly Unit #1,2016-03-28,0.0,0.0,0.0,0,0,"Line froze up between tsb and csg 
Equalize tsb and csg"
Lee #1H,2016-03-28,0.0,56.1,0.0,0,0,16/64 choke
Lisa #1,2016-03-28,0.0,0.0,0.0,0,0,
Lloyd #1,2016-03-28,4.54,8.0,0.0,0,0,
McLean #1,2016-03-28,0.0,0.0,0.0,0,0,
Montemayor #1,2016-03-28,0.0,0.0,0.0,0,0,
Peters EE A,2016-03-28,6.81,0.0,6.96,0,0,
Pierce Ranch #4,2016-03-28,0.0,31.0,6.68,0,0,
Preston #1,2016-03-28,20.04,0.0,60.12,0,0,
Pritchett #1,2016-03-28,0.0,0.0,0.0,0,0,
Stange #1D,2016-03-28,0.0,222.0,0.0,0,0,
Terrell #1,2016-03-28,0.0,346.0,15.03,0,0,
Wayne #1,2016-03-28,0.0,261.0,0.0,0,0,
Wendel Unit #1,2016-03-28,6.96,0.0,204.0,0,0,
Wendel-Rioux #1,2016-03-28,0.0,0.0,0.0,0,0,back on
Wittig Sisters #1,2016-03-28,0.0,21.0,44.08,0,0,
AL #1,2016-03-27,0.0,34.6,0.0,0,0,16/64 choke
Allen 1,2016-03-27,0.0,0.0,0.0,0,0,
American Breco #3X-D&F,2016-03-27,0.0,0.0,0.0,0,0,
Ann #1,2016-03-27,0.0,0.0,0.0,0,0,
Betty #1,2016-03-27,0.0,0.0,0.0,0,0,
Boone Est GU #1,2016-03-27,0.0,3.0,0.0,0,0,
Bowman 1,2016-03-27,0.0,0.0,0.0,0,0,
Box 1,2016-03-27,0.0,0.0,0.0,0,0,
Breco-Dyer #1,2016-03-27,0.0,49.0,0.0,0,0,
Carpenter #1,2016-03-27,0.0,119.0,2.32,0,0,
Clayton 1,2016-03-27,0.0,0.0,0.0,0,0,
Cornette #1,2016-03-27,0.0,0.0,0.0,0,0,
Dyer #1,2016-03-27,0.0,36.0,0.0,0,0,
Dyer #2,2016-03-27,0.0,142.0,115.0,0,0,
Dyer #7,2016-03-27,0.0,20.0,9.08,0,0,
Dyer Unit #10,2016-03-27,0.0,75.0,21.47,0,0,
Etta #1,2016-03-27,0.0,0.0,0.0,0,0,
Flying G #1,2016-03-27,5.01,0.0,65.04,0,0,
Fridel #1,2016-03-27,6.81,24.0,33.4,0,0,
GB #1,2016-03-27,0.0,0.0,0.0,0,0,
George Foundation #1 & SP,2016-03-27,0.0,0.0,0.0,0,0,
Glaze #1,2016-03-27,1.67,359.0,394.5,0,0,
Haby #1,2016-03-27,0.0,0.0,0.0,0,0,
Hill #1,2016-03-27,0.0,0.0,0.0,0,0,
Hilmar Unit #2,2016-03-27,0.0,26.0,0.0,0,0,
Huber #1,2016-03-27,0.0,0.0,0.0,0,0,
JM Moore 178,2016-03-27,23.38,284.0,1.67,0,0,
JM Moore 192,2016-03-27,21.71,0.0,120.0,0,0,
Joe #1,2016-03-27,8.35,0.0,6.68,0,0,
Kirby #1,2016-03-27,16.7,0.0,81.57,0,0,
Knotts Unit #1H,2016-03-27,0.0,0.0,0.0,0,0,OFF
Kresta #1,2016-03-27,0.0,240.0,0.0,0,0,
Lansford #1,2016-03-27,0.0,0.0,0.0,0,0,
Lastly Unit #1,2016-03-27,0.0,0.0,0.0,0,0,Equalize
Lee #1H,2016-03-27,0.0,56.0,0.0,0,0,16/64 choke
Lisa #1,2016-03-27,0.0,0.0,0.0,0,0,
Lloyd #1,2016-03-27,4.54,3.0,0.0,0,0,
McLean #1,2016-03-27,0.0,0.0,0.0,0,0,
Montemayor #1,2016-03-27,0.0,0.0,0.0,0,0,
Peters EE A,2016-03-27,9.08,0.0,8.12,0,0,
Pierce Ranch #4,2016-03-27,0.0,32.0,10.02,0,0,
Preston #1,2016-03-27,13.36,0.0,76.56,0,0,
Pritchett #1,2016-03-27,0.0,0.0,0.0,0,0,
Stange #1D,2016-03-27,0.0,228.0,0.0,0,0,
Terrell #1,2016-03-27,0.0,346.0,16.7,0,0,
Wayne #1,2016-03-27,0.0,270.0,0.0,0,0,
Wendel Unit #1,2016-03-27,10.44,0.0,201.0,0,0,
Wendel-Rioux #1,2016-03-27,0.0,0.0,0.0,0,0,
Wittig Sisters #1,2016-03-27,0.0,20.0,41.84,0,0,
AL #1,2016-03-26,0.0,29.9,0.0,0,0,16/64 choke
Allen 1,2016-03-26,0.0,0.0,0.0,0,0,
American Breco #3X-D&F,2016-03-26,0.0,0.0,0.0,0,0,
Ann #1,2016-03-26,0.0,0.0,0.0,0,0,
Betty #1,2016-03-26,1.67,0.0,0.0,0,0,
Boone Est GU #1,2016-03-26,0.0,2.0,0.0,0,0,
Bowman 1,2016-03-26,0.0,0.0,0.0,0,0,
Box 1,2016-03-26,0.0,0.0,0.0,0,0,
Breco-Dyer #1,2016-03-26,0.0,49.0,0.0,0,0,
Carpenter #1,2016-03-26,0.0,123.0,0.0,0,0,
Clayton 1,2016-03-26,0.0,0.0,0.0,0,0,
Cornette #1,2016-03-26,0.0,0.0,0.0,0,0,
Dyer #1,2016-03-26,0.0,36.0,41.62,0,0,
Dyer #2,2016-03-26,0.0,163.0,115.0,0,0,
Dyer #7,2016-03-26,0.0,20.0,0.0,0,0,
Dyer Unit #10,2016-03-26,0.0,91.0,0.0,0,0,
Etta #1,2016-03-26,0.0,0.0,0.0,0,0,
Flying G #1,2016-03-26,26.62,0.0,26.68,0,0,
