Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Allen 1,2015-09-30,0.0,0.0,0.0,0,0,
Betty #1,2015-09-30,0.0,0.0,0.0,0,0,
Bowman 1,2015-09-30,0.0,0.0,0.0,0,0,
Box 1,2015-09-30,0.0,0.0,0.0,0,0,
Clayton 1,2015-09-30,0.0,0.0,0.0,0,0,
Cornette #1,2015-09-30,0.0,0.0,0.0,0,0,
Flying G #1,2015-09-30,0.0,0.0,0.0,0,0,
Haby #1,2015-09-30,0.0,0.0,0.0,0,0,
Huber #1,2015-09-30,0.0,0.0,0.0,0,0,
Joe #1,2015-09-30,22.15,0.0,0.0,0,0,
Lansford #1,2015-09-30,8.35,80.9,0.0,0,0,
Lisa #1,2015-09-30,0.0,0.0,0.0,0,0,
McLean #1,2015-09-30,4.54,0.0,0.0,0,0,
Montemayor #1,2015-09-30,0.0,0.0,0.0,0,0,
Pritchett #1,2015-09-30,0.0,21.0,0.0,0,0,
Allen 1,2015-09-29,0.0,0.0,0.0,0,0,
Betty #1,2015-09-29,0.0,0.0,0.0,0,0,
Bowman 1,2015-09-29,0.0,0.0,0.0,0,0,
Box 1,2015-09-29,0.0,0.0,0.0,0,0,
Clayton 1,2015-09-29,0.0,0.0,0.0,0,0,
Cornette #1,2015-09-29,0.0,0.0,0.0,0,0,
Flying G #1,2015-09-29,0.0,0.0,0.0,0,0,
Haby #1,2015-09-29,0.0,0.0,0.0,0,0,
Huber #1,2015-09-29,0.0,0.0,0.0,0,0,
Joe #1,2015-09-29,5.01,0.0,0.0,0,0,
Lansford #1,2015-09-29,1.67,82.7,0.0,0,0,
Lisa #1,2015-09-29,0.0,66.0,0.0,0,0,
McLean #1,2015-09-29,6.81,0.0,0.0,0,0,
Montemayor #1,2015-09-29,0.0,0.0,0.0,0,0,
Pritchett #1,2015-09-29,0.0,11.0,0.0,0,0,
Allen 1,2015-09-28,0.0,0.0,0.0,0,0,
Betty #1,2015-09-28,0.0,0.0,0.0,0,0,
Bowman 1,2015-09-28,0.0,0.0,0.0,0,0,
