Well
Anhaiser #1
Anna Louisa #1
Bowman #1
Buck #1
Caza #1
Clayton #1
Cornett #1
Dial #1
Dunkle #1
Elaine #1
Fgp #1
Harold #1
Heitz #1
Kincaid #1
Lansford #1
Lisa #1
Opa #1
Pickens Ranch #2H
Pritchett #1
Tebo #1
Teel #1
Tortuga Ranch #1H
Triple J #1
Triplitt Unit #1H
Wagner Farms #1
Woodward #1
