Date,Time,Well Name,Seating Nipple Depth (ft),Pump Run Date,Surface Unit API,Strokes Per Minute (SPM),Maximum Plunger Stroke (in),Pump Displacement (BBL/D),Gas Free Above Pump (ft),Fluid Above Pump (ft),Adjusted Displacement (BBL/D)
02/23/2024,07:53:02 AM,Peters #6,7975,02/23/2024,,,,,,,
02/23/2024,08:04:19 AM,Peters #7,7755,02/23/2024,C-456D-256-144,6.78,116.04,37,,,0
02/23/2024,08:10:23 AM,Peters #7,7755,02/23/2024,C-456D-256-144,,,,277,564,
02/22/2024,02:52:52 PM,Post Oak #1,8338,02/22/2024,,6.40,68.88,54,,,36
02/22/2024,02:58:43 PM,Post Oak #1,8338,02/22/2024,,,,,,,
02/22/2024,03:03:02 PM,Post Oak #1,8338,02/22/2024,,,,,,,
02/22/2024,02:38:58 PM,Post Oak #2,8250,02/22/2024,,8.23,67.09,121,,,104
02/22/2024,02:41:21 PM,Post Oak #2,8250,02/22/2024,,,,,512,2016,
02/22/2024,04:11:03 PM,RA #1,8200,02/22/2024,,5.48,82.64,33,,,7
02/22/2024,04:14:08 PM,RA #1,8200,02/22/2024,,,,,,,
02/21/2024,12:30:27 PM,RB Clary #1,8096,02/21/2024,C-320D-305-120,8.19,67.56,88,,,71
02/21/2024,12:32:55 PM,RB Clary #1,8096,02/21/2024,C-320D-305-120,,,,,,
02/20/2024,10:54:14 AM,Ruen #1,8500,01/12/2024,C-320D-256-144,6.13,110.92,20,,,0
02/20/2024,11:00:19 AM,Ruen #1,8500,01/12/2024,C-320D-256-144,,,,,,
02/20/2024,11:09:37 AM,Ruen #1,8500,01/12/2024,C-320D-256-144,5.00,114.17,23,,,0
02/20/2024,01:27:39 PM,Ruen #2,8202,02/20/2024,C-320D-256-120,8.25,57.96,50,,,26
02/20/2024,01:49:32 PM,Ruen #2,8202,02/20/2024,C-320D-256-120,,,,240,1165,
02/20/2024,01:57:11 PM,Ruen #2,8202,02/20/2024,C-320D-256-120,8.26,61.94,51,,,20
02/20/2024,02:03:17 PM,Ruen #3,8294,02/24/2023,C-320D-256-120,7.40,56.84,20,,,-0
02/20/2024,02:15:12 PM,Ruen #3,8294,02/24/2023,C-320D-256-120,,,,1067,4127,
02/20/2024,02:20:11 PM,Ruen #3,8294,02/24/2023,C-320D-256-120,,,,,,
02/20/2024,02:33:57 PM,Ruen #3,8294,02/24/2023,C-320D-256-120,4.90,61.78,45,,,30
02/23/2024,12:58:23 PM,Sandifer #1,8025,02/23/2024,,5.33,85.56,58,,,41
02/23/2024,01:00:22 PM,Sandifer #1,8025,02/23/2024,,,,,929,929,
02/23/2024,11:21:38 AM,Soell #1,8050,02/23/2024,,7.19,44.64,57,,,47
02/23/2024,11:26:15 AM,Soell #1,8050,02/23/2024,,,,,,,
02/22/2024,12:12:24 PM,Sutton #1,8688,02/21/2024,,5.73,104.94,102,,,90
02/22/2024,12:15:21 PM,Sutton #1,8688,02/21/2024,,,,,298,1408,
02/22/2024,12:19:55 PM,Sutton #1,8688,02/21/2024,,,,,300,1392,
02/22/2024,01:53:43 PM,Sutton #2,8350,02/22/2024,C-320D-256-120,7.30,61.31,61,,,44
02/22/2024,01:56:40 PM,Sutton #2,8350,02/22/2024,C-320D-256-120,,,,,,
02/22/2024,02:14:08 PM,Sutton #3,8225,02/22/2024,,6.16,94.12,43,,,4
02/22/2024,02:16:56 PM,Sutton #3,8225,02/22/2024,,,,,477,1584,
02/23/2024,12:35:06 PM,Timothy #1,8025,02/23/2024,,6.18,113.15,62,,,20
02/22/2024,11:05:53 AM,Watson-Buck #1,7830,02/22/2024,,3.25,87.15,38,,,26
02/22/2024,11:10:30 AM,Watson-Buck #1,7830,02/22/2024,,,,,,,
02/22/2024,01:14:15 PM,Webb #1,8061,01/26/2021,,6.77,71.98,32,,,-3
02/22/2024,01:17:01 PM,Webb #1,8061,01/26/2021,,,,,689,2708,
02/22/2024,01:19:25 PM,Webb #1,8061,01/26/2021,,,,,109,437,
02/21/2024,12:47:04 PM,White Springer #1,8122,05/19/2023,,5.75,87.03,13,,,0
02/21/2024,12:50:57 PM,White Springer #1,8122,05/19/2023,,,,,,,
02/22/2024,05:34:55 PM,Wiese #1,7500,02/22/2024,,6.93,92.01,50,,,8
02/22/2024,05:38:09 PM,Wiese #1,7500,02/22/2024,,,,,136,257,
02/20/2024,11:32:32 AM,William #1,8493,01/14/2021,,6.37,106.52,50,,,0
02/20/2024,11:36:07 AM,William #1,8493,01/14/2021,,,,,510,1796,
02/21/2024,11:39:11 AM,Willie #1,8195,01/13/2021,,5.80,86.38,84,,,71
02/21/2024,11:41:55 AM,
02/21/2024,11:41:55 AM,Willie #1,8195,01/13/2021,,,,,,,
02/22/2024,12:54:42 PM,WS #1,8588,02/21/2024,,6.71,66.34,15,,,3
02/22/2024,12:57:07 PM,WS #1,8588,02/21/2024,,,,,811,3999,
02/22/2024,01:00:54 PM,WS #1,8588,02/21/2024,,,,,,,
