Oil
23879
16252
11503
9120
8695
7126
6674
5074
4992
4288
6499
5898
4776
3702
2620
3242
1489
2937
2283
2236
740
0
0
643
2775
1460
1417
1555
1927
1076
1643
2235
2140
2051
1689
1613
1850
1394
950
1047
1091
1048
963
885
675
1071
972
1031
1027
880
556
706
243
49
437
821
489
660
557
504
570
518
351
306
550
776
688
686
743
706
741
677
813
673
722
1001
1155
926
449
794
763
719
580
1032
815
674
718
589
964
673
614
465
573
394
758
529
250
466
518
