Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Date
Dyer 'D' #5,302.0,19545.0,264.0,9940.0,0.0,2003-10-01
CL Moore 12,4049.0,3274.0,30665.0,0.0,0.0,2003-10-01
JM Moore,7748.0,8743.0,11059.0,0.0,0.0,2003-10-01
CL Moore 12,3796.0,2856.0,31039.0,0.0,0.0,2003-11-01
Lottie #1,872.0,450.0,3619.0,1500.0,0.0,2003-11-01
Gulf Coast Total,12482.0,27088.0,45837.0,13210.0,0.0,2003-11-01
Dyer 'D' #5,220.0,15031.0,203.0,11710.0,0.0,2003-11-01
JM Moore,7594.0,8751.0,10976.0,0.0,0.0,2003-11-01
Dyer 'D' #5,230.0,14911.0,165.0,13990.0,0.0,2003-12-01
CL Moore 12,3728.0,2724.0,30130.0,0.0,0.0,2003-12-01
Lottie #1,648.0,332.0,2534.0,1190.0,0.0,2003-12-01
JM Moore,7584.0,8319.0,10714.0,0.0,0.0,2003-12-01
Gulf Coast Total,12190.0,26286.0,43543.0,15180.0,0.0,2003-12-01
Gulf Coast Total,11386.0,28802.0,42227.0,14805.0,0.0,2004-01-01
Dyer 'D' #5,104.0,14762.0,186.0,12645.0,0.0,2004-01-01
Lottie #1,835.0,262.0,4175.0,2160.0,0.0,2004-01-01
JM Moore,6719.0,11521.0,11167.0,0.0,0.0,2004-01-01
CL Moore 12,3728.0,2257.0,26699.0,0.0,0.0,2004-01-01
Gulf Coast Total,10304.0,27404.0,34661.0,11010.0,0.0,2004-02-01
Lottie #1,868.0,260.0,3817.0,2030.0,0.0,2004-02-01
CL Moore 12,3324.0,1770.0,19836.0,0.0,0.0,2004-02-01
Dyer 'D' #5,233.0,16164.0,204.0,8980.0,0.0,2004-02-01
JM Moore,5879.0,9210.0,10804.0,0.0,0.0,2004-02-01
Dyer 'D' #5,208.0,16598.0,194.0,6885.0,0.0,2004-03-01
Lottie #1,847.0,243.0,3845.0,2120.0,0.0,2004-03-01
Gulf Coast Total,13007.0,26823.0,36162.0,9005.0,0.0,2004-03-01
JM Moore,8441.0,8549.0,11139.0,0.0,0.0,2004-03-01
CL Moore 12,3511.0,1433.0,20984.0,0.0,0.0,2004-03-01
Dyer 'D' #5,158.0,13489.0,224.0,5040.0,0.0,2004-04-01
JM Moore,11142.0,9143.0,11138.0,0.0,0.0,2004-04-01
Lottie #1,647.0,218.0,3323.0,2100.0,0.0,2004-04-01
Gulf Coast Total,14968.0,24301.0,33728.0,7140.0,0.0,2004-04-01
CL Moore 12,3021.0,1451.0,19043.0,0.0,0.0,2004-04-01
Lottie #1,711.0,120.0,3533.0,815.0,0.0,2004-05-01
Gulf Coast Total,15289.0,27837.0,41097.0,5885.0,0.0,2004-05-01
CL Moore 12,3516.0,1663.0,25715.0,0.0,0.0,2004-05-01
JM Moore,10922.0,11133.0,11629.0,0.0,0.0,2004-05-01
Dyer 'D' #5,140.0,14921.0,220.0,5070.0,0.0,2004-05-01
Dyer 'D' #5,138.0,12502.0,221.0,6000.0,0.0,2004-06-01
Gulf Coast Total,12119.0,22589.0,36503.0,6875.0,0.0,2004-06-01
Lottie #1,745.0,115.0,3531.0,735.0,0.0,2004-06-01
JM Moore,8146.0,8033.0,10788.0,140.0,0.0,2004-06-01
CL Moore 12,3090.0,1939.0,21963.0,0.0,0.0,2004-06-01
Gulf Coast Total,12719.0,20770.0,41220.0,7040.0,0.0,2004-07-01
Lottie #1,727.0,115.0,3658.0,700.0,0.0,2004-07-01
JM Moore,8586.0,7335.0,14707.0,0.0,0.0,2004-07-01
Dyer 'D' #5,135.0,11562.0,216.0,6340.0,0.0,2004-07-01
CL Moore 12,3271.0,1758.0,22639.0,0.0,0.0,2004-07-01
Lottie #1,830.0,124.0,3896.0,775.0,0.0,2004-08-01
JM Moore,7402.0,6349.0,16281.0,0.0,0.0,2004-08-01
CL Moore 12,2280.0,0.0,19464.0,0.0,0.0,2004-08-01
Gulf Coast Total,10658.0,18329.0,39853.0,6855.0,0.0,2004-08-01
Dyer 'D' #5,146.0,11856.0,212.0,6080.0,0.0,2004-08-01
CL Moore 12,3378.0,213.0,28168.0,0.0,0.0,2004-09-01
Dyer 'D' #5,123.0,11554.0,188.0,5060.0,0.0,2004-09-01
Gulf Coast Total,11916.0,18066.0,51802.0,5705.0,0.0,2004-09-01
JM Moore,7735.0,6196.0,20056.0,0.0,0.0,2004-09-01
Lottie #1,680.0,103.0,3390.0,645.0,0.0,2004-09-01
JM Moore,7439.0,3334.0,20246.0,0.0,0.0,2004-10-01
Lottie #1,821.0,123.0,3967.0,775.0,0.0,2004-10-01
CL Moore 12,3255.0,93.0,23172.0,0.0,0.0,2004-10-01
Dyer 'D' #5,125.0,10791.0,286.0,4960.0,0.0,2004-10-01
Gulf Coast Total,11640.0,14341.0,47671.0,5735.0,0.0,2004-10-01
Gulf Coast Total,10898.0,16202.0,49763.0,38395.0,0.0,2004-11-01
CL Moore 12,3208.0,129.0,24047.0,0.0,0.0,2004-11-01
Mueller #1,5.0,2756.0,22.0,31600.0,0.0,2004-11-01
Dyer 'D' #5,123.0,10111.0,212.0,6045.0,0.0,2004-11-01
JM Moore,6760.0,3086.0,21504.0,0.0,0.0,2004-11-01
Lottie #1,802.0,120.0,3978.0,750.0,0.0,2004-11-01
Mueller #1,0.0,17759.0,1264.0,76950.0,0.0,2004-12-01
Gulf Coast Total,9650.0,29517.0,51586.0,86020.0,0.0,2004-12-01
Lottie #1,543.0,66.0,3254.0,600.0,0.0,2004-12-01
JM Moore,5806.0,3021.0,22346.0,0.0,0.0,2004-12-01
Dyer 'D' #5,121.0,8671.0,201.0,8470.0,0.0,2004-12-01
CL Moore 12,3180.0,0.0,24521.0,0.0,0.0,2004-12-01
JM Moore,6333.0,4089.0,25802.0,0.0,0.0,2005-01-01
CL Moore 12,2910.0,119.0,24595.0,0.0,0.0,2005-01-01
Gulf Coast Total,10420.0,94446.0,57982.0,148240.0,0.0,2005-01-01
Dyer 'D' #5,170.0,8293.0,193.0,10280.0,0.0,2005-01-01
Mueller #1,319.0,81943.0,3417.0,137260.0,0.0,2005-01-01
Lottie #1,688.0,2.0,3975.0,700.0,0.0,2005-01-01
Gulf Coast Total,9833.0,84582.0,50576.0,106980.0,0.0,2005-02-01
JM Moore,5581.0,3195.0,23606.0,0.0,0.0,2005-02-01
CL Moore 12,2469.0,0.0,22336.0,0.0,0.0,2005-02-01
Lottie #1,455.0,0.0,2706.0,600.0,0.0,2005-02-01
Mueller #1,1211.0,72664.0,1727.0,100280.0,0.0,2005-02-01
Dyer 'D' #5,117.0,8723.0,201.0,6100.0,0.0,2005-02-01
Lottie #1,538.0,106.0,3430.0,650.0,0.0,2005-03-01
Mueller #1,1123.0,70016.0,1374.0,93310.0,0.0,2005-03-01
Gulf Coast Total,10894.0,83026.0,53663.0,101150.0,0.0,2005-03-01
Dyer 'D' #5,124.0,9903.0,193.0,7190.0,0.0,2005-03-01
CL Moore 12,2663.0,106.0,23478.0,0.0,0.0,2005-03-01
JM Moore,6446.0,2895.0,25188.0,0.0,0.0,2005-03-01
Lottie #1,443.0,0.0,2764.0,585.0,0.0,2005-04-01
Dyer 'D' #5,109.0,9754.0,227.0,5400.0,0.0,2005-04-01
CL Moore 12,2148.0,0.0,22131.0,0.0,0.0,2005-04-01
JM Moore,5912.0,1663.0,23402.0,0.0,0.0,2005-04-01
Mueller #1,927.0,58448.0,1142.0,84235.0,0.0,2005-04-01
Gulf Coast Total,9539.0,69865.0,49666.0,90220.0,0.0,2005-04-01
Gulf Coast Total,9595.0,79897.0,51729.0,67995.0,0.0,2005-05-01
Mueller #1,934.0,67348.0,1415.0,62080.0,0.0,2005-05-01
Dyer 'D' #5,106.0,9741.0,199.0,5140.0,0.0,2005-05-01
JM Moore,5729.0,2808.0,23238.0,0.0,0.0,2005-05-01
Lottie #1,736.0,0.0,4156.0,775.0,0.0,2005-05-01
CL Moore 12,2090.0,0.0,22721.0,0.0,0.0,2005-05-01
CL Moore 12,2211.0,145.0,24835.0,0.0,0.0,2005-06-01
