Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Date
CL Moore 12,2103.0,158.0,22710.0,0.0,0.0,2007-12-01
Dyer #10,251.0,24231.0,2107.0,15970.0,0.0,2007-12-01
Gulf Coast Total,8252.0,49106.0,64697.0,30665.0,0.0,2007-12-01
Lottie #1,488.0,0.0,4174.0,900.0,0.0,2008-01-01
Mueller #1,146.0,12098.0,851.0,7100.0,0.0,2008-01-01
JM Moore,5140.0,3770.0,34925.0,0.0,0.0,2008-01-01
CL Moore 12,2008.0,0.0,23227.0,0.0,0.0,2008-01-01
Dyer 'D' #5,74.0,8077.0,67.0,2805.0,0.0,2008-01-01
Dyer #10,206.0,21327.0,2417.0,11050.0,0.0,2008-01-01
Gulf Coast Total,8062.0,45272.0,65661.0,21855.0,0.0,2008-01-01
Lottie #1,498.0,0.0,3785.0,870.0,0.0,2008-02-01
CL Moore 12,2136.0,0.0,20832.0,0.0,0.0,2008-02-01
Dyer 'D' #5,88.0,9442.0,68.0,3270.0,0.0,2008-02-01
JM Moore,4362.0,3308.0,32150.0,0.0,0.0,2008-02-01
Gulf Coast Total,7462.0,42387.0,60203.0,18095.0,0.0,2008-02-01
Mueller #1,144.0,10855.0,769.0,6435.0,0.0,2008-02-01
Dyer #10,234.0,18782.0,2599.0,7520.0,0.0,2008-02-01
Mueller #1,154.0,11487.0,877.0,7130.0,0.0,2008-03-01
Dyer #10,224.0,18564.0,2531.0,7220.0,0.0,2008-03-01
Gulf Coast Total,8448.0,43618.0,65991.0,19700.0,0.0,2008-03-01
JM Moore,5338.0,3582.0,36760.0,0.0,0.0,2008-03-01
CL Moore 12,2318.0,0.0,22929.0,0.0,0.0,2008-03-01
Dyer 'D' #5,59.0,9985.0,67.0,4660.0,0.0,2008-03-01
Lottie #1,355.0,0.0,2827.0,690.0,0.0,2008-03-01
CL Moore 12,1839.0,0.0,19132.0,0.0,0.0,2008-04-01
Dyer #10,189.0,16120.0,2193.0,6440.0,0.0,2008-04-01
Dyer 'D' #5,87.0,9400.0,60.0,4910.0,0.0,2008-04-01
Gulf Coast Total,7071.0,40322.0,57807.0,19210.0,0.0,2008-04-01
Mueller #1,112.0,10596.0,796.0,7080.0,0.0,2008-04-01
Lottie #1,405.0,0.0,3850.0,780.0,0.0,2008-04-01
JM Moore,4439.0,4206.0,31776.0,0.0,0.0,2008-04-01
Dyer #10,193.0,16241.0,1969.0,6460.0,0.0,2008-05-01
Dyer 'D' #5,87.0,9841.0,96.0,4190.0,0.0,2008-05-01
CL Moore 12,2322.0,0.0,27644.0,0.0,0.0,2008-05-01
Mueller #1,111.0,10820.0,838.0,5300.0,0.0,2008-05-01
JM Moore,5245.0,4715.0,35264.0,0.0,0.0,2008-05-01
Lottie #1,549.0,0.0,4421.0,930.0,0.0,2008-05-01
Gulf Coast Total,8507.0,41617.0,70232.0,16880.0,0.0,2008-05-01
JM Moore,4410.0,4906.0,31544.0,143.0,0.0,2008-06-01
Mueller #1,123.0,9908.0,745.0,6030.0,0.0,2008-06-01
CL Moore 12,2092.0,0.0,26238.0,0.0,0.0,2008-06-01
Lottie #1,649.0,0.0,4269.0,900.0,0.0,2008-06-01
Dyer #10,175.0,13655.0,1868.0,7510.0,0.0,2008-06-01
Gulf Coast Total,7513.0,37422.0,64719.0,20333.0,0.0,2008-06-01
Dyer 'D' #5,64.0,8953.0,55.0,5750.0,0.0,2008-06-01
JM Moore,4615.0,3911.0,33350.0,0.0,0.0,2008-07-01
Lottie #1,491.0,0.0,4332.0,930.0,0.0,2008-07-01
CL Moore 12,1867.0,0.0,21006.0,0.0,0.0,2008-07-01
Dyer #10,164.0,13851.0,1763.0,6740.0,0.0,2008-07-01
Dyer 'D' #5,74.0,7869.0,66.0,4580.0,0.0,2008-07-01
Gulf Coast Total,7318.0,36030.0,61342.0,17620.0,0.0,2008-07-01
Mueller #1,107.0,10399.0,825.0,5370.0,0.0,2008-07-01
Mueller #1,94.0,10386.0,821.0,5130.0,0.0,2008-08-01
Dyer 'D' #5,69.0,7566.0,67.0,3610.0,0.0,2008-08-01
Lottie #1,440.0,0.0,4208.0,900.0,0.0,2008-08-01
Gulf Coast Total,7560.0,35462.0,65623.0,15840.0,0.0,2008-08-01
Dyer #10,161.0,13061.0,1459.0,6200.0,0.0,2008-08-01
CL Moore 12,2214.0,0.0,25790.0,0.0,0.0,2008-08-01
JM Moore,4582.0,4449.0,33278.0,0.0,0.0,2008-08-01
Gulf Coast Total,5602.0,17735.0,51022.0,15730.0,0.0,2008-09-01
Mueller #1,50.0,6460.0,452.0,3310.0,0.0,2008-09-01
Dyer 'D' #5,46.0,3634.0,35.0,3220.0,0.0,2008-09-01
Lottie #1,258.0,0.0,2991.0,600.0,0.0,2008-09-01
JM Moore,3463.0,1817.0,27023.0,0.0,0.0,2008-09-01
CL Moore 12,1693.0,0.0,20030.0,0.0,0.0,2008-09-01
Dyer #10,92.0,5824.0,491.0,8600.0,0.0,2008-09-01
Mueller #1,129.0,11774.0,690.0,10520.0,0.0,2008-10-01
CL Moore 12,1266.0,0.0,16716.0,0.0,0.0,2008-10-01
Dyer #10,168.0,14466.0,1784.0,5670.0,0.0,2008-10-01
Lottie #1,445.0,0.0,4076.0,900.0,0.0,2008-10-01
Gulf Coast Total,7128.0,38514.0,56163.0,20250.0,0.0,2008-10-01
Dyer 'D' #5,83.0,7303.0,67.0,3160.0,0.0,2008-10-01
JM Moore,5037.0,4971.0,32830.0,0.0,0.0,2008-10-01
JM Moore,4660.0,3902.0,32280.0,0.0,0.0,2008-11-01
Dyer 'D' #5,73.0,8375.0,73.0,2155.0,0.0,2008-11-01
Dyer #10,136.0,10725.0,1376.0,4650.0,0.0,2008-11-01
CL Moore 12,1454.0,0.0,19880.0,0.0,0.0,2008-11-01
Gulf Coast Total,6615.0,33697.0,56206.0,13510.0,0.0,2008-11-01
Lottie #1,184.0,0.0,1838.0,420.0,0.0,2008-11-01
Mueller #1,108.0,10695.0,759.0,6285.0,0.0,2008-11-01
Dyer #10,129.0,10219.0,1291.0,6430.0,0.0,2008-12-01
CL Moore 12,2290.0,0.0,29165.0,0.0,0.0,2008-12-01
Gulf Coast Total,7584.0,31470.0,68978.0,14465.0,0.0,2008-12-01
JM Moore,4582.0,3633.0,33700.0,0.0,0.0,2008-12-01
Mueller #1,93.0,8595.0,712.0,4645.0,0.0,2008-12-01
Dyer 'D' #5,67.0,9023.0,122.0,2520.0,0.0,2008-12-01
Lottie #1,423.0,0.0,3988.0,870.0,0.0,2008-12-01
Gulf Coast Total,6320.0,32626.0,61382.0,15585.0,0.0,2009-01-01
Lottie #1,444.0,0.0,4247.0,900.0,0.0,2009-01-01
JM Moore,4039.0,4332.0,31457.0,0.0,0.0,2009-01-01
Mueller #1,103.0,10098.0,728.0,5435.0,0.0,2009-01-01
Dyer 'D' #5,70.0,8758.0,68.0,3010.0,0.0,2009-01-01
Dyer #10,125.0,9438.0,1200.0,6240.0,0.0,2009-01-01
CL Moore 12,1539.0,0.0,23682.0,0.0,0.0,2009-01-01
Gulf Coast Total,5912.0,30486.0,56206.0,10670.0,0.0,2009-02-01
Dyer 'D' #5,58.0,8332.0,65.0,2520.0,0.0,2009-02-01
JM Moore,3934.0,4347.0,30950.0,0.0,0.0,2009-02-01
CL Moore 12,1410.0,0.0,20106.0,0.0,0.0,2009-02-01
Lottie #1,321.0,0.0,3545.0,780.0,0.0,2009-02-01
Mueller #1,85.0,8923.0,599.0,3160.0,0.0,2009-02-01
Dyer #10,104.0,8884.0,941.0,4210.0,0.0,2009-02-01
Dyer #10,113.0,12041.0,1040.0,4900.0,0.0,2009-03-01
Lottie #1,271.0,0.0,3093.0,630.0,0.0,2009-03-01
Dyer 'D' #5,58.0,7872.0,66.0,2100.0,0.0,2009-03-01
JM Moore,4457.0,5142.0,35075.0,0.0,0.0,2009-03-01
Gulf Coast Total,6324.0,34707.0,62938.0,10915.0,0.0,2009-03-01
CL Moore 12,1333.0,0.0,23121.0,0.0,0.0,2009-03-01
Mueller #1,92.0,9652.0,543.0,3285.0,0.0,2009-03-01
Lottie #1,388.0,0.0,4150.0,870.0,0.0,2009-04-01
Gulf Coast Total,6274.0,29610.0,65627.0,12780.0,0.0,2009-04-01
CL Moore 12,1497.0,0.0,26835.0,0.0,0.0,2009-04-01
Dyer #10,106.0,8753.0,994.0,6130.0,0.0,2009-04-01
Mueller #1,85.0,9147.0,505.0,3170.0,0.0,2009-04-01
JM Moore,4137.0,4448.0,33075.0,0.0,0.0,2009-04-01
Dyer 'D' #5,61.0,7262.0,68.0,2610.0,0.0,2009-04-01
JM Moore,4223.0,4694.0,34361.0,0.0,0.0,2009-05-01
Lottie #1,425.0,0.0,4315.0,810.0,0.0,2009-05-01
CL Moore 12,2217.0,0.0,32180.0,0.0,0.0,2009-05-01
Gulf Coast Total,7118.0,29955.0,72466.0,10885.0,0.0,2009-05-01
Dyer 'D' #5,71.0,7287.0,82.0,1770.0,0.0,2009-05-01
Mueller #1,84.0,9180.0,521.0,3225.0,0.0,2009-05-01
Dyer #10,98.0,8794.0,1007.0,5080.0,0.0,2009-05-01
CL Moore 12,1798.0,0.0,31130.0,0.0,0.0,2009-06-01
Gulf Coast Total,6555.0,28274.0,69260.0,10780.0,0.0,2009-06-01
JM Moore,4098.0,4002.0,32263.0,0.0,0.0,2009-06-01
Dyer 'D' #5,64.0,7605.0,69.0,1500.0,0.0,2009-06-01
Lottie #1,441.0,0.0,4450.0,900.0,0.0,2009-06-01
Mueller #1,61.0,8540.0,410.0,3460.0,0.0,2009-06-01
Dyer #10,93.0,8127.0,938.0,4920.0,0.0,2009-06-01
Dyer 'D' #5,66.0,7862.0,77.0,1550.0,0.0,2009-07-01
Lottie #1,407.0,0.0,4550.0,930.0,0.0,2009-07-01
CL Moore 12,1810.0,0.0,28464.0,0.0,0.0,2009-07-01
JM Moore,4268.0,4681.0,34690.0,0.0,0.0,2009-07-01
Gulf Coast Total,6707.0,29668.0,69161.0,9630.0,0.0,2009-07-01
Dyer #10,90.0,7911.0,890.0,4020.0,0.0,2009-07-01
Mueller #1,66.0,9214.0,490.0,3130.0,0.0,2009-07-01
JM Moore,4142.0,4637.0,33192.0,0.0,0.0,2009-08-01
Gulf Coast Total,6601.0,28712.0,67326.0,10650.0,0.0,2009-08-01
Dyer 'D' #5,65.0,7516.0,71.0,1550.0,0.0,2009-08-01
Lottie #1,391.0,0.0,4600.0,930.0,0.0,2009-08-01
CL Moore 12,1840.0,0.0,27880.0,0.0,0.0,2009-08-01
Dyer #10,84.0,7710.0,899.0,4020.0,0.0,2009-08-01
Mueller #1,79.0,8849.0,684.0,4150.0,0.0,2009-08-01
Gulf Coast Total,5838.0,28221.0,57624.0,10230.0,0.0,2009-09-01
Dyer 'D' #5,52.0,7182.0,79.0,1500.0,0.0,2009-09-01
Lottie #1,192.0,146.0,2665.0,510.0,0.0,2009-09-01
CL Moore 12,1630.0,0.0,21605.0,0.0,0.0,2009-09-01
Mueller #1,71.0,8879.0,688.0,3000.0,0.0,2009-09-01
JM Moore,3803.0,4439.0,31830.0,0.0,0.0,2009-09-01
Dyer #10,90.0,7575.0,757.0,5220.0,0.0,2009-09-01
Dyer 'D' #5,38.0,6797.0,72.0,1880.0,0.0,2009-10-01
JM Moore,3841.0,3073.0,33180.0,0.0,0.0,2009-10-01
Gulf Coast Total,5775.0,25971.0,57757.0,9630.0,0.0,2009-10-01
Lottie #1,412.0,0.0,4581.0,930.0,0.0,2009-10-01
Mueller #1,76.0,9016.0,729.0,2940.0,0.0,2009-10-01
Dyer #10,92.0,7085.0,570.0,3880.0,0.0,2009-10-01
CL Moore 12,1316.0,0.0,18625.0,0.0,0.0,2009-10-01
Lottie #1,320.0,0.0,3130.0,690.0,0.0,2009-11-01
Dyer #10,80.0,6767.0,545.0,3300.0,0.0,2009-11-01
Mueller #1,74.0,8461.0,711.0,3010.0,0.0,2009-11-01
CL Moore 12,1720.0,0.0,24836.0,0.0,0.0,2009-11-01
Gulf Coast Total,6216.0,25406.0,62338.0,8560.0,0.0,2009-11-01
JM Moore,3984.0,4029.0,33072.0,0.0,0.0,2009-11-01
Dyer 'D' #5,38.0,6149.0,44.0,1560.0,0.0,2009-11-01
Dyer 'D' #5,47.0,5573.0,80.0,2440.0,0.0,2009-12-01
JM Moore,3598.0,4260.0,28879.0,0.0,0.0,2009-12-01
Mueller #1,66.0,8519.0,709.0,3430.0,0.0,2009-12-01
Gulf Coast Total,5882.0,24733.0,57402.0,11820.0,0.0,2009-12-01
Lottie #1,386.0,0.0,4500.0,900.0,0.0,2009-12-01
CL Moore 12,1667.0,0.0,22938.0,0.0,0.0,2009-12-01
Dyer #10,118.0,6381.0,296.0,5050.0,0.0,2009-12-01
CL Moore 12,1745.0,0.0,24735.0,0.0,0.0,2010-01-01
Dyer #10,142.0,6377.0,544.0,4800.0,0.0,2010-01-01
Gulf Coast Total,6301.0,25685.0,60786.0,16250.0,0.0,2010-01-01
Mueller #1,68.0,8141.0,630.0,3720.0,0.0,2010-01-01
Lottie #1,435.0,0.0,4590.0,900.0,0.0,2010-01-01
JM Moore,3861.0,4085.0,30209.0,0.0,0.0,2010-01-01
Dyer 'D' #5,50.0,7082.0,78.0,6830.0,0.0,2010-01-01
CL Moore 12,1895.0,280.0,23151.0,0.0,0.0,2010-02-01
Dyer #10,60.0,3456.0,12.0,21580.0,0.0,2010-02-01
Gulf Coast Total,5924.0,17516.0,54514.0,36780.0,0.0,2010-02-01
Mueller #1,46.0,5386.0,422.0,9120.0,0.0,2010-02-01
Dyer 'D' #5,54.0,5208.0,43.0,5280.0,0.0,2010-02-01
JM Moore,3553.0,3186.0,27504.0,0.0,0.0,2010-02-01
Lottie #1,316.0,0.0,3382.0,800.0,0.0,2010-02-01
CL Moore 12,1816.0,0.0,27380.0,0.0,0.0,2010-03-01
Mueller #1,70.0,8946.0,671.0,6410.0,0.0,2010-03-01
Dyer 'D' #5,66.0,7285.0,71.0,3750.0,0.0,2010-03-01
Lottie #1,381.0,0.0,4169.0,900.0,0.0,2010-03-01
JM Moore,3729.0,2725.0,28317.0,0.0,0.0,2010-03-01
Dyer #10,137.0,7511.0,850.0,8580.0,0.0,2010-03-01
Gulf Coast Total,6199.0,26467.0,61458.0,19640.0,0.0,2010-03-01
Lottie #1,398.0,0.0,3922.0,870.0,0.0,2010-04-01
Dyer #10,68.0,6094.0,266.0,3000.0,0.0,2010-04-01
JM Moore,3598.0,3875.0,29257.0,0.0,0.0,2010-04-01
Dyer 'D' #5,50.0,6272.0,53.0,2780.0,0.0,2010-04-01
Mueller #1,66.0,8174.0,918.0,3300.0,0.0,2010-04-01
CL Moore 12,1638.0,0.0,23470.0,0.0,0.0,2010-04-01
Gulf Coast Total,5818.0,24415.0,57886.0,9950.0,0.0,2010-04-01
Dyer #10,71.0,6085.0,448.0,4900.0,0.0,2010-05-01
CL Moore 12,1812.0,0.0,23670.0,0.0,0.0,2010-05-01
Mueller #1,65.0,8094.0,1060.0,3660.0,0.0,2010-05-01
JM Moore,3388.0,3510.0,28943.0,0.0,0.0,2010-05-01
Lottie #1,387.0,0.0,4133.0,910.0,0.0,2010-05-01
Dyer 'D' #5,52.0,6674.0,89.0,3170.0,0.0,2010-05-01
Gulf Coast Total,5775.0,24363.0,58343.0,12640.0,0.0,2010-05-01
Gulf Coast Total,5436.0,23964.0,53324.0,10950.0,0.0,2010-06-01
CL Moore 12,1736.0,0.0,22720.0,0.0,0.0,2010-06-01
Dyer #10,66.0,5734.0,427.0,3600.0,0.0,2010-06-01
JM Moore,3279.0,3865.0,26903.0,0.0,0.0,2010-06-01
Mueller #1,64.0,7761.0,654.0,3570.0,0.0,2010-06-01
Lottie #1,218.0,0.0,2525.0,860.0,0.0,2010-06-01
Dyer 'D' #5,73.0,6604.0,95.0,2920.0,0.0,2010-06-01
Dyer #10,64.0,5776.0,400.0,4360.0,0.0,2010-07-01
Dyer 'D' #5,44.0,5269.0,65.0,5320.0,0.0,2010-07-01
Lottie #1,415.0,0.0,4212.0,1360.0,0.0,2010-07-01
Mueller #1,63.0,7845.0,615.0,3500.0,0.0,2010-07-01
CL Moore 12,1636.0,0.0,23772.0,0.0,0.0,2010-07-01
JM Moore,3551.0,4009.0,26884.0,0.0,0.0,2010-07-01
Gulf Coast Total,5773.0,22899.0,55948.0,14540.0,0.0,2010-07-01
Dyer 'D' #5,21.0,4385.0,52.0,9990.0,0.0,2010-08-01
Lottie #1,443.0,0.0,4380.0,1240.0,0.0,2010-08-01
Gulf Coast Total,5929.0,21286.0,54878.0,19160.0,0.0,2010-08-01
Dyer #10,64.0,5495.0,632.0,4630.0,0.0,2010-08-01
Mueller #1,60.0,8112.0,606.0,3300.0,0.0,2010-08-01
CL Moore 12,1553.0,0.0,20582.0,0.0,0.0,2010-08-01
JM Moore,3788.0,3294.0,28626.0,0.0,0.0,2010-08-01
Gulf Coast Total,5662.0,22780.0,54623.0,16410.0,0.0,2010-09-01
Lottie #1,304.0,0.0,3430.0,960.0,0.0,2010-09-01
JM Moore,3619.0,4255.0,27117.0,0.0,0.0,2010-09-01
CL Moore 12,1552.0,0.0,22926.0,0.0,0.0,2010-09-01
Dyer 'D' #5,46.0,5240.0,70.0,7790.0,0.0,2010-09-01
Mueller #1,63.0,7248.0,492.0,4240.0,0.0,2010-09-01
Dyer #10,78.0,6037.0,588.0,3420.0,0.0,2010-09-01
Dyer #10,70.0,6095.0,733.0,3400.0,0.0,2010-10-01
Dyer 'D' #5,84.0,6420.0,83.0,8360.0,0.0,2010-10-01
Lottie #1,404.0,0.0,4520.0,1240.0,0.0,2010-10-01
JM Moore,3837.0,4001.0,29786.0,0.0,0.0,2010-10-01
CL Moore 12,1687.0,0.0,23786.0,0.0,0.0,2010-10-01
Gulf Coast Total,6148.0,24293.0,59442.0,17340.0,0.0,2010-10-01
Mueller #1,66.0,7777.0,534.0,4340.0,0.0,2010-10-01
Dyer 'D' #5,58.0,7055.0,79.0,7910.0,0.0,2010-11-01
CL Moore 12,1140.0,0.0,18968.0,0.0,0.0,2010-11-01
Lottie #1,293.0,0.0,3439.0,1030.0,0.0,2010-11-01
Mueller #1,62.0,7105.0,498.0,5210.0,0.0,2010-11-01
Gulf Coast Total,4715.0,23087.0,47927.0,17150.0,0.0,2010-11-01
JM Moore,3117.0,3158.0,24435.0,0.0,0.0,2010-11-01
Dyer #10,45.0,5769.0,508.0,3000.0,0.0,2010-11-01
Mueller #1,70.0,7098.0,495.0,5660.0,0.0,2010-12-01
Gulf Coast Total,5207.0,21501.0,51936.0,18210.0,0.0,2010-12-01
CL Moore 12,1450.0,0.0,22760.0,0.0,0.0,2010-12-01
Dyer #10,79.0,5500.0,613.0,5390.0,0.0,2010-12-01
JM Moore,3211.0,2664.0,24115.0,0.0,0.0,2010-12-01
Dyer 'D' #5,52.0,6239.0,85.0,5860.0,0.0,2010-12-01
Lottie #1,345.0,0.0,3868.0,1300.0,0.0,2010-12-01
Lottie #1,335.0,0.0,4037.0,1400.0,0.0,2011-01-01
JM Moore,3444.0,5021.0,27060.0,0.0,0.0,2011-01-01
Dyer #10,65.0,5650.0,761.0,4940.0,0.0,2011-01-01
CL Moore 12,1354.0,0.0,20430.0,0.0,0.0,2011-01-01
Dyer 'D' #5,70.0,6180.0,95.0,2950.0,0.0,2011-01-01
Mueller #1,66.0,7208.0,494.0,4440.0,0.0,2011-01-01
Gulf Coast Total,5334.0,24059.0,52877.0,13730.0,0.0,2011-01-01
Gulf Coast Total,4032.0,19213.0,37408.0,16220.0,0.0,2011-02-01
Dyer 'D' #5,46.0,5661.0,88.0,4770.0,0.0,2011-02-01
Mueller #1,52.0,5255.0,377.0,5930.0,0.0,2011-02-01
JM Moore,2665.0,3356.0,19077.0,0.0,0.0,2011-02-01
Lottie #1,371.0,0.0,3885.0,1300.0,0.0,2011-02-01
CL Moore 12,828.0,0.0,13347.0,0.0,0.0,2011-02-01
Dyer #10,70.0,4941.0,634.0,4220.0,0.0,2011-02-01
Lottie #1,444.0,0.0,4600.0,1550.0,0.0,2011-03-01
Dyer 'D' #5,18.0,2836.0,39.0,8360.0,0.0,2011-03-01
CL Moore 12,1375.0,0.0,22196.0,0.0,0.0,2011-03-01
JM Moore,3310.0,3314.0,23162.0,0.0,0.0,2011-03-01
Mueller #1,56.0,6199.0,440.0,7360.0,0.0,2011-03-01
Gulf Coast Total,5246.0,17674.0,50587.0,20630.0,0.0,2011-03-01
Dyer #10,43.0,5325.0,150.0,3360.0,0.0,2011-03-01
Gulf Coast Total,5785.0,23286.0,52076.0,11530.0,0.0,2011-04-01
Lottie #1,432.0,0.0,4470.0,1500.0,0.0,2011-04-01
CL Moore 12,1393.0,0.0,22494.0,0.0,0.0,2011-04-01
JM Moore,3790.0,3297.0,23370.0,0.0,0.0,2011-04-01
Mueller #1,61.0,6943.0,555.0,3880.0,0.0,2011-04-01
Dyer 'D' #5,31.0,7150.0,60.0,2850.0,0.0,2011-04-01
Dyer #10,78.0,5896.0,1127.0,3300.0,0.0,2011-04-01
Dyer #10,55.0,5742.0,904.0,3100.0,0.0,2011-05-01
Lottie #1,442.0,0.0,4570.0,1550.0,0.0,2011-05-01
CL Moore 12,1444.0,0.0,23026.0,0.0,0.0,2011-05-01
Mueller #1,59.0,7078.0,637.0,2960.0,0.0,2011-05-01
Dyer 'D' #5,2.0,7545.0,14.0,2210.0,0.0,2011-05-01
Gulf Coast Total,5794.0,23405.0,52441.0,9820.0,0.0,2011-05-01
JM Moore,3792.0,3040.0,23290.0,0.0,0.0,2011-05-01
Gulf Coast Total,5256.0,23745.0,49834.0,9270.0,0.0,2011-06-01
Dyer #10,53.0,5529.0,645.0,3000.0,0.0,2011-06-01
CL Moore 12,1447.0,0.0,22260.0,0.0,0.0,2011-06-01
Dyer 'D' #5,0.0,7290.0,0.0,1820.0,0.0,2011-06-01
JM Moore,3383.0,4386.0,22860.0,0.0,0.0,2011-06-01
Lottie #1,315.0,0.0,3552.0,1200.0,0.0,2011-06-01
Mueller #1,58.0,6540.0,517.0,3250.0,0.0,2011-06-01
Mueller #1,58.0,7110.0,572.0,2190.0,0.0,2011-07-01
JM Moore,3534.0,4788.0,23990.0,0.0,0.0,2011-07-01
Dyer #10,56.0,5324.0,424.0,3770.0,0.0,2011-07-01
CL Moore 12,1572.0,0.0,23790.0,0.0,0.0,2011-07-01
Gulf Coast Total,5599.0,24307.0,52988.0,9370.0,0.0,2011-07-01
Lottie #1,379.0,0.0,4212.0,1450.0,0.0,2011-07-01
Dyer 'D' #5,0.0,7085.0,0.0,1960.0,0.0,2011-07-01
Dyer 'D' #5,0.0,7485.0,0.0,1435.0,0.0,2011-08-01
CL Moore 12,1596.0,135.0,23690.0,0.0,0.0,2011-08-01
JM Moore,3586.0,4359.0,23860.0,0.0,0.0,2011-08-01
Mueller #1,52.0,6869.0,580.0,2080.0,0.0,2011-08-01
Gulf Coast Total,5555.0,24404.0,51674.0,7705.0,0.0,2011-08-01
Dyer #10,63.0,5556.0,907.0,3230.0,0.0,2011-08-01
Lottie #1,258.0,0.0,2637.0,960.0,0.0,2011-08-01
Dyer #10,40.0,5522.0,655.0,3600.0,0.0,2011-09-01
Dyer 'D' #5,0.0,7184.0,0.0,1500.0,0.0,2011-09-01
Mueller #1,62.0,6593.0,573.0,1930.0,0.0,2011-09-01
Lottie #1,188.0,0.0,2684.0,855.0,0.0,2011-09-01
Gulf Coast Total,4813.0,23688.0,48972.0,7885.0,0.0,2011-09-01
JM Moore,3162.0,4389.0,22700.0,0.0,0.0,2011-09-01
CL Moore 12,1361.0,0.0,22360.0,0.0,0.0,2011-09-01
JM Moore,3358.0,4261.0,33380.0,0.0,0.0,2011-10-01
Gulf Coast Total,5117.0,23335.0,57547.0,6505.0,0.0,2011-10-01
Dyer 'D' #5,0.0,7630.0,0.0,2065.0,0.0,2011-10-01
Mueller #1,63.0,6816.0,575.0,2150.0,0.0,2011-10-01
CL Moore 12,1230.0,0.0,19397.0,0.0,0.0,2011-10-01
Dyer #10,2.0,4628.0,0.0,1360.0,0.0,2011-10-01
Lottie #1,464.0,0.0,4195.0,930.0,0.0,2011-10-01
Mueller #1,44.0,6178.0,434.0,2100.0,0.0,2011-11-01
Lottie #1,472.0,0.0,4170.0,900.0,0.0,2011-11-01
Gulf Coast Total,4719.0,22522.0,42056.0,6000.0,0.0,2011-11-01
JM Moore,2798.0,4411.0,20079.0,0.0,0.0,2011-11-01
Dyer #10,0.0,5532.0,746.0,1200.0,0.0,2011-11-01
Dyer 'D' #5,0.0,6401.0,6.0,1800.0,0.0,2011-11-01
CL Moore 12,1405.0,0.0,16621.0,0.0,0.0,2011-11-01
Lottie #1,374.0,0.0,4250.0,930.0,0.0,2011-12-01
JM Moore,2711.0,4443.0,19031.0,0.0,0.0,2011-12-01
Gulf Coast Total,4270.0,21546.0,40245.0,9140.0,0.0,2011-12-01
CL Moore 12,1169.0,0.0,16329.0,0.0,0.0,2011-12-01
Dyer #10,0.0,5379.0,209.0,3390.0,0.0,2011-12-01
Dyer 'D' #5,0.0,5296.0,0.0,2000.0,0.0,2011-12-01
Mueller #1,16.0,6428.0,426.0,2820.0,0.0,2011-12-01
Dyer 'D' #5,0.0,4251.0,0.0,1550.0,0.0,2012-01-01
CL Moore 12,1082.0,0.0,15662.0,0.0,0.0,2012-01-01
Lottie #1,356.0,3.0,4240.0,930.0,0.0,2012-01-01
Mueller #1,30.0,6909.0,488.0,2740.0,0.0,2012-01-01
JM Moore,3227.0,4418.0,17810.0,0.0,0.0,2012-01-01
Gulf Coast Total,4733.0,21365.0,38200.0,8320.0,0.0,2012-01-01
Dyer #10,38.0,5784.0,0.0,3100.0,0.0,2012-01-01
Mueller #1,22.0,5878.0,423.0,3150.0,0.0,2012-02-01
Gulf Coast Total,4426.0,18384.0,48052.0,8370.0,0.0,2012-02-01
CL Moore 12,1433.0,0.0,20752.0,0.0,0.0,2012-02-01
Dyer 'D' #5,0.0,3382.0,0.0,1450.0,0.0,2012-02-01
Dyer #10,10.0,5240.0,0.0,2900.0,0.0,2012-02-01
JM Moore,2609.0,3884.0,22904.0,0.0,0.0,2012-02-01
Lottie #1,352.0,0.0,3973.0,870.0,0.0,2012-02-01
CL Moore 12,1541.0,0.0,23270.0,0.0,0.0,2012-03-01
Mueller #1,16.0,6172.0,377.0,3041.0,0.0,2012-03-01
Dyer 'D' #5,0.0,945.0,0.0,2300.0,0.0,2012-03-01
Gulf Coast Total,4751.0,13654.0,48401.0,9171.0,0.0,2012-03-01
Dyer #10,0.0,4247.0,0.0,2780.0,0.0,2012-03-01
JM Moore,2964.0,2290.0,22184.0,0.0,0.0,2012-03-01
Lottie #1,230.0,0.0,2570.0,1050.0,0.0,2012-03-01
Dyer 'D' #5,0.0,11.0,0.0,2690.0,0.0,2012-04-01
Mueller #1,14.0,6181.0,394.0,2861.0,0.0,2012-04-01
Dyer #10,0.0,4035.0,0.0,2600.0,0.0,2012-04-01
Lottie #1,208.0,0.0,2935.0,1050.0,0.0,2012-04-01
Gulf Coast Total,4253.0,10371.0,40581.0,9201.0,0.0,2012-04-01
CL Moore 12,1127.0,0.0,16365.0,0.0,0.0,2012-04-01
JM Moore,2904.0,144.0,20887.0,0.0,0.0,2012-04-01
Mueller #1,18.0,6162.0,435.0,2270.0,0.0,2012-05-01
Dyer #10,18.0,3597.0,23.0,1600.0,0.0,2012-05-01
Gulf Coast Total,4406.0,9759.0,47600.0,7485.0,0.0,2012-05-01
Lottie #1,362.0,0.0,3617.0,1445.0,0.0,2012-05-01
Dyer 'D' #5,0.0,0.0,0.0,2170.0,0.0,2012-05-01
JM Moore,2337.0,0.0,17776.0,0.0,0.0,2012-05-01
