API14,Well Name,Well Number
42507326930000,THOMPSON UNIT,1
42507324810200,PFEIFFER,2RE
42507324810100,PFEIFFER,2RE
42507324810000,PFEIFFER,2RE
42507324720500,PICKENS RANCH,2H
42507324720400,PICKENS RANCH,2H
42507324720300,PICKENS RANCH,2H
42507324720200,PICKENS RANCH,2H
42507324720100,PICKENS RANCH,2H
42507324720000,PICKENS RANCH,2H
42507323850500,BRUCE WEAVER,1RE
42507323850400,BRUCE WEAVER,1RE
42507323850300,BRUCE WEAVER,1RE
42507323850200,BRUCE WEAVER,1RE
42507323850100,BRUCE WEAVER,1RE
42507323850000,BRUCE WEAVER,1RE
42507323630800,ANIKEN,1
42507323630700,ANIKEN,1
42507323630600,ANIKEN,1
42507323630500,ANIKEN,1
42507323630400,ANIKEN,1
42507323630300,ANIKEN,1
42507323630200,ANIKEN,1
42507323630100,ANIKEN,1
42507323630000,ANIKEN,1
42507323500400,TORTUGA RANCH,1H
42507323500300,TORTUGA RANCH,1H
42507323500200,TORTUGA RANCH,1H
42507323500100,TORTUGA RANCH,1H
42507323500000,TORTUGA RANCH,1H
42481352290000,PRATKA,1
42481349690000,PIERCE RANCH,4
42481349340000,BOONE ESTATE GAS UNIT,1
42481348530000,WITTIG SISTERS,1
42481348240000,HILL,1
42481347870000,"BROWNSON HOME, INC.",1
42481345850000,WENDEL-RIOUX,1
42481345680000,HICKS,1
42481345570000,GLAZE,1
42481345460001,KRESTA,1
42481345460000,KRESTA,1
42481344940000,PIERCE RANCH,2
42481344780000,BURGER,1
42475345440000,PYOTE GAS UNIT NO. 11,2
42469343040002,WAYNE,1
42469343040001,WAYNE,1
42469343040000,WAYNE,1
42469342810000,ANN,1
42469342370000,PARRIS,1
42469341830000,THOMAS,1
42469341760000,GB,1
42469341620001,SIEVERS,1
42469341620000,SIEVERS,1
42469341590000,TALI,1
42469341440000,HOUSE,1
42469341430000,WELDER-MURPHY,1
42469341420000,CAREY,1
42469340560000,CARPENTER,1
42469340190000,BATSON,2
42469339980000,STEPHEN,1
42469339970000,BATSON,1
42469339910000,FISHBECK,1
42469339890000,WHITEHEAD,1
42461366290000,MANN TRUST,1
42415353940001,BULLARD,9
42415353940000,BULLARD,9
42415352330000,BULLARD,8
42415351880000,BULLARD,7
42415350930000,BULLARD,6
42415348670000,CLARKSON C,1
42415348660000,BRUMLEY,6
42415347540000,BULLARD,5
42415347380000,BRUMLEY,5
42415347370000,STONE,2
42415347340000,BRUMLEY,4
42415347330000,BRUMLEY,3
42415346400000,STONE,1
42415346380000,BRUMLEY,2
42415345970000,VANDIVER,1
42415345440000,BRUMLEY,1
42415330700000,BRUMLEY SWD,1
42415321260000,EVERETT UNIT,1
42415320650000,BECK UNIT,1
42415312070000,VOSS,1
42415042520000,"YORK, J. B.",2
42415027390001,BULLARD,1
42415027390000,BULLARD,1
42415012570000,"SNYDER TOWNSITE OIL UNIT ""B""",1
42415010580000,"YORK, J. B.",1
42395305490000,SOELL,1
42395305410200,SPILLER T-BAR-X,1
42395305410100,SPILLER T-BAR-X,1
42395305410000,SPILLER T-BAR-X,1
42395305350100,KADAV,1
42395305350000,KADAV,1
42395305270100,LEON T-BAR-X UNIT,1
42395305270000,LEON T-BAR-X UNIT,1
42395305220100,EVA,1
42395305220000,EVA,1
42395305170100,TIMOTHY UNIT,1
42395305170000,TIMOTHY UNIT,1
42395304930100,SANDIFER UNIT,1
42395304930000,SANDIFER UNIT,1
42395304870000,ORTIZ UNIT,1
42395302700100,"SMITH, GEORGETTE",1
42395302700002,"SMITH, GEORGETTE",1
42395302700001,"SMITH, GEORGETTE",1
42395302700000,"SMITH, GEORGETTE",1
42395302570100,CHRISTOPHER,1
42395302570000,CHRISTOPHER,1
42323335860600,CR,447
42323335860500,CR,447
42323335860400,CR,447
42323335860300,CR,447
42323335860200,CR,447
42323335860100,CR,447
42323335860000,CR,447
42323335710300,CR,939H
42323335710200,CR,939H
42323335710100,CR,939H
42323335710000,CR,939H
42323335690000,CR,1148H
42323335470200,CR,401
42323335470100,CR,401
42323335470000,CR,401
42323335310300,CR,302
42323335310200,CR,302
42323335310100,CR,302
42323335310000,CR,302
42323335300100,CR,301
42323335300000,CR,301
42323326830600,CR,501
42323326830500,CR,501
42323326830400,CR,501
42323326830300,CR,501
42323326830200,CR,501
42323326830100,CR,501
42323326830000,CR,501
42313310970000,DARREN,1
42313310940000,DRAKE,2
42313309560000,HARRISON,2H
42313308980000,HARRISON,1H
42313308820000,COFFMAN,1H
42313308730000,WIESE,1H
42313308670000,WATSON-BUCK,1H
42313308650000,BRADSHAW,1
42313308510000,DRAKE,1
42313308480000,FLOYD,1
42313308390000,MT UNIT,1H
42313308310000,BENGE UNIT,1H
42313308269000,CK,1
42313308260000,CK,1
42313308230000,JAM,1
42313308200000,KENNEDY,1
42313308160000,HERBICH UNIT,2H
42313308130200,HERBICH,1H
42313308130100,HERBICH,1H
42313308130000,HERBICH,1H
42297344730001,LYNE,1
42297344730000,LYNE,1
42291327690000,DANIEL,1
42291327430000,GUAM,1
42291327320000,GOVERNOR,1
42287325040100,COLVIN,1
42287325040000,COLVIN,1
42285330809000,SIBLEY,1X
42285330800100,SIBLEY,1X
42285330800000,SIBLEY,1X
42279304110000,VANN,1
42279304090000,SMITH,1
42245328030000,MCFADDIN TRUST,1
42189305120000,MOREHEAD,1
42187336070000,BLUMBERG,2
42185308550000,POST OAK,2
42185308540000,POST OAK,1
42185308460100,HAYES,2
42185308460000,HAYES,2
42185308450000,HAYES,1
42185308320000,RUEN,3X
42185308250000,DELLA,1
42185308240100,RUEN,3
42185308240000,RUEN,3
42185308160000,WS,1
42185308150000,SUTTON,3
42185308140000,SUTTON,2
42185308110100,FLORA,1
42185308110000,FLORA,1
42185307950100,SUTTON,1
42185307950000,SUTTON,1
42185307940100,WEBB,1
42185307940000,WEBB,1
42185307890000,RUEN,2
42185307840000,JOYCE,1
