Date,Time,Well Name,Seating Nipple Depth (ft),Pump Run Date,Surface Unit API,Strokes Per Minute (SPM),Maximum Plunger Stroke (in),Pump Displacement (BBL/D),Gas Free Above Pump (ft),Fluid Above Pump (ft),Adjusted Displacement (BBL/D),Plunger OD (in),Adjusted EPT (in),Effective Plunger Travel (in)
04/02/2024,03:29:38 PM,Burns Ranch #2,5385,12/31/1969,,,,,,,,,,
04/02/2024,04:09:31 PM,Burns Ranch #2,5385,12/31/1969,,,,,,,,,,
04/02/2024,04:42:48 PM,Burns Ranch #2,5385,12/31/1969,,,,,5385,5385,,,,
07/26/2024,07:58:37 AM,Burns Ranch #2,5903,12/31/1969,,,,,,,,0.000,,
08/20/2024,06:11:00 PM,Burns Ranch #2,5903,12/31/1969,,,,,,,,0.000,,
04/20/2023,01:58:24 PM,Cannan #1,6393,03/02/2021,M-456D-253-144,5.08,116.39,105,,,94,,101.9,113.33
04/20/2023,02:16:19 PM,Cannan #1,6393,03/02/2021,M-456D-253-144,,,,215,858,,,,
07/24/2023,10:05:58 AM,Cannan #1,6393,03/02/2021,M-456D-253-144,4.98,117.98,14,,,14,,15.8,15.31
07/24/2023,10:24:33 AM,Cannan #1,6393,03/02/2021,M-456D-253-144,,,,213,792,,,,
01/08/2024,02:27:22 PM,Cannan #1,6393,03/02/2021,M-456D-253-144,,,,71,71,,,,
01/08/2024,02:35:05 PM,Cannan #1,6393,03/02/2021,M-456D-253-144,,,,71,71,,,,
01/08/2024,02:59:48 PM,Cannan #1,6393,03/02/2021,M-456D-253-144,5.11,100.72,91,,,79,,84.3,97.81
02/02/2024,10:46:24 AM,Cannan #1,6393,03/02/2021,M-456D-253-144,5.11,96.42,29,,,12,,13.2,31.05
02/02/2024,10:50:19 AM,Cannan #1,6393,03/02/2021,M-456D-253-144,,,,8,8,,,,
08/14/2024,05:25:07 PM,Cannan #1,6393,03/02/2021,M-456D-253-144,4.99,97.80,83,,,73,,80.1,91.06
08/14/2024,05:31:53 PM,Cannan #1,6393,03/02/2021,M-456D-253-144,,,,163,626,,,,
08/14/2024,05:33:50 PM,Cannan #1,6393,03/02/2021,M-456D-253-144,4.95,95.99,83,,,73,,80.4,91.73
05/25/2023,01:36:22 PM,CarolPick #1,6589,10/22/2022,C-320-305-120,4.72,93.53,22,,,-1,,-1.6,28.60
05/25/2023,01:52:54 PM,CarolPick #1,6589,10/22/2022,C-320-305-120,,,,247,772,,,,
01/29/2024,01:02:06 PM,CarolPick #1,6589,10/22/2022,C-320-305-120,4.30,75.22,60,,,46,,58.4,75.04
01/29/2024,01:02:06 PM,
01/29/2024,01:08:33 PM,CarolPick #1,6589,10/22/2022,C-320-305-120,,,,,,,,,
04/17/2023,02:39:54 PM,Carolyn#1,7334,12/12/2018,C-640D-365-144,4.17,90.80,60,,,53,,69.6,79.84
04/17/2023,02:56:55 PM,Carolyn#1,7334,12/12/2018,C-640D-365-144,,,,48,142,,,,
05/02/2023,11:47:24 AM,Carolyn#1,7334,12/12/2018,C-640D-365-144,4.11,90.90,67,,,59,,78.9,90.31
05/02/2023,12:04:33 PM,Carolyn#1,7334,12/12/2018,C-640D-365-144,,,,113,321,,,,
04/05/2023,02:51:30 PM,Cenizo #1,6381,11/06/2017,C-456-256-120,4.40,61.16,18,,,5,,5.6,22.60
04/05/2023,03:24:13 PM,Cenizo #1,6381,11/06/2017,C-456-256-120,,,,0,1,,,,
11/14/2023,01:34:16 PM,Cenizo #1,6428,11/13/2023,C-456-256-120,5.23,62.97,58,,,44,,46.2,61.01
11/14/2023,01:51:00 PM,Cenizo #1,6428,11/13/2023,C-456-256-120,,,,582,582,,,,
11/16/2023,12:21:35 PM,Cenizo #1,6428,11/13/2023,C-456-256-120,5.25,65.02,61,,,48,,50.0,63.73
11/16/2023,12:36:40 PM,Cenizo #1,6428,11/13/2023,C-456-256-120,,,,546,546,,,,
11/20/2023,09:14:50 AM,Cenizo #1,6428,11/13/2023,C-456-256-120,5.25,63.64,58,,,47,,49.1,61.06
11/20/2023,09:27:42 AM,Cenizo #1,6428,11/13/2023,C-456-256-120,3.71,72.30,50,,,48,,69.4,72.21
11/20/2023,09:47:32 AM,Cenizo #1,6428,11/13/2023,C-456-256-120,,,,543,543,,,,
11/21/2023,11:25:50 AM,Cenizo #1,6428,11/13/2023,C-456-256-120,4.52,63.77,57,,,43,,46.3,61.80
11/21/2023,11:36:34 AM,Cenizo #1,6428,11/13/2023,C-456-256-120,5.08,65.62,58,,,45,,48.6,62.95
11/29/2023,10:30:16 AM,Cenizo #1,6428,11/28/2023,C-456-256-120,5.17,55.91,52,,,44,,46.9,54.80
11/29/2023,10:52:06 AM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,555,555,,,,
12/01/2023,02:30:46 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,361,361,,,,
12/01/2023,02:36:51 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,5.16,63.09,59,,,53,,55.6,62.12
12/04/2023,01:42:14 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,523,523,,,,
12/04/2023,01:47:40 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,5.20,63.40,47,,,39,,35.5,43.08
12/05/2023,09:46:14 AM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,615,615,,,,
12/05/2023,09:50:51 AM,Cenizo #1,6428,11/28/2023,C-456-256-120,6.48,63.30,76,,,69,,56.5,62.04
12/07/2023,02:06:31 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,432,432,,,,
12/07/2023,02:09:47 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,7.30,63.06,83,,,73,,54.8,62.04
12/19/2023,09:32:07 AM,Cenizo #1,6428,11/28/2023,C-456-256-120,7.30,64.34,83,,,76,,57.4,62.40
12/19/2023,09:44:29 AM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,663,663,,,,
01/05/2024,03:29:46 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,7.30,61.12,77,,,71,,53.2,58.30
01/05/2024,03:29:46 PM,
01/05/2024,03:37:29 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,348,1482,,,,
01/09/2024,03:37:52 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,7.29,58.86,75,,,69,,51.8,56.70
01/09/2024,03:41:14 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,218,847,,,,
01/09/2024,03:57:11 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,7.30,59.45,78,,,71,,53.4,58.61
01/24/2024,12:29:32 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,12,12,,,,
01/24/2024,12:32:12 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,6.05,13.25,10,,,-1,,-1.0,9.99
01/26/2024,10:24:36 AM,Cenizo #1,6428,11/28/2023,C-456-256-120,5.15,60.56,54,,,49,,52.3,58.30
01/26/2024,10:27:39 AM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,130,130,,,,
01/28/2024,01:19:23 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,5.13,55.36,50,,,43,,45.9,53.20
01/28/2024,01:22:21 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,11,41,,,,
02/01/2024,04:22:27 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,5.15,61.94,53,,,46,,49.4,56.56
02/01/2024,04:25:32 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,10,10,,,,
02/01/2024,04:29:04 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,5.08,51.30,42,,,36,,42.6,49.32
02/01/2024,04:38:03 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,38,38,,,,
02/02/2024,03:55:04 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,4.60,61.84,44,,,38,,51.5,59.09
02/02/2024,03:57:36 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,45,57,,,,
03/04/2024,05:10:43 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,3.85,3.61,1,,,-0,,-0.0,1.40
03/04/2024,05:12:46 PM,Cenizo #1,6428,11/28/2023,C-456-256-120,,,,42,50,,,,
03/06/2024,04:57:13 PM,
03/06/2024,04:57:13 PM,Cenizo #1,6345,11/28/2023,C-456-256-120,,,,,,,,,
03/06/2024,04:59:43 PM,Cenizo #1,6345,11/28/2023,C-456-256-120,3.80,55.56,38,,,30,,42.8,54.28
03/08/2024,08:49:56 AM,Cenizo #1,6345,11/28/2023,C-456-256-120,3.83,59.81,40,,,35,,49.7,56.68
03/08/2024,08:52:44 AM,Cenizo #1,6345,11/28/2023,C-456-256-120,,,,275,275,,,,
03/26/2024,01:59:17 PM,Cenizo #1,6345,11/28/2023,C-456-256-120,3.82,61.19,41,,,35,,50.0,58.91
03/26/2024,02:01:50 PM,Cenizo #1,6345,11/28/2023,C-456-256-120,,,,10,16,,,,
04/02/2024,08:57:25 AM,Cenizo #1,6345,11/28/2023,C-456-256-120,,,,,,,,,
04/02/2024,09:00:00 AM,Cenizo #1,6345,11/28/2023,C-456-256-120,3.83,60.00,37,,,31,,44.6,53.60
04/02/2024,09:08:02 AM,Cenizo #1,6345,11/28/2023,C-456-256-120,,,,,,,,,
05/22/2024,03:18:01 PM,Cenizo #1,6345,11/28/2023,C-456-256-120,3.96,61.58,30,,,25,,34.1,41.63
05/22/2024,03:19:55 PM,Cenizo #1,6345,11/28/2023,C-456-256-120,,,,35,43,,,,
06/12/2024,12:19:57 PM,Cenizo #1,6345,11/28/2023,C-456-256-120,,,,18,50,,,,
06/12/2024,12:20:44 PM,Cenizo #1,6345,11/28/2023,C-456-256-120,4.75,57.06,28,,,22,,25.7,32.72
07/25/2024,02:52:51 PM,Cenizo #1,6345,11/28/2023,C-456-256-120,,,,,,,,,
07/25/2024,02:58:17 PM,Cenizo #1,6345,11/28/2023,C-456-256-120,4.13,56.52,29,,,23,,30.9,38.10
08/21/2024,01:38:18 PM,Cenizo #1,6345,11/28/2023,C-456-256-120,,,,5,5,,,,
04/26/2023,02:11:11 PM,Chad #1,7041,06/18/2020,C-320-305-120,4.12,79.45,20,,,10,,13.8,26.17
04/26/2023,02:27:55 PM,Chad #1,7041,06/18/2020,C-320-305-120,,,,,,,,,
11/15/2023,01:28:08 PM,Chad #1,7038,11/10/2023,C-320-305-120,4.99,83.73,68,,,52,,57.4,74.72
11/15/2023,01:43:35 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,681,2191,,,,
11/16/2023,11:17:32 AM,Chad #1,7038,11/10/2023,C-320-305-120,,,,377,503,,,,
11/20/2023,10:37:11 AM,Chad #1,7038,11/10/2023,C-320-305-120,4.52,85.17,65,,,48,,58.2,78.27
11/20/2023,10:54:59 AM,Chad #1,7038,11/10/2023,C-320-305-120,,,,363,458,,,,
11/27/2023,02:35:42 PM,Chad #1,7038,11/10/2023,C-320-305-120,4.73,82.71,66,,,50,,57.3,75.55
11/27/2023,02:52:38 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,150,351,,,,
11/29/2023,11:36:20 AM,Chad #1,7038,11/10/2023,C-320-305-120,4.47,85.00,62,,,46,,56.7,76.29
11/29/2023,11:51:24 AM,Chad #1,7038,11/10/2023,C-320-305-120,4.47,82.54,61,,,47,,57.1,74.68
11/29/2023,12:09:49 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,166,268,,,,
12/04/2023,12:17:35 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,308,308,,,,
12/04/2023,12:24:35 PM,Chad #1,7038,11/10/2023,C-320-305-120,3.56,83.61,52,,,38,,58.6,80.80
12/06/2023,02:18:30 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,241,257,,,,
12/06/2023,02:20:37 PM,Chad #1,7038,11/10/2023,C-320-305-120,3.63,84.68,54,,,40,,59.8,81.18
12/06/2023,02:28:56 PM,Chad #1,7038,11/10/2023,C-320-305-120,3.62,83.00,52,,,41,,62.6,78.92
01/07/2024,12:06:17 PM,Chad #1,7038,11/10/2023,C-320-305-120,3.56,79.20,48,,,33,,50.8,74.24
01/07/2024,12:10:19 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,381,670,,,,
01/10/2024,03:28:46 PM,Chad #1,7038,11/10/2023,C-320-305-120,3.68,81.78,47,,,33,,55.6,79.31
01/10/2024,03:32:52 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,460,700,,,,
01/24/2024,02:09:05 PM,Chad #1,7038,11/10/2023,C-320-305-120,3.32,75.66,45,,,29,,46.3,71.14
01/24/2024,02:11:47 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,686,783,,,,
01/28/2024,12:32:43 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,125,350,,,,
01/28/2024,12:37:38 PM,Chad #1,7038,11/10/2023,C-320-305-120,5.08,83.24,69,,,49,,53.2,74.27
02/02/2024,01:23:18 PM,Chad #1,7038,11/10/2023,C-320-305-120,4.65,82.59,70,,,53,,61.6,81.49
02/02/2024,01:26:38 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,163,392,,,,
03/04/2024,05:42:19 PM,Chad #1,7038,11/10/2023,C-320-305-120,4.77,77.38,61,,,46,,52.4,70.40
03/04/2024,05:46:56 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,224,539,,,,
03/07/2024,09:05:28 AM,Chad #1,7038,11/10/2023,C-320-305-120,4.67,76.80,57,,,41,,48.5,67.09
03/07/2024,09:08:22 AM,Chad #1,7038,11/10/2023,C-320-305-120,,,,95,290,,,,
03/26/2024,12:15:27 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,,,,,,
03/26/2024,12:19:31 PM,Chad #1,7038,11/10/2023,C-320-305-120,4.70,86.62,72,,,56,,59.5,76.17
03/26/2024,12:22:12 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,217,329,,,,
04/26/2024,01:58:36 PM,Chad #1,7038,11/10/2023,C-320-305-120,3.83,80.65,54,,,41,,59.6,78.66
04/26/2024,02:06:00 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,213,313,,,,
05/22/2024,02:40:01 PM,Chad #1,7038,11/10/2023,C-320-305-120,4.02,79.91,20,,,6,,7.4,26.02
05/22/2024,02:44:27 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,155,155,,,,
06/13/2024,02:26:22 PM,Chad #1,7038,11/10/2023,C-320-305-120,3.62,78.98,50,,,37,,57.5,77.65
06/13/2024,02:28:24 PM,Chad #1,7038,11/10/2023,C-320-305-120,,,,239,239,,,,
07/25/2024,08:15:18 AM,Chad #1,7038,11/10/2023,C-320-305-120,3.51,79.01,49,,,36,,55.8,77.50
07/25/2024,08:17:23 AM,Chad #1,7038,11/10/2023,C-320-305-120,,,,237,237,,,,
04/27/2023,01:05:39 PM,Charles B #1,6681,04/09/2018,C-320-305-120,4.50,72.09,23,,,16,,19.9,28.13
04/27/2023,01:30:27 PM,Charles B #1,6681,04/09/2018,C-320-305-120,,,,13,40,,,,
06/12/2024,03:32:51 PM,Charles B #1,6681,04/09/2018,C-320-305-120,,,,261,974,,,,
06/12/2024,03:39:33 PM,Charles B #1,6681,04/09/2018,C-320-305-120,5.71,69.68,71,,,64,,60.7,67.51
07/31/2023,02:06:08 PM,CircleT#1,5826,01/31/2022,C-320-256-100,3.51,69.69,44,,,38,,59.4,68.49
04/11/2024,02:32:26 PM,CMWW #1,5956,04/08/2024,C-320-305-100,5.39,89.26,120,,,111,,78.5,84.46
04/11/2024,02:51:06 PM,CMWW #1,5956,04/08/2024,C-320-305-100,,,,650,3132,,,,
04/16/2024,01:31:45 PM,CMWW #1,5956,04/08/2024,C-320-305-100,5.41,94.26,83,,,35,,24.6,58.40
04/16/2024,01:46:13 PM,CMWW #1,5956,04/08/2024,C-320-305-100,,,,736,3938,,,,
04/27/2024,02:31:08 PM,CMWW #1,5956,04/08/2024,C-320-305-100,5.73,95.15,106,,,59,,33.8,61.11
04/27/2024,02:32:41 PM,CMWW #1,5956,04/08/2024,C-320-305-100,,,,705,3603,,,,
04/27/2024,02:40:53 PM,CMWW #1,5956,04/08/2024,C-320-305-100,6.13,94.02,52,,,0,,0.1,34.44
05/23/2024,03:53:23 PM,CMWW #1,5956,04/08/2024,C-320-305-100,5.39,94.50,76,,,37,,26.4,54.25
05/23/2024,03:54:57 PM,CMWW #1,5956,04/08/2024,C-320-305-100,,,,497,2539,,,,
07/16/2024,02:39:27 PM,CMWW #1,5956,04/08/2024,C-320-305-100,4.96,90.14,108,,,100,,80.3,86.68
07/16/2024,02:56:31 PM,CMWW #1,5956,04/08/2024,C-320-305-100,,,,84,389,,,,
07/24/2024,03:55:11 PM,CMWW #1,5956,04/08/2024,C-320-305-100,5.12,91.31,31,,,5,,4.1,24.77
07/24/2024,03:57:14 PM,CMWW #1,5956,04/08/2024,C-320-305-100,,,,15,68,,,,
08/13/2024,04:51:53 PM,CMWW #1,5956,04/08/2024,C-320-305-100,5.58,89.74,70,,,42,,28.9,47.82
08/13/2024,04:53:24 PM,CMWW #1,5956,04/08/2024,C-320-305-100,,,,116,578,,,,
08/20/2024,05:49:07 PM,CMWW #1,5956,04/08/2024,C-320-305-100,,,,182,182,,,,
04/03/2023,11:57:30 AM,CR #101,5154,05/17/2022,C-320-305-100,3.97,82.67,14,,,8,,10.7,17.89
04/03/2023,12:22:00 PM,CR #101,5154,05/17/2022,C-320-305-100,,,,55,233,,,,
05/22/2023,02:04:57 PM,CR #101,5154,05/17/2022,C-320-305-100,4.04,78.89,53,,,47,,64.0,71.57
05/22/2023,02:21:58 PM,CR #101,5154,05/17/2022,C-320-305-100,,,,103,487,,,,
02/01/2024,02:46:22 PM,CR #101,5154,05/17/2022,C-320-305-100,5.27,80.41,30,,,23,,29.8,38.34
02/01/2024,02:48:59 PM,CR #101,5154,05/17/2022,C-320-305-100,,,,84,328,,,,
02/01/2024,02:55:46 PM,CR #101,5154,05/17/2022,C-320-305-100,,,,27,105,,,,
05/22/2023,01:15:51 PM,CR #201,5156,05/13/2022,C-320-305-100,,,,56,230,,,,
02/01/2024,03:16:47 PM,CR #201,5156,05/13/2022,C-320-305-100,,,,89,409,,,,
06/01/2023,12:06:44 PM,CR #301,4457,05/11/2022,C-228D-213-86,5.86,59.40,53,,,48,,45.6,50.43
06/01/2023,12:20:24 PM,CR #301,4457,05/11/2022,C-228D-213-86,,,,162,716,,,,
02/01/2024,01:57:02 PM,CR #301,4457,05/11/2022,C-228D-213-86,5.09,60.61,55,,,51,,55.1,59.63
02/01/2024,01:59:44 PM,CR #301,4457,05/11/2022,C-228D-213-86,,,,1138,1138,,,,
02/01/2024,02:05:32 PM,CR #301,4457,05/11/2022,C-228D-213-86,,,,1138,1138,,,,
04/24/2023,01:00:59 PM,CR #302,4272,08/16/2021,C-228D-246-86,5.62,83.22,9,,,4,,4.3,9.66
04/24/2023,01:15:09 PM,CR #302,4272,08/16/2021,C-228D-246-86,,,,254,954,,,,
02/02/2024,08:33:02 AM,CR #302,4272,08/16/2021,C-228D-246-86,7.31,69.42,8,,,3,,3.4,8.28
02/02/2024,08:36:34 AM,CR #302,4272,08/16/2021,C-228D-246-86,,,,,,,,,
06/01/2023,01:54:12 PM,CR #401,4510,10/05/2021,C-228-213-86,,,,1744,1744,,,,
09/27/2023,10:59:29 AM,CR #401,4510,10/05/2021,C-228-213-86,,,,114,391,,,,
04/03/2023,02:37:29 PM,CR #501,3747,12/21/2020,C-320-305-100,4.17,96.29,32,,,-11,,-10.4,29.01
04/03/2023,02:53:40 PM,CR #501,3747,12/21/2020,C-320-305-100,,,,222,864,,,,
09/26/2023,01:32:17 PM,CR #501,3747,12/21/2020,C-320-305-100,,,,421,660,,,,
02/01/2024,11:15:11 AM,CR #501,3747,12/21/2020,C-320-305-100,4.61,82.89,65,,,0,,0.1,59.33
02/01/2024,11:20:20 AM,CR #501,3747,12/21/2020,C-320-305-100,,,,273,788,,,,
06/01/2023,03:25:45 PM,CR #939,5367,09/23/2022,C-320-305-120,5.13,72.46,64,,,53,,56.7,68.57
06/01/2023,03:40:38 PM,CR #939,5367,09/23/2022,C-320-305-120,,,,227,227,,,,
07/11/2023,11:00:38 AM,Cross S#1,5831,02/24/2022,C-320-213-120,,,,4,4,,,,
07/10/2023,12:05:22 PM,CT #1,6052,02/28/2022,C-456-365-120,5.80,122.77,88,,,0,,0.1,57.67
07/10/2023,12:19:37 PM,CT #1,6052,02/28/2022,C-456-365-120,,,,868,4604,,,,
10/31/2023,12:45:10 PM,CT #1,6052,02/28/2022,C-456-365-120,6.11,119.87,68,,,0,,0.1,42.14
10/31/2023,12:59:33 PM,CT #1,6052,02/28/2022,C-456-365-120,,,,986,5274,,,,
11/27/2023,12:30:47 PM,CT #1,6039,11/22/2023,C-456-365-120,5.78,116.62,177,,,170,,110.9,115.33
11/27/2023,12:46:12 PM,CT #1,6039,11/22/2023,C-456-365-120,,,,1024,5474,,,,
03/07/2024,03:22:28 PM,CT #1,6039,11/22/2023,C-456-365-120,5.28,114.98,112,,,87,,57.5,73.77
03/07/2024,03:25:06 PM,CT #1,6039,11/22/2023,C-456-365-120,,,,381,2035,,,,
03/07/2024,03:43:41 PM,CT #1,6039,11/22/2023,C-456-365-120,,,,,,,,,
03/07/2024,03:48:44 PM,CT #1,6039,11/22/2023,C-456-365-120,5.78,113.12,42,,,18,,11.6,27.39
03/29/2024,02:39:20 PM,CT #1,6039,11/22/2023,C-456-365-120,6.62,119.52,0,,,0,,0.1,0.00
03/29/2024,02:41:45 PM,CT #1,6039,11/22/2023,C-456-365-120,,,,28,137,,,,
03/29/2024,02:41:45 PM,
08/14/2024,04:23:25 PM,CT #1,6039,11/22/2023,C-456-365-120,7.33,116.16,42,,,0,,0.1,23.12
08/14/2024,04:28:14 PM,CT #1,6039,11/22/2023,C-456-365-120,,,,79,409,,,,
08/14/2024,04:35:10 PM,CT #1,6039,11/22/2023,C-456-365-120,6.67,120.88,126,,,106,,61.3,72.79
08/14/2024,04:42:24 PM,CT #1,6039,11/22/2023,C-456-365-120,6.33,118.17,45,,,0,,0.1,27.06
05/02/2023,02:08:10 PM,Dale#1,6588,12/06/2017,C-320D-298-100,6.57,62.80,72,,,60,,49.2,58.68
03/07/2024,09:43:42 AM,Dale#1,6588,12/06/2017,C-320D-298-100,,,,56,157,,,,
05/24/2024,10:37:21 AM,Dale#1,6588,12/06/2017,C-320D-298-100,,,,172,172,,,,
08/20/2024,09:36:43 AM,Dale#1,6588,12/06/2017,C-320D-298-100,,,,0,0,,,,
08/20/2024,09:59:46 AM,Dale#1,6588,12/06/2017,C-320D-298-100,,,,0,0,,,,
08/20/2024,10:16:59 AM,Dale#1,6588,12/06/2017,C-320D-298-100,6.78,74.15,92,,,90,,71.8,73.83
01/05/2023,11:49:39 AM,Dial#1,5850,11/16/2022,C-456-305-120,,,,124,173,,,,
01/05/2023,11:54:47 AM,Dial#1,5850,11/16/2022,C-456-305-120,5.09,92.74,80,,,75,,84.9,90.29
07/10/2023,02:31:28 PM,Dial#1,5850,11/16/2022,C-456-305-120,3.51,89.66,28,,,18,,27.4,42.80
07/10/2023,02:57:19 PM,Dial#1,5850,11/16/2022,C-456-305-120,,,,243,243,,,,
12/19/2023,10:53:04 AM,Dial#1,5850,11/16/2022,C-456-305-120,4.01,91.98,10,,,4,,6.0,13.89
12/19/2023,11:09:21 AM,Dial#1,5850,11/16/2022,C-456-305-120,,,,401,401,,,,
08/19/2024,02:35:14 PM,Dillard #1,6305,08/19/2024,,,,,,,,0.000,,
08/19/2024,02:42:57 PM,Dillard #1,6305,08/19/2024,,,,,,,,0.000,,
08/19/2024,03:05:28 PM,Dillard #1,6305,08/19/2024,,,,,,,,0.000,,
08/19/2024,03:25:01 PM,Dillard #1,6305,08/19/2024,,,,,,,,0.000,,
08/19/2024,03:34:28 PM,Dillard #1,6305,08/19/2024,,,,,,,,0.000,,
08/19/2024,03:48:03 PM,Dillard #1,6305,08/19/2024,,,,,,,,0.000,,
04/12/2024,10:38:17 AM,Dixondale #1,5403,04/11/2024,C-640-365-168,,,,3479,3479,,,,
04/12/2024,11:13:58 AM,Dixondale #1,5403,04/11/2024,C-640-365-168,5.56,165.28,326,,,299,,150.0,163.59
04/17/2024,11:10:54 AM,Dixondale #1,5403,04/11/2024,C-640-365-168,5.23,168.04,312,,,213,,113.9,166.43
04/17/2024,11:25:52 AM,Dixondale #1,5403,04/11/2024,C-640-365-168,,,,1348,3970,,,,
04/22/2024,07:57:04 AM,Dixondale #1,5403,04/11/2024,C-640-365-168,5.67,172.18,362,,,347,,163.2,170.17
04/22/2024,08:12:20 AM,
04/22/2024,08:12:20 AM,Dixondale #1,5403,04/11/2024,C-640-365-168,,,,3008,3616,,,,
04/25/2024,12:38:41 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,5.91,169.30,355,,,356,,169.1,168.64
04/25/2024,12:40:56 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,,,,2053,3874,,,,
04/25/2024,12:56:45 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,6.25,169.93,375,,,270,,120.6,167.61
05/21/2024,03:34:29 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,,,,2450,2450,,,,
05/21/2024,03:49:55 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,6.79,168.59,401,,,356,,146.5,165.17
05/21/2024,03:55:07 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,6.82,168.86,405,,,371,,152.2,165.89
05/23/2024,12:37:25 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,6.87,166.41,385,,,236,,96.4,157.16
05/23/2024,12:40:48 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,,,,2127,2901,,,,
05/23/2024,12:42:34 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,7.51,168.01,445,,,354,,128.8,161.83
05/23/2024,12:50:32 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,,,,2121,2880,,,,
05/31/2024,09:54:34 AM,Dixondale #1,5403,04/11/2024,C-640-365-168,6.35,166.59,364,,,331,,146.5,160.83
05/31/2024,10:09:30 AM,Dixondale #1,5403,04/11/2024,C-640-365-168,,,,1359,4120,,,,
07/25/2024,06:09:36 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,5.86,163.36,354,,,336,,150.3,158.10
07/25/2024,06:11:36 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,,,,1052,4396,,,,
07/25/2024,06:18:29 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,6.53,166.88,381,,,351,,147.1,159.94
08/15/2024,01:37:53 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,6.51,160.78,334,,,267,,114.7,143.38
08/15/2024,01:52:10 PM,
08/15/2024,01:52:10 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,,,,930,3152,,,,
08/15/2024,01:56:52 PM,Dixondale #1,5403,04/11/2024,C-640-365-168,6.83,163.69,395,,,290,,110.7,150.89
10/10/2023,09:02:02 AM,Drinkard #1 Gas Lift,5602,12/31/1969,,,,,110,110,,,,
10/10/2023,09:03:35 AM,Drinkard #1 Gas Lift,5602,12/31/1969,,,,,118,118,,,,
03/27/2024,10:51:54 AM,Drinkard#1,5604,03/08/2024,C-456-305-120,6.56,102.63,267,,,252,,94.9,100.37
03/27/2024,10:53:49 AM,Drinkard#1,5604,03/08/2024,C-456-305-120,,,,1601,2369,,,,
04/01/2024,10:56:28 AM,Drinkard#1,5604,03/08/2024,C-456-305-120,7.07,103.42,254,,,239,,94.9,100.79
04/01/2024,11:00:51 AM,Drinkard#1,5604,03/08/2024,C-456-305-120,,,,1019,4944,,,,
