Date,Time,Well Name,Seating Nipple Depth (ft),Pump Run Date,Surface Unit API,Strokes Per Minute (SPM),Maximum Plunger Stroke (in),Pump Displacement (BBL/D),Gas Free Above Pump (ft),Fluid Above Pump (ft),Adjusted Displacement (BBL/D),Plunger OD (in),Adjusted EPT (in),Effective Plunger Travel (in)
05/23/2024,10:30:02 AM,BARRIER #1,6605,03/18/2022,C-320-305-120,,,,,,,,,
05/23/2024,10:32:12 AM,BARRIER #1,6605,03/18/2022,C-320-305-120,,,,,,,,,
04/12/2024,04:00:54 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,3484,3484,,,,
04/16/2024,10:37:05 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.36,143.73,403,,,345,,116.2,135.69
04/16/2024,10:52:26 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,4968,4968,,,,
04/22/2024,12:10:46 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.35,146.55,430,,,416,,140.1,144.68
04/22/2024,12:23:19 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,1287,5138,,,,
04/23/2024,10:17:18 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.28,146.13,427,,,410,,134.2,139.91
04/23/2024,10:19:42 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,1309,5342,,,,
04/23/2024,10:35:58 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.30,145.15,393,,,371,,128.7,136.11
04/26/2024,02:55:19 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.29,146.10,406,,,365,,123.6,137.50
04/26/2024,02:57:18 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,1224,5115,,,,
04/26/2024,03:14:29 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,1104,5158,,,,
04/26/2024,03:18:47 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,,,,,,
04/26/2024,03:25:20 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.79,146.80,458,,,420,,127.8,139.26
04/29/2024,04:04:45 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,7.04,147.51,471,,,437,,133.0,143.23
04/29/2024,04:07:10 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,1339,4691,,,,
04/30/2024,10:35:49 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.96,145.58,472,,,464,,142.7,144.97
04/30/2024,10:41:03 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.94,146.51,472,,,449,,138.7,146.04
04/30/2024,10:43:28 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,1187,3818,,,,
05/22/2024,01:44:08 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.98,157.73,514,,,509,,156.1,157.66
05/22/2024,01:46:34 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,,,,,,
05/22/2024,01:50:54 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,1288,4144,,,,
05/24/2024,10:13:47 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.81,144.54,345,,,296,,109.6,127.66
05/24/2024,10:15:22 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,1252,3796,,,,
05/30/2024,02:48:55 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.94,139.01,327,,,240,,86.7,118.21
05/30/2024,03:04:25 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,1311,3658,,,,
06/06/2024,02:18:15 PM,
06/06/2024,02:18:15 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.80,149.07,318,,,0,,0.1,110.89
06/11/2024,10:02:55 AM,
06/11/2024,10:02:55 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.45,139.55,193,,,150,,59.6,76.48
06/12/2024,01:30:16 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.64,153.71,338,,,150,,57.1,128.69
06/12/2024,01:32:15 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,1117,3594,,,,
06/12/2024,01:41:12 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.56,154.24,343,,,216,,82.5,131.34
06/19/2024,12:25:54 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.62,137.78,109,,,38,,14.5,41.61
06/20/2024,12:14:05 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.73,137.10,126,,,2,,0.9,47.35
06/20/2024,12:27:41 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,976,3017,,,,
06/21/2024,09:59:14 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.73,140.00,121,,,0,,0.1,44.86
06/24/2024,09:37:17 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.78,145.74,207,,,20,,7.3,76.44
06/24/2024,09:49:43 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,842,2884,,,,
06/25/2024,10:52:23 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.95,143.51,237,,,133,,48.8,86.99
06/26/2024,11:05:02 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.80,131.60,250,,,224,,83.7,93.39
06/26/2024,11:18:18 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,698,3529,,,,
06/27/2024,08:41:00 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.82,127.26,332,,,324,,119.3,121.88
06/27/2024,08:53:16 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,640,2319,,,,
06/28/2024,08:32:43 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,5.93,135.85,131,,,0,,0.2,47.53
07/01/2024,10:01:11 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.17,139.90,110,,,0,,0.1,39.11
07/09/2024,10:56:38 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.64,129.41,398,,,363,,115.7,126.93
07/09/2024,11:10:03 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,770,3509,,,,
07/24/2024,11:29:01 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.04,146.51,217,,,0,,0.1,78.21
07/24/2024,11:32:15 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,1193,3386,,,,
07/24/2024,11:38:12 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.14,146.25,156,,,0,,0.1,54.01
07/26/2024,10:30:31 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,6.23,143.91,155,,,0,,0.1,53.81
07/26/2024,10:33:36 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,970,3598,,,,
07/30/2024,12:03:13 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,4.88,137.35,271,,,202,,92.4,129.28
07/30/2024,12:27:13 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,596,2410,,,,
08/18/2024,12:23:48 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,4.94,133.84,293,,,270,,122.0,132.24
08/18/2024,12:25:17 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,518,2067,,,,
08/22/2024,10:47:55 AM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,2015,3009,,,,
08/22/2024,05:03:24 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,7.33,146.29,150,,,1,,0.1,43.64
08/22/2024,05:04:56 PM,Beeler #16 RE,5346,04/12/2024,C-640D-300-144,,,,961,2704,,,,
04/18/2024,12:24:58 PM,Beeler #17,7281,04/18/2024,C-228-246-86,,,,674,674,,,,
04/19/2024,12:17:16 PM,Beeler #17,7281,04/18/2024,C-228-246-86,4.49,44.18,35,,,19,,22.9,43.32
04/22/2024,01:00:22 PM,Beeler #17,7281,04/18/2024,C-228-246-86,4.53,43.40,34,,,16,,19.6,41.48
04/22/2024,01:16:37 PM,Beeler #17,7281,04/18/2024,C-228-246-86,,,,1892,1892,,,,
04/23/2024,10:40:40 AM,Beeler #17,7281,04/18/2024,C-228-246-86,4.50,43.99,36,,,18,,21.5,43.60
04/23/2024,10:55:03 AM,Beeler #17,7281,04/18/2024,C-228-246-86,,,,394,1667,,,,
05/22/2024,02:02:03 PM,Beeler #17,7281,04/18/2024,C-228-246-86,5.62,43.71,42,,,28,,27.3,41.48
05/22/2024,02:04:42 PM,Beeler #17,7281,04/18/2024,C-228-246-86,,,,394,1514,,,,
07/11/2023,12:32:31 PM,Beeler Ranch #1,6007,12/09/2021,C-456D-365-120,5.29,110.93,106,,,102,,105.7,110.30
08/14/2023,11:11:30 AM,
08/14/2023,11:11:30 AM,
08/14/2023,11:11:30 AM,Beeler Ranch #1,6007,12/09/2021,C-456D-365-120,,,,742,3021,,,,
