Well Name,Completion Total,% Payout
Aaron #1,4541907.67,1.0343405556782888
Allen #1,3513040.67,0.6467539423961978
Aniken #1,3183958.13,0.2662065318132251
Anna Louisa #1,6411049.6899999995,0.04056251147655424
Annpick #1,3188456.39,1.2477811465954258
BMMP #1,4509241.039999999,0.2440332339685851
BMMP #3,2359324.37,0
Balfour #1,3101774.7500000005,1.0712292235366692
Barrier #1,3274184.87,1.0925617062872792
Beeler Ranch #1,4876498.6,1.604226644842014
Bermuda #1,2114711.01,0.9196941216910152
Betty #1,2443815.7299999995,0.7731538478497683
Big Sonny #1,3328803.18,0.32781014840160794
Blackmon #1,3159497.31,1.5973090418508735
Blas Reyes #1,5117100.46,0.429988823265174
Bond #1,2283784.64,0.7392956193529865
Bowman #1,1738732.7,0.951070645372541
Bowman #2,3124010.73,0.2838056160253909
Bowman #3,97980.84999999999,0
Bowman #4,83216.82,0
Box #1,2686084.93,0.22028533315120757
Box #1,2686084.93,0.22028533315120757
Branton #1,3599866.41,0.06442757606414545
Bruce Weaver #1,268630.6,2.0684208425527664
Bruce Weaver #2 Re,7962521.7700000005,0.569168208553737
Buck #1,3154181.2,0.0025514486266093555
Burns Ranch #2,3761043.42,0.9153954421481428
Burns Ranch GT #1,3076502.29,0
CMWW #1,4994794.23,0.3877471512074689
CMWW #2,6258445.970000001,0.911325127340121
CR #101,2984161.92,0.6614015584334992
CR #1148,3889220.4899999998,0
CR #201,3168850.49,0.5588675919349594
CR #301,3934234.05,0.7356926340689097
CR #302,3158873.76,0.42900227680026654
CR #401,2515292.0999999996,0.06082588637119193
CR #447,3597730.9699999997,0
CR #501,3253726.0200000005,0.19208027895377755
CR #939,4085601.97,0.19799916443429452
CT #1,4665708.32,1.7798115444356521
Cannan #1,2530812.8099999996,5.772197528467318
Carolpick #1,3726061.27,3.138279381612516
Carolyn #1,3036117.7199999997,0.8923743842607771
Caza #1,2618815.05,0.05425966198740384
Cenizo #1,2901897.61,1.1765738072474485
Chad #1,4164151.6100000003,0.9051686670017012
Charles B #1,2916476.59,0.6938447796328181
Circle T #1,3580351.3899999997,1.5661611647221438
Clayton #1,4114133.3199999994,0.06293744437043823
Cornett #1,3589278.9,0.15391328831382362
Cross S #1,3309637.51,0.7292343527919575
Dale #1,3440694.27,0.8693579258152282
Dial #1,3640371.92,0.39731339186515274
Dial #1 ST,3072208.16,0.06854732965031236
Dillard #1,3356540.95,0.321139245309725
Dixondale #1,7633102.73,0.37023501938607256
Drinkard #1,4781655.77,1.5445086606913705
Dunkle #1,3673227.9299999997,0.04680179707307029
Dunkle #2,2748435.35,2.780254046881471
Dunlap #1,3114339.4,1.8332844042548504
Dyess #1,3040724.02,2.7078626680582136
Eileen #1,3169704.95,0.47860128580641764
Elaine #1,665422.93,0
Evergreen #1,2478917.37,1.5890045620211835
FGP #1,2737704.52,0.05730371443559835
FMMP #1,1501767.6,0
Fatheree #1,5824977.0600000005,0.719160870615634
Flower #1,2929746.12,3.2101925129254694
Flying G #1,4231923.32,0.6951447202271737
Gail #1,4982079.22,1.0700198153866773
Gil #1,2484326.89,2.269725706275188
Gonzales #1,2368183.93,0
Grissom #1,3069940.42,0.46357117735575515
Haby #1,3462971.95,0.33115520708178803
Harold #1,659259.5,0.3821755717513063
Harold #1,659259.5,0.3821755717513063
Harper #1,2218459.77,0
Heitz #1,3597356.37,0.11271881494325249
Huber #1,2461120.5100000002,0.4986375830140037
J Beeler #1,4318519.640000001,1.8537354838499922
JIC #1,5004119.18,1.6971297880162566
JIC Buda #1,3863814.45,0.18201662780142244
JJ #1,4560318.08,1.939269867477912
Jessica #1,3532088.19,2.939539035727212
Joe #1,2042726.77,4.220216904584497
Joseph #1,2724340.11,0.1437253049911098
Jred #1,4587173.470000001,0.2911988590599052
Kay #1,5695612.05,1.2189023593640056
