,Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
0,CL Moore 6,2020-09-30,0.0,92,22,0,0,
1,CL Moore 8,2020-09-30,0.0,0,0,0,0,S.i.
2,CL Moore 6,2020-09-29,0.0,94,25,0,0,
3,CL Moore 8,2020-09-29,0.0,0,0,0,0,S.i.
4,CL Moore 6,2020-09-28,0.0,104,29,0,0,
5,CL Moore 8,2020-09-28,0.0,0,0,0,0,S.i.
6,CL Moore 6,2020-09-27,0.0,104,30,0,0,
7,CL Moore 8,2020-09-27,0.0,0,0,0,0,S.i.
8,CL Moore 6,2020-09-26,0.0,102,29,0,0,
9,CL Moore 8,2020-09-26,0.0,0,0,0,0,S.i.
10,CL Moore 6,2020-09-25,0.0,104,30,0,0,
11,CL Moore 8,2020-09-25,0.0,0,0,0,0,S.i.
12,CL Moore 6,2020-09-24,0.0,109,30,0,0,
13,CL Moore 8,2020-09-24,0.0,0,0,0,0,S.i.
14,CL Moore 6,2020-09-23,0.0,95,25,0,0,
15,CL Moore 8,2020-09-23,0.0,0,0,0,0,S.i.
16,CL Moore 6,2020-09-22,0.0,102,29,0,0,
17,CL Moore 8,2020-09-22,0.0,0,0,0,0,S.i.
18,CL Moore 6,2020-09-21,0.0,102,30,0,0,
19,CL Moore 8,2020-09-21,0.0,0,0,0,0,S.i.
20,CL Moore 6,2020-09-20,0.0,105,29,0,0,
21,CL Moore 8,2020-09-20,0.0,0,0,0,0,S..
22,CL Moore 6,2020-09-19,0.0,101,31,0,0,
23,CL Moore 8,2020-09-19,0.0,0,0,0,0,S.i.
24,CL Moore 6,2020-09-18,0.0,103,26,0,0,C.t.
25,CL Moore 8,2020-09-18,0.0,0,0,0,0,S.i.
26,CL Moore 6,2020-09-17,0.0,106,30,0,0,
27,CL Moore 8,2020-09-17,0.0,0,0,0,0,S.i.
28,CL Moore 6,2020-09-16,0.0,104,30,0,0,
29,CL Moore 8,2020-09-16,0.0,0,0,0,0,S.i.
30,CL Moore 6,2020-09-15,0.0,105,29,0,0,
31,CL Moore 8,2020-09-15,0.0,0,0,0,0,S.i.
32,CL Moore 6,2020-09-14,0.0,105,28,0,0,
33,CL Moore 8,2020-09-14,0.0,0,0,0,0,S.i.
34,CL Moore 6,2020-09-13,1.67,105,30,0,0,
35,CL Moore 8,2020-09-13,0.0,0,0,0,0,S.i.
36,CL Moore 6,2020-09-12,0.0,105,30,0,0,
37,CL Moore 8,2020-09-12,0.0,0,0,0,0,S.i.
38,CL Moore 6,2020-09-11,0.0,104,28,0,0,
39,CL Moore 8,2020-09-11,0.0,0,0,0,0,S.i.
40,CL Moore 6,2020-09-10,1.67,104,29,0,0,
41,CL Moore 8,2020-09-10,0.0,0,0,0,0,S.i.
42,CL Moore 6,2020-09-09,0.0,104,29,0,0,
43,CL Moore 8,2020-09-09,0.0,0,0,0,0,S.i.
44,CL Moore 6,2020-09-08,0.0,104,31,0,0,
45,CL Moore 8,2020-09-08,0.0,0,0,0,0,S.i.
46,CL Moore 6,2020-09-07,1.67,104,29,0,0,
47,CL Moore 8,2020-09-07,0.0,0,0,0,0,S.i.
48,CL Moore 6,2020-09-06,0.0,105,30,0,0,
49,CL Moore 8,2020-09-06,0.0,0,0,0,0,S.i.
50,CL Moore 6,2020-09-05,0.0,106,30,0,0,
51,CL Moore 8,2020-09-05,0.0,0,0,0,0,S.i.
52,CL Moore 6,2020-09-04,0.0,107,30,0,0,
53,CL Moore 8,2020-09-04,0.0,0,0,0,0,S.i.
54,CL Moore 6,2020-09-03,1.67,108,35,0,0,
55,CL Moore 8,2020-09-03,0.0,0,0,0,0,S.i.
56,CL Moore 6,2020-09-02,0.0,108,36,0,0,
57,CL Moore 8,2020-09-02,0.0,0,0,0,0,S.i.
58,CL Moore 6,2020-09-01,0.0,110,35,0,0,
59,CL Moore 8,2020-09-01,0.0,0,0,0,0,S.i.
