,Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
0,CL Moore 6,2019-05-31,0.0,618,30.0,0,0,
1,CL Moore 8,2019-05-31,1.67,15,51.0,0,0,
2,CL Moore 6,2019-05-30,0.0,618,25.0,0,0,
3,CL Moore 8,2019-05-30,0.0,11,52.0,0,0,
4,CL Moore 6,2019-05-29,0.0,596,22.0,0,0,
5,CL Moore 8,2019-05-29,0.0,1,39.0,0,0,Ct
6,CL Moore 6,2019-05-28,0.0,602,22.0,0,0,
7,CL Moore 8,2019-05-28,0.0,0,40.0,0,0,
8,CL Moore 6,2019-05-27,0.0,674,21.0,0,0,
9,CL Moore 8,2019-05-27,0.0,0,38.0,0,0,
10,CL Moore 6,2019-05-26,3.48,608,22.0,0,0,
11,CL Moore 8,2019-05-26,0.0,1,40.0,0,0,Pumped 50 bbls water to go
12,CL Moore 6,2019-05-25,4.64,636,20.0,0,0,
13,CL Moore 8,2019-05-25,0.0,1,40.0,0,0,Pumped 55 bbls water to gun barrel
14,CL Moore 6,2019-05-24,3.48,653,15.0,0,0,
15,CL Moore 8,2019-05-24,0.0,1,25.05,0,0,
16,CL Moore 6,2019-05-23,4.64,653,15.0,0,0,
17,CL Moore 8,2019-05-23,0.0,0,40.08,0,0,
18,CL Moore 6,2019-05-22,4.64,778,15.0,0,0,
19,CL Moore 8,2019-05-22,0.0,4,50.1,0,0,Ct ..?
20,CL Moore 6,2019-05-21,4.64,893,0.0,0,0,
21,CL Moore 8,2019-05-21,0.0,8,6.0,0,0,Started comp.
22,CL Moore 6,2019-05-20,6.74,1036,-1.12,0,0,Transferred 185 bbls from 210 tank to # 2 tank
23,CL Moore 8,2019-05-20,0.0,8,8.0,0,0,
24,CL Moore 6,2019-05-19,11.6,1057,18.0,0,0,
25,CL Moore 8,2019-05-19,0.0,7,8.0,0,0,
26,CL Moore 6,2019-05-18,4.64,1052,15.0,0,0,
27,CL Moore 8,2019-05-18,0.0,4,3.0,0,0,
28,CL Moore 6,2019-05-17,5.66,987,35.0,0,0,
29,CL Moore 8,2019-05-17,0.0,3,0.0,0,0,Started comp
30,CL Moore 6,2019-05-16,0.0,145,64.0,0,0,
31,CL Moore 8,2019-05-16,1.67,2,12.0,0,0,
32,CL Moore 6,2019-05-15,0.0,0,0.0,0,0,
33,CL Moore 8,2019-05-15,5.01,2,55.0,0,0,Pumped 60 bbls water to dispos
34,CL Moore 6,2019-05-14,0.0,90,0.0,0,0,Rig on well
35,CL Moore 8,2019-05-14,0.0,0,60.12,0,0,
36,CL Moore 6,2019-05-13,0.0,262,10.0,0,0,
37,CL Moore 8,2019-05-13,0.0,0,0.0,0,0,
38,CL Moore 6,2019-05-12,0.0,271,10.0,0,0,
39,CL Moore 8,2019-05-12,0.0,0,0.0,0,0,
40,CL Moore 6,2019-05-11,0.0,0,12.0,0,0,
41,CL Moore 8,2019-05-11,0.0,0,0.0,0,0,
42,CL Moore 6,2019-05-10,0.0,290,18.0,0,0,
43,CL Moore 8,2019-05-10,0.0,0,0.0,0,0,
44,CL Moore 6,2019-05-09,0.0,310,20.0,0,0,
45,CL Moore 8,2019-05-09,0.0,0,0.0,0,0,
46,CL Moore 6,2019-05-08,0.0,315,25.0,0,0,
47,CL Moore 8,2019-05-08,0.0,0,0.0,0,0,
48,CL Moore 6,2019-05-07,0.0,341,25.0,0,0,
49,CL Moore 8,2019-05-07,0.0,0,0.0,0,0,
50,CL Moore 6,2019-05-06,0.0,371,30.0,0,0,
51,CL Moore 8,2019-05-06,0.0,0,0.0,0,0,
52,CL Moore 6,2019-05-05,0.0,390,30.0,0,0,
53,CL Moore 8,2019-05-05,0.0,0,0.0,0,0,
54,CL Moore 6,2019-05-04,0.0,392,26.0,0,0,
55,CL Moore 8,2019-05-04,0.0,0,0.0,0,0,
56,CL Moore 6,2019-05-03,0.0,399,25.0,0,0,
57,CL Moore 8,2019-05-03,0.0,0,0.0,0,0,
58,CL Moore 6,2019-05-02,0.0,391,28.0,0,0,
59,CL Moore 8,2019-05-02,0.0,0,0.0,0,0,
60,CL Moore 6,2019-05-01,0.0,378,30.0,0,0,
61,CL Moore 8,2019-05-01,0.0,0,0.0,0,0,
