,Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
0,CL Moore 6,2018-12-31,9.65,480,165.0,0,0,
1,CL Moore 8,2018-12-31,11.69,419,0.0,0,0,
2,CL Moore 6,2018-12-30,6.31,480,184.0,0,0,
3,CL Moore 8,2018-12-30,8.35,425,0.0,0,0,
4,CL Moore 6,2018-12-29,7.98,470,162.0,0,0,
5,CL Moore 8,2018-12-29,13.36,433,0.0,0,0,
6,CL Moore 6,2018-12-28,10.81,450,195.0,0,0,
7,CL Moore 8,2018-12-28,10.02,440,0.0,0,0,
8,CL Moore 6,2018-12-27,7.33,431,210.0,0,0,
9,CL Moore 8,2018-12-27,13.36,443,0.0,0,0,
10,CL Moore 6,2018-12-26,8.63,397,234.0,0,0,
11,CL Moore 8,2018-12-26,10.02,452,0.0,0,0,
12,CL Moore 6,2018-12-25,10.67,375,226.0,0,0,
13,CL Moore 8,2018-12-25,11.69,459,0.0,0,0,
14,CL Moore 6,2018-12-24,4.5,325,230.0,0,0,
15,CL Moore 8,2018-12-24,11.69,465,0.0,0,0,
16,CL Moore 6,2018-12-23,9.51,294,225.0,0,0,
17,CL Moore 8,2018-12-23,13.36,472,0.0,0,0,
18,CL Moore 6,2018-12-22,6.17,275,234.0,0,0,
19,CL Moore 8,2018-12-22,13.36,479,0.0,0,0,
20,CL Moore 6,2018-12-21,11.18,208,247.0,0,0,
21,CL Moore 8,2018-12-21,16.7,479,0.0,0,0,
22,CL Moore 6,2018-12-20,11.18,169,249.0,0,0,
23,CL Moore 8,2018-12-20,11.69,494,0.0,0,0,
24,CL Moore 6,2018-12-19,7.84,96,274.0,0,0,Started comp
25,CL Moore 8,2018-12-19,8.35,504,0.0,0,0,
26,CL Moore 6,2018-12-18,8.35,0,250.0,0,0,
27,CL Moore 8,2018-12-18,12.52,508,0.0,0,0,
28,CL Moore 6,2018-12-17,0.0,0,293.0,0,0,
29,CL Moore 8,2018-12-17,8.35,513,0.0,0,0,
30,CL Moore 6,2018-12-16,0.0,0,174.0,0,0,
31,CL Moore 8,2018-12-16,13.36,517,0.0,0,0,
32,CL Moore 6,2018-12-15,0.0,0,273.0,0,0,
33,CL Moore 8,2018-12-15,11.69,524,0.0,0,0,
34,CL Moore 6,2018-12-14,0.0,0,0.0,0,0,Rig on well
35,CL Moore 8,2018-12-14,8.35,532,0.0,0,0,
36,CL Moore 6,2018-12-13,0.0,0,0.0,0,0,Parted rods rig on well
37,CL Moore 8,2018-12-13,15.03,530,0.0,0,0,
38,CL Moore 6,2018-12-12,0.0,282,106.0,0,0,
39,CL Moore 8,2018-12-12,16.7,402,0.0,0,0,
40,CL Moore 6,2018-12-11,7.98,418,225.0,0,0,
41,CL Moore 8,2018-12-11,11.69,379,0.0,0,0,
42,CL Moore 6,2018-12-10,11.69,359,225.0,0,0,
43,CL Moore 8,2018-12-10,10.02,322,0.0,0,0,C.d eng oil press
44,CL Moore 6,2018-12-09,5.01,260,171.0,0,0,
45,CL Moore 8,2018-12-09,10.02,422,0.0,0,0,
46,CL Moore 6,2018-12-08,14.95,0,375.0,0,0,
47,CL Moore 8,2018-12-08,11.69,440,0.0,0,0,
48,CL Moore 6,2018-12-07,3.34,0,174.0,0,0,
49,CL Moore 8,2018-12-07,11.69,438,0.0,0,0,
50,CL Moore 6,2018-12-06,0.0,0,0.0,0,0,Rig on well
51,CL Moore 8,2018-12-06,10.02,442,0.0,0,0,
52,CL Moore 6,2018-12-05,0.0,0,15.03,0,0,Rig on well
53,CL Moore 8,2018-12-05,10.02,449,0.0,0,0,
54,CL Moore 6,2018-12-04,3.48,545,131.0,0,0,Meter not reading bad battery
55,CL Moore 8,2018-12-04,6.68,456,0.0,0,0,
56,CL Moore 6,2018-12-03,1.16,540,139.0,0,0,
57,CL Moore 8,2018-12-03,10.02,448,0.0,0,0,
58,CL Moore 6,2018-12-02,5.01,543,140.0,0,0,
59,CL Moore 8,2018-12-02,6.68,420,0.0,0,0,
60,CL Moore 6,2018-12-01,1.81,569,140.0,0,0,
61,CL Moore 8,2018-12-01,13.36,400,0.0,0,0,Cd 3hrs for repairs
