,Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
0,CL Moore 6,2019-03-31,0.0,0,0.0,0,0,
1,CL Moore 8,2019-03-31,0.83,84,0.0,0,0,
2,CL Moore 6,2019-03-30,0.0,0,0.0,0,0,
3,CL Moore 8,2019-03-30,6.68,210,0.0,0,0,
4,CL Moore 6,2019-03-29,0.0,0,40.08,0,0,
5,CL Moore 8,2019-03-29,8.35,275,0.0,0,0,
6,CL Moore 6,2019-03-28,0.0,0,0.0,0,0,
7,CL Moore 8,2019-03-28,11.69,305,0.0,0,0,
8,CL Moore 6,2019-03-27,0.0,0,0.0,0,0,
9,CL Moore 8,2019-03-27,16.7,320,0.0,0,0,
10,CL Moore 6,2019-03-26,0.0,0,0.0,0,0,
11,CL Moore 8,2019-03-26,8.35,326,0.0,0,0,
12,CL Moore 6,2019-03-25,0.0,0,0.0,0,0,
13,CL Moore 8,2019-03-25,11.69,332,0.0,0,0,
14,CL Moore 6,2019-03-24,0.0,0,0.0,0,0,
15,CL Moore 8,2019-03-24,10.02,343,0.0,0,0,
16,CL Moore 6,2019-03-23,0.0,0,0.0,0,0,Rig on well
17,CL Moore 8,2019-03-23,16.7,349,0.0,0,0,
18,CL Moore 6,2019-03-22,0.0,0,0.0,0,0,
19,CL Moore 8,2019-03-22,13.36,352,0.0,0,0,
20,CL Moore 6,2019-03-21,0.0,0,0.0,0,0,
21,CL Moore 8,2019-03-21,18.37,356,0.0,0,0,
22,CL Moore 6,2019-03-20,0.0,0,0.0,0,0,
23,CL Moore 8,2019-03-20,13.36,363,0.0,0,0,
24,CL Moore 6,2019-03-19,0.0,0,0.0,0,0,
25,CL Moore 8,2019-03-19,15.03,370,0.0,0,0,
26,CL Moore 6,2019-03-18,0.0,0,0.0,0,0,
27,CL Moore 8,2019-03-18,16.7,378,0.0,0,0,
28,CL Moore 6,2019-03-17,0.0,0,0.0,0,0,
29,CL Moore 8,2019-03-17,16.7,390,0.0,0,0,
30,CL Moore 6,2019-03-16,0.0,0,0.0,0,0,
31,CL Moore 8,2019-03-16,16.7,0,0.0,0,0,
32,CL Moore 6,2019-03-15,0.0,71,10.0,0,0,Rig on well
33,CL Moore 8,2019-03-15,13.36,406,0.0,0,0,
34,CL Moore 6,2019-03-14,3.99,428,118.0,0,0,
35,CL Moore 8,2019-03-14,25.05,418,3.0,0,0,
36,CL Moore 6,2019-03-13,4.92,457,115.0,0,0,
37,CL Moore 8,2019-03-13,20.04,355,3.0,0,0,
38,CL Moore 6,2019-03-12,5.01,489,118.0,0,0,
39,CL Moore 8,2019-03-12,0.0,0,0.0,0,0,Well s.l.
40,CL Moore 6,2019-03-11,3.48,486,0.0,0,0,
41,CL Moore 8,2019-03-11,0.0,86,0.0,0,0,
42,CL Moore 6,2019-03-10,2.32,504,120.0,0,0,
43,CL Moore 8,2019-03-10,1.67,169,0.0,0,0,
44,CL Moore 6,2019-03-09,5.66,491,-1.67,0,0,
45,CL Moore 8,2019-03-09,8.35,276,0.0,0,0,
46,CL Moore 6,2019-03-08,6.68,481,116.0,0,0,Pm comp
47,CL Moore 8,2019-03-08,13.36,330,0.0,0,0,
48,CL Moore 6,2019-03-07,5.66,515,118.0,0,0,
49,CL Moore 8,2019-03-07,16.7,349,0.0,0,0,
50,CL Moore 6,2019-03-06,10.67,517,130.0,0,0,
51,CL Moore 8,2019-03-06,16.7,363,0.0,0,0,
52,CL Moore 6,2019-03-05,4.5,435,125.0,0,0,
53,CL Moore 8,2019-03-05,15.03,380,0.0,0,0,
54,CL Moore 6,2019-03-04,5.66,470,121.0,0,0,
55,CL Moore 8,2019-03-04,15.03,379,0.0,0,0,
56,CL Moore 6,2019-03-03,3.34,418,130.0,0,0,
57,CL Moore 8,2019-03-03,18.37,383,0.0,0,0,
58,CL Moore 6,2019-03-02,6.17,429,128.0,0,0,
59,CL Moore 8,2019-03-02,16.7,364,0.0,0,0,
60,CL Moore 6,2019-03-01,7.84,462,127.0,0,0,
61,CL Moore 8,2019-03-01,13.36,406,0.0,0,0,
