,Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
0,CL Moore 6,2019-02-28,5.66,488,130.0,0,0,
1,CL Moore 8,2019-02-28,11.69,418,0.0,0,0,
2,CL Moore 6,2019-02-27,6.17,492,128.0,0,0,
3,CL Moore 8,2019-02-27,11.69,218,0.0,0,0,Cd 12 hrs
4,CL Moore 6,2019-02-26,8.35,431,115.0,0,0,
5,CL Moore 8,2019-02-26,15.03,467,0.0,0,0,
6,CL Moore 6,2019-02-25,5.66,474,118.0,0,0,
7,CL Moore 8,2019-02-25,13.36,476,0.0,0,0,
8,CL Moore 6,2019-02-24,7.84,451,128.0,0,0,
9,CL Moore 8,2019-02-24,20.04,479,0.0,0,0,
10,CL Moore 6,2019-02-23,16.19,489,126.0,0,0,
11,CL Moore 8,2019-02-23,16.7,488,2.0,0,0,
12,CL Moore 6,2019-02-22,9.51,441,121.0,0,0,
13,CL Moore 8,2019-02-22,18.37,483,0.0,0,0,
14,CL Moore 6,2019-02-21,8.35,435,121.0,0,0,
15,CL Moore 8,2019-02-21,15.03,441,0.0,0,0,C.d.eng. oil press
16,CL Moore 6,2019-02-20,8.35,475,116.0,0,0,
17,CL Moore 8,2019-02-20,20.04,518,0.0,0,0,
18,CL Moore 6,2019-02-19,6.68,498,120.0,0,0,
19,CL Moore 8,2019-02-19,16.7,442,2.0,0,0,
20,CL Moore 6,2019-02-18,16.7,515,128.0,0,0,
21,CL Moore 8,2019-02-18,6.68,306,0.0,0,0,
22,CL Moore 6,2019-02-17,5.01,518,130.0,0,0,
23,CL Moore 8,2019-02-17,10.02,375,0.0,0,0,
24,CL Moore 6,2019-02-16,10.02,518,131.0,0,0,
25,CL Moore 8,2019-02-16,10.02,403,0.0,0,0,
26,CL Moore 6,2019-02-15,8.35,520,120.0,0,0,
27,CL Moore 8,2019-02-15,11.69,427,0.0,0,0,
28,CL Moore 6,2019-02-14,10.67,519,135.0,0,0,
29,CL Moore 8,2019-02-14,14.61,444,0.0,0,0,
30,CL Moore 6,2019-02-13,6.82,517,142.99,0,0,
31,CL Moore 8,2019-02-13,15.03,462,0.0,0,0,
32,CL Moore 6,2019-02-12,13.5,523,148.0,0,0,
33,CL Moore 8,2019-02-12,16.32,475,0.0,0,0,
34,CL Moore 6,2019-02-11,18.0,535,135.0,0,0,
35,CL Moore 8,2019-02-11,16.7,492,0.0,0,0,
36,CL Moore 6,2019-02-10,7.98,522,140.0,0,0,
37,CL Moore 8,2019-02-10,11.69,507,2.0,0,0,
38,CL Moore 6,2019-02-09,21.85,519,140.0,0,0,
39,CL Moore 8,2019-02-09,15.03,513,4.0,0,0,
40,CL Moore 6,2019-02-08,7.47,512,145.0,0,0,
41,CL Moore 8,2019-02-08,13.36,516,2.0,0,0,
42,CL Moore 6,2019-02-07,4.64,499,140.0,0,0,
43,CL Moore 8,2019-02-07,18.37,460,2.0,0,0,
44,CL Moore 6,2019-02-06,8.49,502,131.0,0,0,
45,CL Moore 8,2019-02-06,20.04,416,6.0,0,0,
46,CL Moore 6,2019-02-05,9.0,352,120.0,0,0,Regulator bad going to suction reg.
47,CL Moore 8,2019-02-05,18.37,492,2.0,0,0,
48,CL Moore 6,2019-02-04,7.33,502,120.0,0,0,
49,CL Moore 8,2019-02-04,16.7,305,2.0,0,0,
50,CL Moore 6,2019-02-03,9.51,506,130.0,0,0,
51,CL Moore 8,2019-02-03,16.7,306,4.0,0,0,
52,CL Moore 6,2019-02-02,1.81,508,145.0,0,0,
53,CL Moore 8,2019-02-02,16.7,306,5.0,0,0,
54,CL Moore 6,2019-02-01,11.18,522,-1.67,0,0,
55,CL Moore 8,2019-02-01,16.7,306,0.0,0,0,
