,Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
6,CL Moore #5,2017-04-24,0,25,0,0,0,
7,CL Moore #5,2017-04-23,0,25,0,0,0,
8,CL Moore #5,2017-04-22,0,25,0,0,0,
9,CL Moore #5,2017-04-21,0,25,0,0,0,
10,CL Moore #5,2017-04-20,0,25,0,0,0,
11,CL Moore #5,2017-04-19,0,25,0,0,0,
12,CL Moore #5,2017-04-18,0,24,0,0,0,
13,CL Moore #5,2017-04-17,0,20,0,0,0,
14,CL Moore #5,2017-04-16,0,25,0,0,0,
15,CL Moore #5,2017-04-15,0,20,0,0,0,
16,CL Moore #5,2017-04-14,0,20,0,0,0,
17,CL Moore #5,2017-04-13,0,20,0,0,0,
18,CL Moore #5,2017-04-12,0,20,0,0,0,
19,CL Moore #5,2017-04-11,0,20,0,0,0,
20,CL Moore #5,2017-04-10,0,10,0,0,0,
21,CL Moore #5,2017-04-09,0,15,0,0,0,
22,CL Moore #5,2017-04-08,0,15,0,0,0,
23,CL Moore #5,2017-04-07,0,15,0,0,0,
24,CL Moore #5,2017-04-06,0,15,0,0,0,
25,CL Moore #5,2017-04-05,0,15,0,0,0,
26,CL Moore #5,2017-04-04,0,10,0,0,0,
27,CL Moore #5,2017-04-03,0,20,0,0,0,
28,CL Moore #5,2017-04-02,0,15,0,0,0,
29,CL Moore #5,2017-04-01,0,15,0,0,0,
0,CL Moore #5,2017-05-31,0,25,0,0,0,
1,CL Moore #5,2017-05-30,0,25,0,0,0,
2,CL Moore #5,2017-05-29,0,25,0,0,0,
3,CL Moore #5,2017-05-28,0,25,0,0,0,
4,CL Moore #5,2017-05-27,0,25,0,0,0,
5,CL Moore #5,2017-05-26,0,25,0,0,0,
6,CL Moore #5,2017-05-25,0,25,0,0,0,
7,CL Moore #5,2017-05-24,0,25,0,0,0,
8,CL Moore #5,2017-05-23,0,25,0,0,0,
9,CL Moore #5,2017-05-22,0,20,0,0,0,
10,CL Moore #5,2017-05-21,0,20,0,0,0,
11,CL Moore #5,2017-05-20,0,20,0,0,0,
12,CL Moore #5,2017-05-19,0,20,0,0,0,
13,CL Moore #5,2017-05-18,0,20,0,0,0,
14,CL Moore #5,2017-05-17,0,20,0,0,0,
15,CL Moore #5,2017-05-16,0,25,0,0,0,
16,CL Moore #5,2017-05-15,0,25,0,0,0,
17,CL Moore #5,2017-05-14,0,25,0,0,0,
18,CL Moore #5,2017-05-13,0,25,0,0,0,
19,CL Moore #5,2017-05-12,0,25,0,0,0,
20,CL Moore #5,2017-05-11,0,25,0,0,0,
21,CL Moore #5,2017-05-10,0,25,0,0,0,
22,CL Moore #5,2017-05-09,0,25,0,0,0,
23,CL Moore #5,2017-05-08,0,25,0,0,0,
24,CL Moore #5,2017-05-07,0,25,0,0,0,
25,CL Moore #5,2017-05-06,0,25,0,0,0,
26,CL Moore #5,2017-05-05,0,25,0,0,0,
27,CL Moore #5,2017-05-04,0,25,0,0,0,
28,CL Moore #5,2017-05-03,0,25,0,0,0,
29,CL Moore #5,2017-05-02,0,25,0,0,0,
30,CL Moore #5,2017-05-01,0,20,0,0,0,
0,CL Moore #5,2017-06-30,0,25,0,0,0,
1,CL Moore #5,2017-06-29,0,25,0,0,0,
2,CL Moore #5,2017-06-28,0,25,0,0,0,
3,CL Moore #5,2017-06-27,0,25,0,0,0,
4,CL Moore #5,2017-06-26,0,25,0,0,0,
5,CL Moore #5,2017-06-25,0,25,0,0,0,
6,CL Moore #5,2017-06-24,0,25,0,0,0,
7,CL Moore #5,2017-06-23,0,25,0,0,0,
8,CL Moore #5,2017-06-22,0,25,0,0,0,
9,CL Moore #5,2017-06-21,0,25,0,0,0,
10,CL Moore #5,2017-06-20,0,25,0,0,0,
11,CL Moore #5,2017-06-19,0,25,0,0,0,
12,CL Moore #5,2017-06-18,0,25,0,0,0,
13,CL Moore #5,2017-06-17,0,25,0,0,0,
14,CL Moore #5,2017-06-16,0,25,0,0,0,
15,CL Moore #5,2017-06-15,0,25,0,0,0,
16,CL Moore #5,2017-06-14,0,25,0,0,0,
17,CL Moore #5,2017-06-13,0,0,25,0,0,
18,CL Moore #5,2017-06-12,0,25,0,0,0,
19,CL Moore #5,2017-06-11,0,25,0,0,0,
20,CL Moore #5,2017-06-10,0,25,0,0,0,
21,CL Moore #5,2017-06-09,0,25,0,0,0,
22,CL Moore #5,2017-06-08,0,25,0,0,0,
23,CL Moore #5,2017-06-07,0,35,0,0,0,
24,CL Moore #5,2017-06-06,0,25,0,0,0,
25,CL Moore #5,2017-06-05,0,25,0,0,0,
26,CL Moore #5,2017-06-04,0,25,0,0,0,
27,CL Moore #5,2017-06-03,0,25,0,0,0,
28,CL Moore #5,2017-06-02,0,25,0,0,0,
29,CL Moore #5,2017-06-01,0,25,0,0,0,
0,CL Moore #5,2017-07-31,0,25,0,0,0,
1,CL Moore #5,2017-07-30,0,25,0,0,0,
2,CL Moore #5,2017-07-29,0,25,0,0,0,
3,CL Moore #5,2017-07-28,0,25,0,0,0,
4,CL Moore #5,2017-07-27,0,25,0,0,0,
5,CL Moore #5,2017-07-26,0,25,0,0,0,
6,CL Moore #5,2017-07-25,0,25,0,0,0,
7,CL Moore #5,2017-07-24,0,25,0,0,0,
8,CL Moore #5,2017-07-23,0,25,0,0,0,
9,CL Moore #5,2017-07-22,0,25,0,0,0,
10,CL Moore #5,2017-07-21,0,25,0,0,0,
11,CL Moore #5,2017-07-20,0,25,0,0,0,
12,CL Moore #5,2017-07-19,0,25,0,0,0,
13,CL Moore #5,2017-07-18,0,25,0,0,0,
14,CL Moore #5,2017-07-17,0,25,0,0,0,
15,CL Moore #5,2017-07-16,0,25,0,0,0,
16,CL Moore #5,2017-07-15,0,25,0,0,0,
17,CL Moore #5,2017-07-14,0,25,0,0,0,
18,CL Moore #5,2017-07-13,0,25,0,0,0,
19,CL Moore #5,2017-07-12,0,25,0,0,0,
20,CL Moore #5,2017-07-11,0,25,0,0,0,
21,CL Moore #5,2017-07-10,0,25,0,0,0,
22,CL Moore #5,2017-07-09,0,25,0,0,0,
23,CL Moore #5,2017-07-08,0,25,0,0,0,
24,CL Moore #5,2017-07-07,0,25,0,0,0,
25,CL Moore #5,2017-07-06,0,25,0,0,0,
26,CL Moore #5,2017-07-05,0,25,0,0,0,
27,CL Moore #5,2017-07-04,0,25,0,0,0,
28,CL Moore #5,2017-07-03,0,25,0,0,0,
29,CL Moore #5,2017-07-02,0,25,0,0,0,
30,CL Moore #5,2017-07-01,0,25,0,0,0,
0,CL Moore #5,2017-08-31,0,0,0,0,0,
1,CL Moore #5,2017-08-30,0,0,0,0,0,
2,CL Moore #5,2017-08-29,0,0,0,0,0,
3,CL Moore #5,2017-08-28,0,0,0,0,0,
4,CL Moore #5,2017-08-27,0,0,0,0,0,
5,CL Moore #5,2017-08-26,0,0,0,0,0,
6,CL Moore #5,2017-08-25,0,0,0,0,0,Well shut in storm
7,CL Moore #5,2017-08-24,0,25,0,0,0,Swim for storm
8,CL Moore #5,2017-08-23,0,25,0,0,0,
9,CL Moore #5,2017-08-22,0,25,0,0,0,
10,CL Moore #5,2017-08-21,0,25,0,0,0,
11,CL Moore #5,2017-08-20,0,25,0,0,0,
12,CL Moore #5,2017-08-19,0,25,0,0,0,
13,CL Moore #5,2017-08-18,0,25,0,0,0,
14,CL Moore #5,2017-08-17,0,25,0,0,0,
15,CL Moore #5,2017-08-16,0,25,0,0,0,
16,CL Moore #5,2017-08-15,0,25,0,0,0,
17,CL Moore #5,2017-08-14,0,25,0,0,0,
18,CL Moore #5,2017-08-13,0,25,0,0,0,
19,CL Moore #5,2017-08-12,0,25,0,0,0,
20,CL Moore #5,2017-08-11,0,25,0,0,0,
21,CL Moore #5,2017-08-10,0,25,0,0,0,
22,CL Moore #5,2017-08-09,0,25,0,0,0,
23,CL Moore #5,2017-08-08,0,25,0,0,0,
24,CL Moore #5,2017-08-07,0,25,0,0,0,
25,CL Moore #5,2017-08-06,0,25,0,0,0,
26,CL Moore #5,2017-08-05,0,25,0,0,0,
27,CL Moore #5,2017-08-04,0,25,0,0,0,
28,CL Moore #5,2017-08-03,0,25,0,0,0,
29,CL Moore #5,2017-08-02,0,25,0,0,0,
30,CL Moore #5,2017-08-01,0,0,25,0,0,
0,CL Moore #5,2017-09-29,0,0,0,0,0,
1,CL Moore #5,2017-09-28,0,0,0,0,0,
2,CL Moore #5,2017-09-27,0,0,0,0,0,Well shut in
3,CL Moore #5,2017-09-26,0,0,0,0,0,
4,CL Moore #5,2017-09-25,0,0,0,0,0,
5,CL Moore #5,2017-09-24,0,0,0,0,0,
6,CL Moore #5,2017-09-23,0,0,0,0,0,
7,CL Moore #5,2017-09-22,0,0,0,0,0,
8,CL Moore #5,2017-09-21,0,0,0,0,0,Shut in
9,CL Moore #5,2017-09-20,0,0,0,0,0,Well shut in
10,CL Moore #5,2017-09-19,0,25,0,0,0,
11,CL Moore #5,2017-09-18,0,25,0,0,0,
12,CL Moore #5,2017-09-17,0,25,0,0,0,
13,CL Moore #5,2017-09-16,0,25,0,0,0,
14,CL Moore #5,2017-09-15,0,25,0,0,0,
15,CL Moore #5,2017-09-14,0,25,0,0,0,
16,CL Moore #5,2017-09-13,0,10,0,0,0,
17,CL Moore #5,2017-09-12,0,0,0,0,0,
18,CL Moore #5,2017-09-11,0,0,0,0,0,
19,CL Moore #5,2017-09-10,0,0,0,0,0,
20,CL Moore #5,2017-09-09,0,0,0,0,0,
21,CL Moore #5,2017-09-08,0,0,0,0,0,
22,CL Moore #5,2017-09-07,0,0,0,0,0,
23,CL Moore #5,2017-09-06,0,0,0,0,0,
24,CL Moore #5,2017-09-05,0,0,0,0,0,
25,CL Moore #5,2017-09-04,0,0,0,0,0,
26,CL Moore #5,2017-09-03,0,0,0,0,0,
27,CL Moore #5,2017-09-02,0,0,0,0,0,
28,CL Moore #5,2017-09-01,0,80,0,0,0,
0,CL Moore 6,2018-03-31,3.34,0,0.0,0,0,
1,CL Moore 6,2018-03-30,6.68,0,0.0,0,0,
2,CL Moore 6,2018-03-29,6.68,0,0.0,0,0,
3,CL Moore 6,2018-03-28,1.67,0,0.0,0,0,
4,CL Moore 6,2018-03-27,3.34,0,0.0,0,0,
5,CL Moore 6,2018-03-26,25.05,0,0.0,0,0,
6,CL Moore 6,2018-03-25,23.38,0,0.0,0,0,
7,CL Moore 6,2018-03-24,25.05,0,0.0,0,0,
8,CL Moore 6,2018-03-23,19.65,0,0.0,0,0,
9,CL Moore 6,2018-03-22,23.38,0,0.0,0,0,
10,CL Moore 6,2018-03-21,17.95,0,-35.07,0,0,
11,CL Moore 6,2018-03-20,199.6,0,0.0,0,0,
12,CL Moore 6,2018-03-19,6.68,0,0.0,0,0,
13,CL Moore 6,2018-03-18,6.68,0,0.0,0,0,
14,CL Moore 6,2018-03-17,6.68,0,0.0,0,0,
15,CL Moore 6,2018-03-16,6.68,0,0.0,0,0,
16,CL Moore 6,2018-03-15,3.34,0,-20.04,0,0,
17,CL Moore 6,2018-03-14,21.71,0,-6.68,0,0,
18,CL Moore 6,2018-03-13,6.68,0,0.0,0,0,
19,CL Moore 6,2018-03-12,6.68,0,0.0,0,0,
20,CL Moore 6,2018-03-11,6.68,0,0.0,0,0,
21,CL Moore 6,2018-03-10,6.68,0,-8.35,0,0,
22,CL Moore 6,2018-03-09,6.68,0,-3.34,0,0,
23,CL Moore 6,2018-03-08,6.68,0,-1.67,0,0,
24,CL Moore 6,2018-03-07,8.35,0,-6.68,0,0,
25,CL Moore 6,2018-03-06,13.36,0,-13.36,0,0,
0,CL Moore 6,2018-04-30,11.69,0,0,0,0,
1,CL Moore 6,2018-04-29,21.71,0,0,0,0,
2,CL Moore 6,2018-04-28,26.72,0,0,0,0,
3,CL Moore 6,2018-04-27,25.05,0,0,0,0,
4,CL Moore 6,2018-04-26,20.04,0,0,0,0,
5,CL Moore 6,2018-04-25,31.73,0,0,0,0,
6,CL Moore 6,2018-04-24,20.04,0,0,0,0,
7,CL Moore 6,2018-04-23,3.34,0,0,0,0,
8,CL Moore 6,2018-04-22,1.67,0,0,0,0,
9,CL Moore 6,2018-04-21,1.67,0,0,0,0,
10,CL Moore 6,2018-04-20,3.34,0,0,0,0,
11,CL Moore 6,2018-04-19,5.01,0,0,0,0,
12,CL Moore 6,2018-04-18,3.34,0,0,0,0,
13,CL Moore 6,2018-04-17,3.34,0,0,0,0,
14,CL Moore 6,2018-04-16,6.68,0,0,0,0,
15,CL Moore 6,2018-04-15,6.68,0,0,0,0,
16,CL Moore 6,2018-04-14,8.35,0,0,0,0,
17,CL Moore 6,2018-04-13,6.68,0,0,0,0,
18,CL Moore 6,2018-04-12,6.68,0,0,0,0,
19,CL Moore 6,2018-04-11,5.01,0,0,0,0,
20,CL Moore 6,2018-04-10,5.01,0,0,0,0,
21,CL Moore 6,2018-04-09,6.68,0,0,0,0,
22,CL Moore 6,2018-04-08,5.01,0,0,0,0,
23,CL Moore 6,2018-04-07,5.01,0,0,0,0,
24,CL Moore 6,2018-04-06,8.35,0,0,0,0,
25,CL Moore 6,2018-04-05,8.35,0,0,0,0,
26,CL Moore 6,2018-04-04,11.69,0,0,0,0,
27,CL Moore 6,2018-04-03,0.0,0,0,0,0,
28,CL Moore 6,2018-04-02,2.91,0,0,0,0,
29,CL Moore 6,2018-04-01,3.34,0,0,0,0,
0,CL Moore 6,2018-05-31,5.01,0,0,0,0,
1,CL Moore 6,2018-05-30,5.01,0,0,0,0,
2,CL Moore 6,2018-05-29,6.68,0,0,0,0,
3,CL Moore 6,2018-05-28,5.01,0,0,0,0,
4,CL Moore 6,2018-05-27,5.01,0,0,0,0,
5,CL Moore 6,2018-05-26,8.74,0,0,0,0,
6,CL Moore 6,2018-05-25,21.71,0,0,0,0,
7,CL Moore 6,2018-05-24,23.38,0,0,0,0,
8,CL Moore 6,2018-05-23,21.71,0,0,0,0,
9,CL Moore 6,2018-05-22,25.05,0,0,0,0,
10,CL Moore 6,2018-05-21,23.38,0,0,0,0,
11,CL Moore 6,2018-05-20,23.38,0,0,0,0,
12,CL Moore 6,2018-05-19,28.39,0,0,0,0,
13,CL Moore 6,2018-05-18,23.38,0,0,0,0,
14,CL Moore 6,2018-05-17,25.05,0,0,0,0,
15,CL Moore 6,2018-05-16,23.38,0,0,0,0,
16,CL Moore 6,2018-05-15,3.34,0,0,0,0,
17,CL Moore 6,2018-05-14,1.67,0,0,0,0,
18,CL Moore 6,2018-05-13,1.67,0,0,0,0,
19,CL Moore 6,2018-05-12,3.34,0,0,0,0,
20,CL Moore 6,2018-05-11,5.01,0,0,0,0,
21,CL Moore 6,2018-05-10,0.99,0,0,0,0,
22,CL Moore 6,2018-05-09,5.29,0,0,0,0,
23,CL Moore 6,2018-05-08,5.01,0,0,0,0,
24,CL Moore 6,2018-05-07,8.35,0,0,0,0,
25,CL Moore 6,2018-05-06,6.68,0,0,0,0,
26,CL Moore 6,2018-05-05,5.01,0,0,0,0,
27,CL Moore 6,2018-05-04,8.35,0,0,0,0,
28,CL Moore 6,2018-05-03,8.35,0,0,0,0,
29,CL Moore 6,2018-05-02,6.68,0,0,0,0,
30,CL Moore 6,2018-05-01,3.34,0,0,0,0,
0,CL Moore 6,2018-06-30,3.34,0,0,0,0,
1,CL Moore 6,2018-06-29,10.02,0,0,0,0,
2,CL Moore 6,2018-06-28,11.69,0,0,0,0,
3,CL Moore 6,2018-06-27,10.02,0,0,0,0,
4,CL Moore 6,2018-06-26,8.35,0,0,0,0,
5,CL Moore 6,2018-06-25,23.38,0,0,0,0,
6,CL Moore 6,2018-06-24,23.38,0,0,0,0,
7,CL Moore 6,2018-06-23,21.71,0,0,0,0,
8,CL Moore 6,2018-06-22,21.71,0,0,0,0,
9,CL Moore 6,2018-06-21,20.04,0,0,0,0,
10,CL Moore 6,2018-06-20,3.34,0,0,0,0,
11,CL Moore 6,2018-06-19,3.34,0,0,0,0,
12,CL Moore 6,2018-06-18,6.68,0,0,0,0,
13,CL Moore 6,2018-06-17,3.34,0,0,0,0,
14,CL Moore 6,2018-06-16,6.68,0,0,0,0,
15,CL Moore 6,2018-06-15,8.35,0,0,0,0,
16,CL Moore 6,2018-06-14,8.35,0,0,0,0,
17,CL Moore 6,2018-06-13,3.34,0,0,0,0,
18,CL Moore 6,2018-06-12,3.34,0,0,0,0,
19,CL Moore 6,2018-06-11,3.34,0,0,0,0,
20,CL Moore 6,2018-06-10,1.67,0,0,0,0,
21,CL Moore 6,2018-06-09,1.67,0,0,0,0,
22,CL Moore 6,2018-06-08,3.34,0,0,0,0,
23,CL Moore 6,2018-06-07,5.01,0,0,0,0,
24,CL Moore 6,2018-06-06,1.67,0,0,0,0,
25,CL Moore 6,2018-06-05,5.01,0,0,0,0,
26,CL Moore 6,2018-06-04,5.01,0,0,0,0,
27,CL Moore 6,2018-06-03,5.01,0,0,0,0,
28,CL Moore 6,2018-06-02,5.01,0,0,0,0,
29,CL Moore 6,2018-06-01,5.01,0,0,0,0,
0,CL Moore 6,2018-07-31,7.12,0,185,0,0,#5 in test
1,CL Moore 6,2018-07-30,5.01,0,190,0,0,# 6 in test
2,CL Moore 6,2018-07-29,5.01,0,210,0,0,#6 in test kimray on test heater bad replaced it
3,CL Moore 6,2018-07-28,8.35,0,207,0,0,6 in test
4,CL Moore 6,2018-07-27,11.69,0,289,0,0,#6 in test
5,CL Moore 6,2018-07-26,5.01,0,205,0,0,#6 in test
