,Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
0,CL Moore 6,2019-11-30,0.0,207,0.0,0,0,
1,CL Moore 8,2019-11-30,0.0,0,0.0,0,0,Well down
2,CL Moore 6,2019-11-29,0.0,212,1.67,0,0,
3,CL Moore 8,2019-11-29,0.0,0,0.0,0,0,Well down
4,CL Moore 6,2019-11-28,0.0,189,0.0,0,0,
5,CL Moore 8,2019-11-28,0.0,0,0.0,0,0,Well down
6,CL Moore 6,2019-11-27,0.0,211,0.0,0,0,
7,CL Moore 8,2019-11-27,0.0,0,0.0,0,0,Well down
8,CL Moore 6,2019-11-26,0.0,231,0.0,0,0,
9,CL Moore 8,2019-11-26,0.0,0,0.0,0,0,Well down
10,CL Moore 6,2019-11-25,0.0,244,2.0,0,0,
11,CL Moore 8,2019-11-25,0.0,0,0.0,0,0,Well down
12,CL Moore 6,2019-11-24,0.0,287,2.0,0,0,
13,CL Moore 8,2019-11-24,0.0,0,0.0,0,0,Well down
14,CL Moore 6,2019-11-23,0.0,263,4.0,0,0,
15,CL Moore 8,2019-11-23,0.0,0,0.0,0,0,Well down
16,CL Moore 6,2019-11-22,0.0,48,0.0,0,0,Rig on well
17,CL Moore 8,2019-11-22,0.0,0,0.0,0,0,Well down
18,CL Moore 6,2019-11-21,0.0,348,4.0,0,0,
19,CL Moore 8,2019-11-21,0.0,0,0.0,0,0,
20,CL Moore 6,2019-11-20,0.0,345,4.0,0,0,
21,CL Moore 8,2019-11-20,0.0,0,0.0,0,0,Well down
22,CL Moore 6,2019-11-19,0.0,349,4.0,0,0,
23,CL Moore 8,2019-11-19,0.0,0,0.0,0,0,Well down
24,CL Moore 6,2019-11-18,0.0,392,5.0,0,0,
25,CL Moore 8,2019-11-18,0.0,0,0.0,0,0,Well down
26,CL Moore 6,2019-11-17,0.0,390,4.0,0,0,
27,CL Moore 8,2019-11-17,0.0,0,0.0,0,0,Well down
28,CL Moore 6,2019-11-16,0.0,363,2.0,0,0,
29,CL Moore 8,2019-11-16,0.0,0,0.0,0,0,Well down
30,CL Moore 6,2019-11-15,1.16,353,1.16,0,0,
31,CL Moore 8,2019-11-15,0.0,0,0.0,0,0,Well down
32,CL Moore 6,2019-11-14,0.0,353,4.0,0,0,
33,CL Moore 8,2019-11-14,0.0,0,0.0,0,0,Well down
34,CL Moore 6,2019-11-13,0.0,383,4.0,0,0,
35,CL Moore 8,2019-11-13,0.0,0,0.0,0,0,Well down
36,CL Moore 6,2019-11-12,0.0,379,4.0,0,0,
37,CL Moore 8,2019-11-12,0.0,0,0.0,0,0,
38,CL Moore 6,2019-11-11,0.0,360,5.0,0,0,
39,CL Moore 8,2019-11-11,0.0,0,0.0,0,0,Well down
40,CL Moore 6,2019-11-10,0.0,357,5.0,0,0,
41,CL Moore 8,2019-11-10,0.0,0,0.0,0,0,Well down
42,CL Moore 6,2019-11-09,1.67,360,5.0,0,0,
43,CL Moore 8,2019-11-09,0.0,0,0.0,0,0,Well down
44,CL Moore 6,2019-11-08,0.0,378,5.0,0,0,
45,CL Moore 8,2019-11-08,0.0,0,0.0,0,0,Well down
46,CL Moore 6,2019-11-07,0.0,373,5.0,0,0,
47,CL Moore 8,2019-11-07,0.0,0,0.0,0,0,Well down
48,CL Moore 6,2019-11-06,0.0,374,0.0,0,0,
49,CL Moore 8,2019-11-06,0.0,0,0.0,0,0,Well down
50,CL Moore 6,2019-11-05,0.0,395,5.0,0,0,
51,CL Moore 8,2019-11-05,0.0,0,0.0,0,0,Well down
52,CL Moore 6,2019-11-04,0.0,418,5.0,0,0,
53,CL Moore 8,2019-11-04,0.0,0,0.0,0,0,Well down
54,CL Moore 6,2019-11-03,0.0,418,4.0,0,0,
55,CL Moore 8,2019-11-03,0.0,0,0.0,0,0,Well down
56,CL Moore 6,2019-11-02,0.0,425,4.0,0,0,
57,CL Moore 8,2019-11-02,0.0,0,0.0,0,0,
58,CL Moore 6,2019-11-01,0.0,420,4.0,0,0,
59,CL Moore 8,2019-11-01,0.0,0,0.0,0,0,Well down
