Well Name,Last Production,Days since 2025-06-04
Beck Unit #1,2025-06-04,0
Blair TXL #1,2025-06-04,0
Blair TXL #2,2025-06-04,0
Blair TXL #3,2025-05-30,5
Blair Txl #6,2025-06-04,0
Blair-Txl  #4,2020-05-01,1860
Brothers Horizon,2025-06-04,0
Brothers Horizon Unit 1,2025-06-04,0
Brumley,2025-06-04,0
Bullard,2025-06-04,0
Davis 3,2025-06-04,0
EE 12 #1,2025-05-30,5
East Lott,2022-08-01,1038
Edwards 12 #1,2025-05-31,4
Everett Unit #1,2025-06-04,0
Kim,2025-06-04,0
Koonsman 677,2025-06-04,0
LLB 15 #1,2025-06-04,0
Muleshoe Ranch #1,2025-06-04,0
North JUWF,2025-06-04,0
Slaughter B,2025-06-04,0
South JUWF,2025-06-04,0
