Well Name,Last Production,Days since 2025-05-05
Beal #1,2025-05-04,1
Benge Unit #1H,2025-05-04,1
Bradshaw #1,2025-05-04,1
Buchanan Unit #1,2025-04-22,13
CK #1,2025-05-04,1
Caldwell #1,2025-05-04,1
Carroll Unit #1,2025-05-04,1
Christopher #1,2021-06-19,1416
Coffman #1H,2025-05-04,1
Davis Ozelle Unit 1 H,2020-10-17,1661
Della #1,2025-05-02,3
Drake #1,2025-05-04,1
Drake #2,2025-05-04,1
Eva #1,2025-05-04,1
Feather Crest Farms #1,2025-04-21,14
Flora #1,2025-05-04,1
Floyd #1,2025-05-04,1
Harrison #1H,2025-05-04,1
Harrison #2H,2025-05-04,1
Hayes #1,2025-05-04,1
Hayes #2,2025-05-04,1
Herbich #1H,2025-05-04,1
Herbich #2H,2025-05-04,1
Isbell #1,2025-05-04,1
Jam #1,2025-05-04,1
Jones #1,2025-04-30,5
Joyce #1,2025-05-04,1
Kadav #1,2025-05-04,1
Kagg #1,2025-05-04,1
Kagg #2,2025-05-04,1
Kennedy #1,2025-05-04,1
Knotts-Yeager Unit #1,2025-05-04,1
Leon T-Bar-X Unit 1,2025-05-04,1
MT Unit #1H,2025-05-04,1
McDuffie Unit #1,2025-04-30,5
Mosley #1,2025-05-04,1
Murphey-Smith #1,2025-05-04,1
Myrtle #1,2025-05-04,1
Nevill #1,2025-05-04,1
Ortiz Unit #1,2025-04-29,6
Owen #1,2025-05-04,1
Peters #5,2025-04-23,12
Peters #6,2025-05-04,1
Peters #7,2025-05-04,1
Post Oak #1,2025-05-04,1
Post Oak #2,2025-05-04,1
RA #1,2025-05-04,1
RB Clary #1,2025-05-04,1
Ruen #1,2025-05-04,1
Ruen #2,2025-05-04,1
Ruen #3X,2025-05-04,1
Sandifer Unit #1,2025-05-04,1
Smith Georgette #1,2025-05-02,3
Soell #1,2024-12-27,129
Spiller T-Bar-X #1,2025-01-26,99
Sutton #1,2025-05-04,1
Sutton #2,2025-05-04,1
Sutton #3,2025-05-03,2
Timothy #1,2025-05-04,1
Urso #1,2025-01-29,96
WS #1,2025-05-04,1
Warren #1H,2025-05-04,1
Watson-Buck #1H,2025-05-04,1
Webb #1,2025-05-04,1
Wendel #1,2021-03-13,1514
White-Springer #1,2025-05-04,1
Wickson Unit #1,2024-04-27,373
Wiese #1H,2025-05-03,2
William #1,2025-05-04,1
Willie #1,2025-05-04,1
Wilson #1,2025-05-04,1
