Well Name,Last Production,Days since 2025-05-05
CL Moore 12,2025-04-02,33
Cl Moore #5,2017-09-19,2785
Dyer #10,2020-05-18,1813
Dyer 'D' #5,2025-03-03,63
JM Moore,2025-05-04,1
JM Moore #192,2025-05-04,1
Lottie #1,2025-05-04,1
Mueller #1,2024-10-31,186
Pratka #1,2025-05-04,1
