Well Name,Formation,API14,Well  Number,EUR,Oil [MBO],Gas [MMCF],Aug Oil [BBLS],Aug Gas [MCF],Date,Active
HEITZ #1,,4250733318.0,8045.002,,8.6,0.0,,,2018-04-20,False
HUBER #1,,4250732782.0,3850.016,,28.3,15.0,,,2011-04-07,False
J BEELER #1,GEORGETOWN,4250733335.0,8045.005,,266.2,280.0,491.6,21.0,2018-12-18,True
JESSICA #1,BUDA,4250733098.0,9455.001,,302.6,739.0,593.6,4103.0,2014-04-14,True
JIC #1,GEORGETOWN,4212738370.0,8925.002,,156.1,299.0,2019.9,20.0,2021-10-11,True
JIC BUDA #1,BUDA,4212738646.0,8925.009,,10.0,41.0,187.3,2286.0,2023-01-01,True
JJ #1,GEORGETOWN,4212736601.0,8045.004,,286.1,336.0,664.4,147.0,2019-06-06,True
JOE #1,AUSTIN CHALK,4250732766.0,3850.015,,259.6,71.0,55.0,0.0,2011-01-01,True
JOSEPH #1,GEORGETOWN,4250733321.0,9455.014,,10.8,0.0,50.8,0.0,2018-06-07,True
JRED #1,AC + BUDA,4212735917.0,5825.002,,36.5,2.0,232.6,0.0,2014-02-28,True
KAY #1,BUDA,4250733337.0,3855.016,,188.9,223.0,384.1,4054.0,2019-02-03,True
KILEY #1,GEORGETOWN,4250733317.0,9455.002,,226.2,383.0,855.7,317.0,2018-06-11,True
KINCAID #1,GEORGETOWN,4232333523.0,9425.001,,4.3,0.0,,,2020-01-13,False
KIRBY #1,BUDA,4250733257.0,3855.003,,21.2,400.0,,,2016-02-05,False
KLEIMANN #1,GEORGETOWN,4250733306.0,3855.015,,436.8,851.0,1888.4,2467.0,2018-03-03,True
KLEIMANN #3,GEORGETOWN,4250733364.0,3855.022,,28.7,0.0,0.0,0.0,2019-09-12,False
LA ROSITA #1,AUSTIN CHALK,4212733586.0,8650.001,,22.1,438.0,0.0,0.0,2008-11-01,False
LACKEY FIVE #1,BUDA,4250733370.0,3855.017,,125.1,95.0,415.5,1556.0,2019-11-26,True
LAMB #1,,4212738760.0,8925.007,,1.0,24.0,0.0,0.0,2023-08-21,False
LANDER #1,GEORGETOWN,4250733298.0,9455.012,,171.8,440.0,259.3,0.0,2017-09-20,True
LANSFORD #1,,4212733811.0,7450.006,,16.9,191.0,,,2011-01-19,False
LEARY TRUST #1,AUSTIN CHALK,4250732717.0,3850.011,,151.2,0.0,207.6,0.0,2008-04-06,True
LISA #1,,4250733019.0,9450.012,,28.8,2.0,,,2013-10-01,False
LITTLE 179 #1,AUSTIN CHALK,4212732836.0,6560.001,,119.1,84.0,2599.5,3768.0,2021-11-12,True
LOCHTE #1,BUDA,4212738367.0,9125.006,,37.8,118.0,551.7,1122.0,2021-04-09,True
LT #1,BUDA,4250733269.0,3855.007,,12.6,2.0,104.6,0.0,2016-12-25,True
MARGUERITE #1,AUSTIN CHALK,4250732863.0,4025.002,,86.1,34.0,50.4,0.0,2012-04-12,True
MARPICK #1,AUSTIN CHALK,4250732968.0,4025.004,,77.3,10.0,54.2,0.0,2013-05-23,True
MARRS #1,GEORGETOWN,4212738476.0,8925.005,,94.6,332.0,1368.7,3982.0,2022-05-25,True
MDB #1,AUSTIN CHALK,4250733386.0,3855.024,,88.4,14.0,601.7,521.0,2020-03-25,True
MOLAK #1,AUSTIN CHALK,4212733623.0,9750.001,,110.0,76.0,157.7,0.0,2009-08-29,True
MONTEMAYOR #1,AUSTIN CHALK,4212735209.0,3925.001,,26.1,2.0,0.0,0.0,2013-03-12,False
MORELAND #1,AUSTIN CHALK,4212733617.0,8350.009,,60.2,26.0,0.0,0.0,2009-08-10,False
PALM #1,GEORGETOWN,4250733331.0,3855.006,,181.4,1024.0,68.6,820.0,2018-08-29,True
