,id,name,type,capacity,multiplier,created_at,updated_at
897,32080,Circle T1 Water Remo,WATER,200,1.67,1612934677,1722972392
898,7023,CK 1 Water1,WATER,200,1.67,1449265104,1748345051
899,7083,CLARY RB #1-3,OIL/WATER,436,2.27,1449271052,1748345051
900,7084,Clary RB 1 Water 1,WATER,300,1.67,1449271052,1748345051
901,5190,Clayton 1 Water,WATER,200,1.67,1440782863,1721764914
902,15259,Clayton 1 Water remt,WATER,200,1.67,1522355410,1721764915
903,43276,CMMW1 Oil 2,OIL,400,1.67,1695049170,1748380716
904,43275,CMWW1 Oil 1,OIL,400,1.67,1695049170,1748380716
905,43277,CMWW1 Oil 3,OIL,400,1.67,1695049170,1748380716
906,43279,CMWW1 Water 1,WATER,400,1.67,1695049170,1748380716
907,43280,CMWW2 Oil 1,OIL,400,1.67,1695049335,1748380716
908,43281,CMWW2 Oil 2,OIL,400,1.67,1695049335,1748380716
909,43282,CMWW2 Oil 3,OIL,400,1.67,1695049335,1748380716
910,43283,CMWW2 Oil 4,OIL,400,1.67,1695049335,1748380716
911,43284,CMWW2 Water 1,WATER,400,1.67,1695049335,1748380716
912,7027,Coffman 1H Water 1,WATER,300,1.67,1449265374,1748345051
913,6773,Colvin 1 Oil 1,OIL/WATER,436,2.27,1449114982,1721764914
914,6774,Colvin 1 Oil 2,OIL/WATER,436,2.27,1449114982,1721764914
915,6775,Colvin 1 Water 1,WATER,210,1.16,1449114982,1721764914
916,6776,Colvin 1 Water 2,WATER,210,1.16,1449114982,1721764914
917,23913,Coranet SWD Remote,OIL/WATER,400,1.67,1571845518,1748379670
918,24544,Cornett SWD Skim,OIL,400,1.67,1575388872,1748295451
919,5146,Cornette 1 Water,WATER,210,1.17,1440779947,1722541365
920,32039,Cornette SWD Water 1,WATER,400,1.67,1612453558,1748295451
921,40900,Cornette SWD Water 2,WATER,400,1.67,1675459089,1748295451
922,40901,Cornette SWD Water 3,WATER,400,1.67,1675459089,1748295451
923,40902,Cornette SWD Water 4,WATER,400,1.67,1675459089,1748295451
924,40903,Cornette SWD Water 5,WATER,400,1.67,1675459089,1748295451
925,8289,Cp 24 F 2 SWD Water1,WATER,500,2.75,1461010044,1748314079
926,8290,Cp 24 F 2 SWD Water2,WATER,500,2.75,1461010044,1747347913
927,8288,Cp 24 Fd Com 1 Water,WATER,500,2.75,1461009931,1720555542
928,33498,CR 101 Oil 1,OIL,400,1.67,1623764071,1748368681
929,33499,CR 101 Oil 2,OIL,400,1.67,1623764071,1748368681
930,33500,CR 101 Oil 3,OIL,400,1.67,1623764071,1748368681
931,33501,CR 101 Oil 4,OIL,400,1.67,1623764071,1748368681
932,33502,CR 101 Water 1,WATER,400,1.67,1623764071,1748368681
933,29018,CR 201 OIl 1,OIL,400,1.67,1593524695,1748368681
934,29019,CR 201 Oil 2,OIL,400,1.67,1593524695,1748368681
935,29020,CR 201 Oil 3,OIL,400,1.67,1593524695,1748368681
936,29021,CR 201 Oil 4,OIL,400,1.67,1593524695,1748368681
937,29022,CR 201 Water,WATER,400,1.67,1593524695,1748368681
938,29023,CR 301 Oil 1,OIL,400,1.67,1593524782,1748368681
939,29024,CR 301 Oil 2,OIL,400,1.67,1593524782,1748368681
940,29025,CR 301 Oil 3,OIL,400,1.67,1593524782,1748368681
941,29026,CR 301 Oil 4,OIL,400,1.67,1593524782,1748368681
942,29027,CR 301 Water,WATER,400,1.67,1593524782,1748368681
943,30971,CR 302  Water 1,WATER,400,1.67,1610396932,1748368681
944,30968,CR 302 Oil 1,OIL,500,1.67,1610396932,1748368681
945,30969,CR 302 Oil 2,OIL,500,1.67,1610396932,1748368681
946,30970,CR 302 Oil 3,OIL,500,1.67,1610396932,1748368681
947,34351,CR 401 Oil 1,OIL,400,1.67,1633102121,1748368681
948,41276,CR 447 Oil 1,OIL,500,1.67,1677863620,1722974144
949,29460,CR 501 Oil 1,OIL,500,1.67,1597067304,1748368681
950,29929,CR 501 Oil 1 Remote,OIL,500,1.67,1604703666,1722972392
951,29461,CR 501 Oil 2,OIL,500,1.67,1597067304,1748368681
952,29930,CR 501 Oil 2 Remote,OIL,500,1.67,1604703666,1722972392
953,29462,CR 501 Oil 3,OIL,500,1.67,1597067304,1748368681
954,29931,CR 501 Oil 3 Remote,OIL,500,1.67,1604703666,1722972392
955,29463,CR 501 Oil 4,OIL,500,1.67,1597067304,1748368681
956,29932,CR 501 Oil 4 Remote,OIL,500,1.67,1604703666,1722972392
957,29464,CR 501 Water 1,WATER,400,1.67,1597067304,1748368681
958,29933,CR 501 Water 1 Remot,WATER,400,1.67,1604703666,1722972392
959,40874,CR 939 Oil Tank 1,OIL,436,2.27,1674493233,1748368681
960,40875,CR 939 Oil Tank 2,OIL,436,2.27,1674493233,1748368681
961,32101,CR Compressor Remote,OIL/WATER,400,1.67,1612991980,1722972393
962,30287,CR Compressor Statio,OIL/WATER,400,1.67,1608134609,1748368681
963,5176,Cross S 1 Water,WATER,200,1.67,1440782603,1748368681
964,22545,CT 1 Remote Water,WATER,400,1.67,1565639089,1734468634
965,22531,CT 1 Water 1,WATER,400,1.67,1565361162,1748375262
