Well Name,Loads,Type,Dayts to Fill,Tank,Equalized,As of
Aaron #1,1,OIL,31.91,"138168, 138169",2,2024-06-06 16:18:34
Aaron #1,1,WATER,1.63,Aaron 1 Water,,2024-06-06 16:18:34
Barrier #1,1,OIL,164.5,269719,,2024-06-06 16:31:49
Beeler #17,1,OIL,33.69,Beeler 17 H Oil,,2024-06-07 08:48:12
Beeler #17,1,WATER,50.53,Beeler 17 H Water,,2024-06-07 08:48:12
Bruce Weaver #2 Re,1,OIL,10.14,"Bruce Weaver 2 Oil 1, Bruce Weaver 2 Oil 2, Bruce Weaver 2 Oil 3",3,2024-06-07 08:48:12
Burns Ranch #2,1,OIL,29.08,BR2 Tank 2,,2024-06-06 16:31:48
CMWW #2,1,WATER,11.36,CMWW2 Water 1,,2024-06-06 16:31:47
CR #201,1,WATER,410.6,CR 201 Water,,2024-06-06 14:21:58
CR #939,1,OIL,19.74,"CR 939 Oil Tank 1, CR 939 Oil Tank 2",2,2024-06-06 14:21:58
Cannan #1,1,OIL,74.36,261004,,2024-06-06 14:21:59
Cannan #1,1,WATER,0.26,Cannan 1 Water,,2024-06-06 14:21:59
Carolpick #1,1,OIL,72.19,268919,,2024-06-06 18:38:02
Carolyn #1,1,OIL,75.64,"138142, 138141",2,2024-06-06 18:38:02
Carolyn #1,1,WATER,12.43,Carolyn Water,,2024-06-06 18:38:03
Chad #1,1,OIL,358.06,"138165, 138164",2,2024-06-06 18:38:03
Dial #1 ST,1,OIL,310.99,ST265609,,2024-06-06 16:18:35
Dixondale #1,2,OIL,2.91,"Dixondale Oil 1, Dixondale Oil 2, Dixondale Oil 3",3,2024-06-06 16:18:34
Drinkard #1,1,OIL,15.96,"Drinkard Oil 1, Drinkard Oil 2",2,2024-06-06 16:18:34
Evergreen #1,1,OIL,122.8,263287,,2024-06-06 14:22:00
Gil #1,1,WATER,-1.0,Gil 1 Water,,2024-06-06 14:21:59
Grissom #1,1,WATER,-1.0,Grissom 1 Water,,2024-06-06 14:22:00
J Beeler #1,2,OIL,38.85,"272214, 272215, 272216",3,2024-06-07 09:41:04
JJ #1,1,OIL,58.86,"272482, 272483, 272484",3,2024-06-07 09:41:04
Jessica #1,1,OIL,54.910000000000004,268925,,2024-06-06 18:38:04
Jred #1,1,OIL,148.38,269085,,2024-06-06 14:22:00
Jred #1,1,OIL,148.38,269068,,2024-06-06 14:22:00
Kiley #1,1,OIL,42.6,"271924, 271925",2,2024-06-06 18:38:04
Kiley #1,1,WATER,3.59,Kylie Water,,2024-06-06 18:38:04
Kleimann #1,1,OIL,18.11,"271784, 271785",2,2024-06-06 16:18:36
Little 179 #1,1,OIL,40.0,"Little 179 Oil 1, Little 179 Oil 2, Little 179 Oil 3, Little 179 Oil 4",4,2024-06-06 18:38:05
Lochte #1,1,WATER,316.16,Lochte 1 Water 1,,2024-06-06 14:21:59
MDB #1,1,OIL,46.870000000000005,MDB Oil 1,,2024-06-06 16:18:36
Marguerite #1,1,WATER,23.09,Marguerite 1 Water,,2024-06-06 18:38:05
Marrs #1,1,OIL,33.68000000000001,"Marrs Oil 1, Marrs Oil 2",2,2024-06-06 18:38:05
Marrs #1,1,WATER,7.5,Marrs Wtr 1,,2024-06-06 18:38:05
Molak #1,1,OIL,324.43,261132,,2024-06-06 16:31:48
Parkway #1,1,WATER,11.17,Parkway Water,,2024-06-06 16:18:32
Pickens Weaver #1,1,WATER,9.14,Pickens Water,,2024-06-06 18:38:05
RAB #1,2,OIL,26.6,"RAB 1 Oil 1, RAB 1 Oil 2, RAB 1 Oil 3, RAB 1 Oil 4",4,2024-06-06 18:38:06
RAB #2,2,OIL,15.04,"Rab 2 Oil 1, Rab 2 Oil 2, Rab 2 Oil 3, Rab 2 Oil 4",4,2024-06-06 18:38:02
RAB #3,1,OIL,34.42,"Rab 3 Oil 1, Rab 3 Oil 2",2,2024-06-06 18:38:02
RAB #3,1,WATER,5.35,Rab 3 Water,,2024-06-06 18:38:02
Solansky #1,1,OIL,37.92,263166,,2024-06-06 14:21:59
Thompson #2,1,OIL,145.19,261025,,2024-06-06 16:18:34
VRE Minerals #1,1,WATER,-1.0,VRE Minerals 1 Wtr 1,,2024-06-06 14:21:59
