Well Name,Loads,Type,Dayts to Fill,Tank,Equalized,As of
Aaron #1,1,OIL,33.57,"138168, 138169",2,2024-06-09 16:16:58
Balfour #1,1,OIL,47.21,"Balfour Oil 1, Balfour Oil 2",2,2024-06-09 16:17:01
Barrier #1,1,OIL,160.26999999999998,269719,,2024-06-09 16:52:01
Beeler #16 RE,1,OIL,3.26,"600702, 600703",2,2024-06-09 08:56:05
Beeler #17,1,OIL,38.84,Beeler 17 H Oil,,2024-06-09 08:56:05
Beeler #17,1,WATER,47.75,Beeler 17 H Water,,2024-06-09 08:56:05
Big Sonny #1,1,WATER,7.75,Big Sonny Water,,2024-06-09 16:52:04
Blas Reyes #1,1,OIL,1173.1100000000001,269245,,2024-06-09 16:52:03
Bruce Weaver #2 Re,2,OIL,7.800000000000001,"Bruce Weaver 2 Oil 1, Bruce Weaver 2 Oil 2, Bruce Weaver 2 Oil 3",3,2024-06-10 08:04:07
CMWW #2,3,OIL,2.15,"CMWW2 Oil 1, CMWW2 Oil 2",2,2024-06-09 16:52:00
CR #201,1,OIL,53.769999999999996,CR 201 OIl 1,,2024-06-09 14:57:14
CR #201,1,WATER,410.6,CR 201 Water,,2024-06-09 14:57:15
CR #302,1,OIL,71.97999999999999,CR 302 Oil 1,,2024-06-09 14:57:15
CR #939,1,OIL,16.74,"CR 939 Oil Tank 1, CR 939 Oil Tank 2",2,2024-06-09 14:57:15
Cannan #1,1,OIL,72.47999999999999,261004,,2024-06-09 14:57:14
Carolyn #1,1,OIL,89.50999999999999,"138142, 138141",2,2024-06-09 15:40:30
Chad #1,1,OIL,360.01,"138165, 138164",2,2024-06-09 13:39:25
Dial #1 ST,1,OIL,340.32000000000005,ST265609,,2024-06-09 16:16:59
Dixondale #1,1,OIL,3.7800000000000002,"Dixondale Oil 1, Dixondale Oil 2, Dixondale Oil 3",3,2024-06-09 16:17:01
Dixondale #1,1,WATER,37.29,Dixondale Water 1,,2024-06-09 16:17:01
Evergreen #1,1,OIL,123.65,263287,,2024-06-09 14:57:16
Gail #1,1,WATER,18.84,Gail Water,,2024-06-09 13:39:26
Gail #1,1,OIL,104.63,271246,,2024-06-09 13:39:26
Gil #1,1,OIL,326.35,262047,,2024-06-09 14:57:14
Gil #1,1,WATER,-1.0,Gil 1 Water,,2024-06-09 14:57:14
Grissom #1,1,WATER,-1.0,Grissom 1 Water,,2024-06-09 14:57:15
J Beeler #1,1,OIL,40.69,"272214, 272215, 272216",3,2024-06-10 08:28:31
J Beeler #1,1,WATER,1.93,J Beeler Water 1,,2024-06-10 08:28:31
JJ #1,1,WATER,1.88,JJ 1 Water 1,,2024-06-10 08:28:31
Jessica #1,1,OIL,55.43000000000001,268925,,2024-06-09 13:39:27
Jred #1,1,OIL,162.85,269085,,2024-06-09 14:57:15
Jred #1,1,OIL,162.85,269068,,2024-06-09 14:57:15
Kleimann #1,1,OIL,17.25,"271784, 271785",2,2024-06-09 16:17:02
Lander #1,1,WATER,1.99,Landers Water,,2024-06-09 13:39:26
Little 179 #1,1,OIL,40.24,"Little 179 Oil 1, Little 179 Oil 2, Little 179 Oil 3, Little 179 Oil 4",4,2024-06-09 15:30:54
Lochte #1,1,OIL,79.53999999999999,Lochte 1 Oil 1,,2024-06-09 14:57:14
Lochte #1,1,WATER,306.61,Lochte 1 Water 1,,2024-06-09 14:57:14
Marguerite #1,1,WATER,18.54,Marguerite 1 Water,,2024-06-09 13:39:27
Marrs #1,1,OIL,34.72,"Marrs Oil 1, Marrs Oil 2",2,2024-06-09 15:30:54
Pfeiffer #1,1,OIL,166.57,269057,,2024-06-09 16:16:58
Pfeiffer-Byrd #1,1,OIL,6.75,"Pfeiffer Byrd Oil 1, Pfeiffer Byrd Oil 2, Pfeiffer Byrd Oil 3",3,2024-06-09 16:16:58
Pfeiffer-Byrd #1,1,WATER,22.65,Pfeiffer Byrd Water1,,2024-06-09 16:16:58
RAB #1,1,OIL,29.08,"RAB 1 Oil 1, RAB 1 Oil 2, RAB 1 Oil 3, RAB 1 Oil 4",4,2024-06-09 13:39:27
RAB #1,1,WATER,1.56,RAB 1 Water 1,,2024-06-09 13:39:27
RAB #2,2,OIL,15.2,"Rab 2 Oil 1, Rab 2 Oil 2, Rab 2 Oil 3, Rab 2 Oil 4",4,2024-06-09 13:39:28
RAB #3,1,WATER,4.48,Rab 3 Water,,2024-06-09 13:39:28
Richardson #1,1,OIL,35.46,263175,,2024-06-09 16:52:02
Sansom #1,1,WATER,42.38,Sansom Water 1,,2024-06-09 16:17:01
VRE Minerals #1,1,WATER,-1.0,VRE Minerals 1 Wtr 1,,2024-06-09 14:57:16
Whittington #1,1,OIL,544.99,271940,,2024-06-09 16:17:01
