Well Name,Loads,Type,Dayts to Fill,Tank,Equalized,As of
Aaron #1,1,OIL,34.43000000000001,"138168, 138169",2,2024-06-04 16:05:19
Balfour #1,1,WATER,15.6,Balfour Water 1,,2024-06-04 16:05:19
Barrier #1,1,OIL,166.38,269719,,2024-06-04 17:07:42
Beeler #16 RE,2,OIL,2.14,"600702, 600703",2,2024-06-04 19:44:51
Beeler #17,1,WATER,53.82,Beeler 17 H Water,,2024-06-04 19:44:52
Beeler Ranch #1,1,WATER,4.02,Beeler 1H Water 1,,2024-06-04 16:05:22
Bruce Weaver #2 Re,3,OIL,6.27,"Bruce Weaver 2 Oil 1, Bruce Weaver 2 Oil 2, Bruce Weaver 2 Oil 3",3,2024-06-04 19:44:52
Bruce Weaver #2 Re,1,WATER,1.93,Bruce Weaver 2 Water,,2024-06-04 19:44:52
CMWW #1,1,OIL,17.25,CMWW1 Oil 1,,2024-06-04 17:07:41
CMWW #1,1,WATER,9.95,CMWW1 Water 1,,2024-06-04 17:07:41
CR #201,1,WATER,410.6,CR 201 Water,,2024-06-04 15:43:30
CR #301,1,WATER,175.98,CR 301 Water,,2024-06-04 15:43:30
CR #939,1,OIL,16.24,"CR 939 Oil Tank 1, CR 939 Oil Tank 2",2,2024-06-04 15:43:30
Carolpick #1,1,OIL,72.14,268919,,2024-06-04 19:44:52
Carolyn #1,1,OIL,69.15,"138142, 138141",2,2024-06-04 19:44:52
Carolyn #1,1,WATER,10.89,Carolyn Water,,2024-06-04 19:44:52
Chad #1,1,OIL,351.62,"138165, 138164",2,2024-06-04 19:44:53
Cross S #1,1,OIL,91.61,264110,,2024-06-04 15:43:31
Evergreen #1,1,OIL,113.67,263287,,2024-06-04 15:43:31
Fatheree #1,1,OIL,14.88,"Fatheree 1 Oil 1, Fatheree 1 Oil 2",2,2024-06-04 19:44:53
Gil #1,1,OIL,277.4,262046,,2024-06-04 15:43:31
Gil #1,1,WATER,-1.0,Gil 1 Water,,2024-06-04 15:43:31
Grissom #1,1,WATER,-1.0,Grissom 1 Water,,2024-06-04 15:43:32
J Beeler #1,1,OIL,41.980000000000004,"272214, 272215, 272216",3,2024-06-04 19:44:53
J Beeler #1,1,WATER,1.47,J Beeler Water 1,,2024-06-04 19:44:53
JJ #1,1,OIL,64.89,"272482, 272483, 272484",3,2024-06-04 19:44:53
JJ #1,1,WATER,1.81,JJ 1 Water 1,,2024-06-04 19:44:53
Jessica #1,1,OIL,55.919999999999995,268925,,2024-06-04 19:44:53
Jred #1,1,OIL,141.61,269085,,2024-06-04 15:43:31
Jred #1,1,OIL,141.61,269068,,2024-06-04 15:43:31
Kay #1,1,OIL,46.77,272285,,2024-06-04 16:05:24
Kiley #1,1,OIL,48.459999999999994,"271924, 271925",2,2024-06-04 19:44:54
Kleimann #1,1,OIL,20.69,"271784, 271785",2,2024-06-04 16:05:24
La Rosita #1 RE,1,WATER,3.25,La Rosita 1 Water,,2024-06-04 17:07:43
Lackey Five #1,1,OIL,83.14000000000001,Lackey 5 Oil 1,,2024-06-04 16:05:23
Little 179 #1,1,OIL,42.16,"Little 179 Oil 1, Little 179 Oil 2, Little 179 Oil 3, Little 179 Oil 4",4,2024-06-04 19:44:54
Lochte #1,1,WATER,325.0,Lochte 1 Water 1,,2024-06-04 15:43:31
Marrs #1,1,OIL,34.379999999999995,"Marrs Oil 1, Marrs Oil 2",2,2024-06-04 19:44:54
Molak #1,1,OIL,330.45,261132,,2024-06-04 17:07:41
Parkway #1,1,OIL,24.7,"271277, 271278",2,2024-06-04 16:05:20
Parkway #1,1,WATER,11.95,Parkway Water,,2024-06-04 16:05:20
Pickens Weaver #1,1,WATER,10.8,Pickens Water,,2024-06-04 19:44:55
Pickwill #1,1,OIL,75.83,"264629, 264630",2,2024-06-04 19:44:55
RAB #1,1,OIL,32.4,"RAB 1 Oil 1, RAB 1 Oil 2, RAB 1 Oil 3, RAB 1 Oil 4",4,2024-06-04 19:44:55
RAB #1,1,WATER,1.7,RAB 1 Water 1,,2024-06-04 19:44:55
RAB #2,1,OIL,18.6,"Rab 2 Oil 1, Rab 2 Oil 2, Rab 2 Oil 3, Rab 2 Oil 4",4,2024-06-04 19:44:55
RAB #2,1,WATER,57.41,Rab 2 Water,,2024-06-04 19:44:55
RAB #3,1,OIL,37.03,"Rab 3 Oil 1, Rab 3 Oil 2",2,2024-06-04 19:44:56
RAB #3,1,WATER,4.51,Rab 3 Water,,2024-06-04 19:44:55
Richardson #1,1,OIL,34.769999999999996,263175,,2024-06-04 17:07:43
Ronald #1,1,WATER,3.5,Ronald Water,,2024-06-04 16:05:22
Sansom #1,1,OIL,105.5,Sansom Oil 1,,2024-06-04 16:05:19
Solansky #1,1,OIL,40.129999999999995,263166,,2024-06-04 15:43:30
VRE Minerals #1,1,WATER,-1.0,VRE Minerals 1 Wtr 1,,2024-06-04 15:43:30
