Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),MTD Oil,MTD Gas,MTD Water,TP,CP,Comments
CL Moore 12,0,0,0,0.0,0.0,0.0,25.0,25.0,Well dn
Dyer 'D' #5,0,0,0,0.0,0.0,0.0,1250.0,0.0,S.I.
JM Moore,58,0,951,970.0,0.0,26137.0,50.0,50.0,192: C.t. 178: S.I.
Lottie #1,7,0,140,172.0,0.0,3196.0,50.0,50.0,C.t.
Mueller #1,0,0,0,0.0,0.0,0.0,1600.0,0.0,S.I.
Pratka #1,2,19,2,47.0,423.0,60.0,750.0,0.0,
Total,67,19,1093, , , , , , 
