well,id,run_ticket_number,date,date_string,updated_at,type,total
Blackmon #1,1960587,,1703224800,2023-12-22,1703224800,OIL,80.16
Blackmon #1,1959549,,1703138400,2023-12-21,1703138400,OIL,88.51
Blackmon #1,1947463,2837681,1702101600,2023-12-09,1702101600,OIL,191.0
Bruce Weaver #1,1965880,014153,1703743200,2023-12-28,1703743200,WATER,100.0
Bruce Weaver #2 Re,1974542,2942131,1704520800,2024-01-06,1704520800,OIL,190.0
Bruce Weaver #2 Re,1974540,2942141,1704520800,2024-01-06,1704520800,OIL,180.0
Bruce Weaver #2 Re,1974541,,1704520800,2024-01-06,1704520800,OIL,59.02
Bruce Weaver #2 Re,1974060,2939491,1704434400,2024-01-05,1704434400,OIL,190.0
Bruce Weaver #2 Re,1974058,,1704434400,2024-01-05,1704434400,OIL,20.43
Bruce Weaver #2 Re,1974057,,1704434400,2024-01-05,1704434400,OIL,20.43
Bruce Weaver #2 Re,1973163,2932811,1704348000,2024-01-04,1704348000,OIL,192.0
Bruce Weaver #2 Re,1972274,2913511,1704261600,2024-01-03,1704261600,OIL,191.0
Bruce Weaver #2 Re,1972275,,1704261600,2024-01-03,1704261600,OIL,172.52
Bruce Weaver #2 Re,1972270,,1704261600,2024-01-03,1704261600,OIL,172.52
Bruce Weaver #2 Re,1972276,013158,1704261600,2024-01-03,1704261600,WATER,130.0
Bruce Weaver #2 Re,1970886,2917841,1704175200,2024-01-02,1704175200,OIL,190.0
Bruce Weaver #2 Re,1969833,2913541,1704088800,2024-01-01,1704088800,OIL,189.0
Bruce Weaver #2 Re,1969835,014109,1704088800,2024-01-01,1704088800,WATER,130.0
Bruce Weaver #2 Re,1968765,2910131,1704002400,2023-12-31,1704002400,OIL,182.0
Bruce Weaver #2 Re,1968766,013991,1704002400,2023-12-31,1704002400,WATER,130.0
Bruce Weaver #2 Re,1967025,2913521,1703829600,2023-12-29,1703829600,OIL,180.0
Bruce Weaver #2 Re,1967027,2913531,1703829600,2023-12-29,1703829600,OIL,180.0
Bruce Weaver #2 Re,1967026,,1703829600,2023-12-29,1703829600,OIL,63.56
Bruce Weaver #2 Re,1963241,2905821,1703484000,2023-12-25,1703484000,OIL,188.0
Bruce Weaver #2 Re,1963243,,1703484000,2023-12-25,1703484000,OIL,56.75
Bruce Weaver #2 Re,1963242,,1703484000,2023-12-25,1703484000,OIL,56.75
Bruce Weaver #2 Re,1962048,2905831,1703397600,2023-12-24,1703397600,OIL,192.0
Bruce Weaver #2 Re,1962047,014942,1703397600,2023-12-24,1703397600,WATER,130.0
Bruce Weaver #2 Re,1961194,2897831,1703311200,2023-12-23,1703311200,OIL,183.0
Bruce Weaver #2 Re,1960088,2886621,1703224800,2023-12-22,1703224800,OIL,190.0
Bruce Weaver #2 Re,1960090,2894461,1703224800,2023-12-22,1703224800,OIL,185.0
Bruce Weaver #2 Re,1960089,,1703224800,2023-12-22,1703224800,OIL,24.97
Bruce Weaver #2 Re,1958948,014927,1703138400,2023-12-21,1703138400,WATER,130.0
Bruce Weaver #2 Re,1957876,2889901,1703052000,2023-12-20,1703052000,OIL,182.0
Bruce Weaver #2 Re,1957877,2889911,1703052000,2023-12-20,1703052000,OIL,181.0
Bruce Weaver #2 Re,1957875,,1703052000,2023-12-20,1703052000,OIL,81.72
Bruce Weaver #2 Re,1957874,014970,1703052000,2023-12-20,1703052000,WATER,130.0
Bruce Weaver #2 Re,1956759,2886601,1702965600,2023-12-19,1702965600,OIL,190.0
Bruce Weaver #2 Re,1956760,,1702965600,2023-12-19,1702965600,OIL,31.78
Bruce Weaver #2 Re,1956758,,1702965600,2023-12-19,1702965600,OIL,31.78
Bruce Weaver #2 Re,1955982,2886611,1702879200,2023-12-18,1702879200,OIL,185.2
Bruce Weaver #2 Re,1955259,014265,1702792800,2023-12-17,1702792800,WATER,120.0
Bruce Weaver #2 Re,1954254,2879471,1702706400,2023-12-16,1702706400,OIL,190.0
Bruce Weaver #2 Re,1954255,,1702706400,2023-12-16,1702706400,OIL,34.05
Bruce Weaver #2 Re,1954252,,1702706400,2023-12-16,1702706400,OIL,34.05
Bruce Weaver #2 Re,1952817,2877301,1702620000,2023-12-15,1702620000,OIL,186.0
Bruce Weaver #2 Re,1951792,2875001,1702533600,2023-12-14,1702533600,OIL,192.0
Bruce Weaver #2 Re,1950786,2871111,1702447200,2023-12-13,1702447200,OIL,190.0
Bruce Weaver #2 Re,1950787,2871121,1702447200,2023-12-13,1702447200,OIL,170.0
Bruce Weaver #2 Re,1950788,,1702447200,2023-12-13,1702447200,OIL,34.05
Bruce Weaver #2 Re,1950785,014897,1702447200,2023-12-13,1702447200,WATER,125.0
Bruce Weaver #2 Re,1948315,2859781,1702274400,2023-12-11,1702274400,OIL,184.0
Bruce Weaver #2 Re,1948313,2868051,1702274400,2023-12-11,1702274400,OIL,190.0
Bruce Weaver #2 Re,1948314,,1702274400,2023-12-11,1702274400,OIL,27.24
Bruce Weaver #2 Re,1946779,2859771,1702101600,2023-12-09,1702101600,OIL,185.0
Bruce Weaver #2 Re,1946780,,1702101600,2023-12-09,1702101600,OIL,97.61
Bruce Weaver #2 Re,1946776,,1702101600,2023-12-09,1702101600,OIL,97.61
Bruce Weaver #2 Re,1945720,2859751,1702015200,2023-12-08,1702015200,OIL,188.0
Bruce Weaver #2 Re,1945716,,1702015200,2023-12-08,1702015200,OIL,133.93
Bruce Weaver #2 Re,1945722,,1702015200,2023-12-08,1702015200,OIL,133.93
Bruce Weaver #2 Re,1945721,12275,1702015200,2023-12-08,1702015200,WATER,130.0
Bruce Weaver #2 Re,1944923,2840441,1701928800,2023-12-07,1701928800,OIL,190.0
Bruce Weaver #2 Re,1944698,,1701928800,2023-12-07,1701928800,OIL,43.13
Bruce Weaver #2 Re,1944697,,1701928800,2023-12-07,1701928800,OIL,43.13
Burns Ranch #2,1974452,2932831,1704434400,2024-01-05,1704434400,OIL,185.0
Burns Ranch #2,1973431,013751,1704261600,2024-01-03,1704261600,WATER,130.0
Burns Ranch #2,1968311,2903451,1703829600,2023-12-29,1703829600,OIL,192.9
Burns Ranch #2,1961540,2897841,1703224800,2023-12-22,1703224800,OIL,183.0
Burns Ranch #2,1960638,2894471,1703138400,2023-12-21,1703138400,OIL,190.0
Burns Ranch #2,1958419,2886641,1702965600,2023-12-19,1702965600,OIL,190.5
Burns Ranch #2,1953249,014253,1702620000,2023-12-15,1702620000,WATER,120.0
Burns Ranch #2,1953248,2876901,1702533600,2023-12-14,1702533600,OIL,151.0
Burns Ranch #2,1950179,2871131,1702360800,2023-12-12,1702360800,OIL,188.2
Burns Ranch #2,1948533,2868061,1702274400,2023-12-11,1702274400,OIL,190.1
Burns Ranch #2,1948532,2865751,1702188000,2023-12-10,1702188000,OIL,175.7
Burns Ranch #2,1947512,6699,1702101600,2023-12-09,1702101600,WATER,130.0
Burns Ranch #2,1945814,2856691,1701928800,2023-12-07,1701928800,OIL,190.2
Burns Ranch #2,1944670,2853601,1701842400,2023-12-06,1701842400,OIL,186.2
CMWW #1,1973610,,1704434400,2024-01-05,1704434400,OIL,86.84
CMWW #1,1973608,,1704434400,2024-01-05,1704434400,OIL,86.84
CMWW #1,1973607,2932851,1704348000,2024-01-04,1704348000,OIL,192.9
CMWW #1,1973609,013170,1704348000,2024-01-04,1704348000,WATER,130.0
CMWW #1,1971293,,1704175200,2024-01-02,1704175200,OIL,30.06
CMWW #1,1971294,,1704175200,2024-01-02,1704175200,OIL,30.06
CMWW #1,1971295,2922381,1704088800,2024-01-01,1704088800,OIL,180.0
CMWW #1,1970224,014110,1704002400,2023-12-31,1704002400,WATER,130.0
CMWW #1,1967000,,1703829600,2023-12-29,1703829600,OIL,38.41
CMWW #1,1966998,,1703829600,2023-12-29,1703829600,OIL,38.41
CMWW #1,1966999,2913601,1703743200,2023-12-28,1703743200,OIL,190.5
CMWW #1,1965821,014170,1703656800,2023-12-27,1703656800,WATER,65.0
CMWW #1,1963984,2910171,1703570400,2023-12-26,1703570400,OIL,190.3
CMWW #1,1963981,,1703570400,2023-12-26,1703570400,OIL,26.72
CMWW #1,1963982,,1703570400,2023-12-26,1703570400,OIL,26.72
CMWW #1,1964500,014163,1703570400,2023-12-26,1703570400,WATER,20.0
CMWW #1,1962824,2908091,1703484000,2023-12-25,1703484000,OIL,185.2
CMWW #1,1962825,,1703484000,2023-12-25,1703484000,OIL,35.07
CMWW #1,1962826,,1703484000,2023-12-25,1703484000,OIL,35.07
CMWW #1,1963983,014158,1703484000,2023-12-25,1703484000,WATER,100.0
CMWW #1,1962417,014989,1703311200,2023-12-23,1703311200,WATER,60.0
CMWW #1,1961535,2900531,1703224800,2023-12-22,1703224800,OIL,190.0
CMWW #1,1961536,014984,1703224800,2023-12-22,1703224800,WATER,120.0
CMWW #1,1960632,2897861,1703138400,2023-12-21,1703138400,OIL,190.0
CMWW #1,1960633,014287,1703138400,2023-12-21,1703138400,WATER,130.0
CMWW #1,1958868,2894481,1703052000,2023-12-20,1703052000,OIL,190.0
CMWW #1,1958867,014285,1703052000,2023-12-20,1703052000,WATER,130.0
CMWW #1,1957801,2889931,1702965600,2023-12-19,1702965600,OIL,190.6
CMWW #1,1955727,,1702879200,2023-12-18,1702879200,OIL,70.14
CMWW #1,1955722,,1702879200,2023-12-18,1702879200,OIL,170.34
CMWW #1,1956660,014270,1702879200,2023-12-18,1702879200,WATER,30.0
CMWW #1,1955726,2884451,1702792800,2023-12-17,1702792800,OIL,191.4
CMWW #1,1954717,,1702792800,2023-12-17,1702792800,OIL,143.62
CMWW #1,1954712,,1702792800,2023-12-17,1702792800,OIL,40.08
CMWW #1,1955724,014915,1702792800,2023-12-17,1702792800,WATER,120.0
CMWW #1,1954716,2882151,1702706400,2023-12-16,1702706400,OIL,182.5
CMWW #1,1954714,014958,1702706400,2023-12-16,1702706400,WATER,80.0
CMWW #1,1954160,014905,1702620000,2023-12-15,1702620000,WATER,120.0
CMWW #1,1952222,2875021,1702447200,2023-12-13,1702447200,OIL,185.0
CMWW #1,1951324,12292,1702360800,2023-12-12,1702360800,WATER,130.0
CMWW #1,1948033,,1702274400,2023-12-11,1702274400,OIL,30.06
CMWW #1,1948035,,1702274400,2023-12-11,1702274400,OIL,30.06
CMWW #1,1950177,12289,1702274400,2023-12-11,1702274400,WATER,130.0
CMWW #1,1948034,2865771,1702188000,2023-12-10,1702188000,OIL,190.6
CMWW #1,1947068,,1702188000,2023-12-10,1702188000,OIL,20.04
CMWW #1,1947067,,1702188000,2023-12-10,1702188000,OIL,20.04
CMWW #1,1948036,014891,1702188000,2023-12-10,1702188000,WATER,130.0
CMWW #1,1947070,2863761,1702101600,2023-12-09,1702101600,OIL,178.0
CMWW #1,1947066,014877,1702101600,2023-12-09,1702101600,WATER,80.0
CMWW #1,1946231,2859831,1702015200,2023-12-08,1702015200,OIL,190.1
CMWW #1,1946232,6693,1702015200,2023-12-08,1702015200,WATER,130.0
CMWW #1,1945262,2856701,1701928800,2023-12-07,1701928800,OIL,190.4
CMWW #1,1945264,014864,1701928800,2023-12-07,1701928800,WATER,120.0
CMWW #1,1944007,,1701928800,2023-12-07,1701928800,OIL,60.12
CMWW #1,1944005,2853621,1701842400,2023-12-06,1701842400,OIL,185.4
CMWW #2,1974451,2936881,1704520800,2024-01-06,1704520800,OIL,188.2
CMWW #2,1973612,2932861,1704434400,2024-01-05,1704434400,OIL,190.4
CMWW #2,1973615,,1704434400,2024-01-05,1704434400,OIL,16.7
CMWW #2,1973613,,1704434400,2024-01-05,1704434400,OIL,16.7
CMWW #2,1973614,,1704434400,2024-01-05,1704434400,OIL,16.7
CMWW #2,1972638,,1704348000,2024-01-04,1704348000,OIL,36.74
CMWW #2,1972642,,1704348000,2024-01-04,1704348000,OIL,36.74
CMWW #2,1972637,,1704348000,2024-01-04,1704348000,OIL,36.74
CMWW #2,1972641,2927361,1704261600,2024-01-03,1704261600,OIL,190.1
CMWW #2,1971728,2925501,1704175200,2024-01-02,1704175200,OIL,191.3
CMWW #2,1970219,,1704088800,2024-01-01,1704088800,OIL,45.09
CMWW #2,1970221,,1704088800,2024-01-01,1704088800,OIL,45.09
CMWW #2,1970220,,1704088800,2024-01-01,1704088800,OIL,45.09
CMWW #2,1971296,2927371,1704088800,2024-01-01,1704088800,OIL,180.0
CMWW #2,1970223,2925491,1704088800,2024-01-01,1704088800,OIL,190.0
CMWW #2,1969247,2923601,1703916000,2023-12-30,1703916000,OIL,190.0
CMWW #2,1967976,2917891,1703829600,2023-12-29,1703829600,OIL,190.1
CMWW #2,1967001,,1703829600,2023-12-29,1703829600,OIL,41.75
CMWW #2,1967002,,1703829600,2023-12-29,1703829600,OIL,41.75
CMWW #2,1967003,,1703829600,2023-12-29,1703829600,OIL,41.75
CMWW #2,1967006,2908111,1703743200,2023-12-28,1703743200,OIL,191.4
CMWW #2,1964501,,1703656800,2023-12-27,1703656800,OIL,61.79
CMWW #2,1964503,,1703656800,2023-12-27,1703656800,OIL,61.79
CMWW #2,1964507,,1703656800,2023-12-27,1703656800,OIL,61.79
CMWW #2,1964506,2910201,1703570400,2023-12-26,1703570400,OIL,190.0
CMWW #2,1964502,014163,1703570400,2023-12-26,1703570400,WATER,100.0
CMWW #2,1963986,2908101,1703484000,2023-12-25,1703484000,OIL,188.3
CMWW #2,1962832,,1703484000,2023-12-25,1703484000,OIL,76.82
CMWW #2,1962827,,1703484000,2023-12-25,1703484000,OIL,76.82
CMWW #2,1962831,,1703484000,2023-12-25,1703484000,OIL,76.82
CMWW #2,1962830,2905861,1703397600,2023-12-24,1703397600,OIL,182.4
CMWW #2,1962410,,1703397600,2023-12-24,1703397600,OIL,71.81
CMWW #2,1962415,,1703397600,2023-12-24,1703397600,OIL,71.81
CMWW #2,1962416,,1703397600,2023-12-24,1703397600,OIL,71.81
CMWW #2,1962414,2903481,1703311200,2023-12-23,1703311200,OIL,190.0
CMWW #2,1961538,2900551,1703224800,2023-12-22,1703224800,OIL,190.0
CMWW #2,1960637,2897881,1703138400,2023-12-21,1703138400,OIL,184.0
CMWW #2,1960634,014982,1703138400,2023-12-21,1703138400,WATER,130.0
CMWW #2,1958870,2894491,1703052000,2023-12-20,1703052000,OIL,184.0
CMWW #2,1957802,,1703052000,2023-12-20,1703052000,OIL,136.94
CMWW #2,1957803,,1703052000,2023-12-20,1703052000,OIL,136.94
CMWW #2,1957810,,1703052000,2023-12-20,1703052000,OIL,136.94
CMWW #2,1957809,2884481,1702965600,2023-12-19,1702965600,OIL,186.2
CMWW #2,1956663,2886671,1702879200,2023-12-18,1702879200,OIL,192.9
CMWW #2,1956664,014270,1702879200,2023-12-18,1702879200,WATER,100.0
CMWW #2,1955729,2884491,1702792800,2023-12-17,1702792800,OIL,192.9
