API14,Well Name
4216933914,"DAVIS ""44"" #1"
4216933806,JOHN UNIT WATERFLOOD #27
4216933708,LOTT-DAVIS #1
4216933675,KIM #5
4216933634,EAST LOTT #3X
4216933624,"KOONSMAN ""5"" #1"
4216933615,EAST LOTT #2
4216933601,JOHN UNIT WATERFLOOD #21S
4216933600,BROTHERS HORIZON #6
4216933579,JOHN UNIT WATERFLOOD #24
4216933577,KIM #3
4216933565,"SLAUGHTER ""B"" #5X"
4216933562,JOHN UNIT WATERFLOOD #22
4216933559,JOHN UNIT WATERFLOOD #23
4216933557,KIM #2
4216933554,JOHN UNIT WATERFLOOD #19
4216933553,JOHN UNIT WATERFLOOD #20
4216933550,"SLAUGHTER ""B"" #2"
4216933544,"SLAUGHTER ""B"" #1"
4216933542,"JOHN ""B"" #1"
4216933540,KIM #1
4216933538,EAST LOTT #1
4216933528,JOHN UNIT WATERFLOOD #17
4216933523,JOHN UNIT WATERFLOOD #18
4216933521,BROTHERS-HORIZON UNIT #1
4216933519,JOHN UNIT WATERFLOOD #10
4216933518,JOHN UNIT WATERFLOOD #16
4216933512,JOHN UNIT WATERFLOOD #9
4216933511,PLK #3105
4216933509,BROTHERS HORIZON #4
4216933508,JOHN UNIT WATERFLOOD #11
4216933507,BROTHERS HORIZON #3
4216933505,BROTHERS HORIZON #2
4216933502,JOHN UNIT WATERFLOOD #8
4216933501,BROTHERS HORIZON #1
4216933499,"DAVIS, ET AL #1"
4216933496,JOHN UNIT WATERFLOOD #1
4216933488,JOHN UNIT WATERFLOOD #6
4216933484,JOHN UNIT WATERFLOOD #7
4216933481,JOHN UNIT WATERFLOOD #25
4216933467,JOHN UNIT WATERFLOOD #4
4216933466,JOHN UNIT WATERFLOOD #5
4216933465,JOHN UNIT WATERFLOOD #3
4216933454,JOHN UNIT WATERFLOOD #2
4216933342,JOHN UNIT WATERFLOOD #15
4216933341,JOHN UNIT WATERFLOOD #13
4216933320,JOHN UNIT WATERFLOOD #14
4216933298,JACK #1
4216933042,JOHN UNIT WATERFLOOD #12
4216932450,SLAUGHTER #4
4216932268,SLAUGHTER #3
4216932061,SLAUGHTER #2
4216931953,SLAUGHTER #1
4216910026,DAVIS #1
4216910025,DAVIS #2
4215780893,"MOORE, J. M. #43"
4215780299,"MOORE, J. M., ETAL #155"
4215733165,ROONEY #2
4215732989,FULLER #1
4215732988,ROONEY #1
4215732880,MELTON #1
4215732755,GEORGE FOUNDATION #1
4215732632,HIGHLAND #1
4215732516,PERRY #1
4215732456,DYER UNIT #10
4215732406,DYER UNIT #9
4215732379,DYER #7
4215732357,KUJAWA UNIT #1X
4215732316,DYER #8
4215732308,MUELLER #1
4215732273,AMERICAN BRECO UNIT #3XD
4215732270,AMERICAN BRECO #5
4215732203,HILMAR #2
4215732196,"MOORE, J. M. ET AL #225"
4215732190,CROMER UNIT #2
4215732184,"DYER ""E"" UNIT #6"
4215732173,DYER SWD #2
4215732170,CROMER UNIT #1
4215732155,"MOORE, J. M. ET AL #219"
4215732150,LOTTIE #1
4215732123,"DYER ""D"" #5"
4215732074,"AMERICAN BRECO ""B"" #4"
4215732063,BRECO-DYER #1
4215732039,AMERICAN BRECO #2
4215732036,"DYER ""A"" #2"
4215732035,DYER #1
4215731880,"MOORE, J. M. ET AL #218"
4215731844,"MOORE, J. M., ETAL #215"
4215731819,"MOORE, J. M., ETAL #216"
4215731804,"MOORE, J.M. ET AL #206"
4215731780,"MOORE, J.M. ET AL #213"
4215731776,"MOORE, J. M. ET AL #214"
4215731756,"MOORE, J. M. ET AL #210"
4215731753,"MOORE, J. M. ET AL #207"
4215731732,"MOORE, J. M. ET AL #209"
4215731630,MOORE #13
4215731628,"MOORE, J. M. ET AL #208ST"
4215731611,"MOORE, J. M. ET AL #204"
4215731609,"MOORE, J. M. ET AL #203"
4215731602,"MOORE, J. M. ET AL #200"
4215731577,"MOORE, J. M., ETAL #202 L"
4215731576,"MOORE, J. M. ET AL #201"
4215731545,"MOORE, J. M. ETAL #199"
4215731543,"MOORE, J. M. ET AL #198"
4215731534,"MOORE, J.M. ETAL #197"
4215731526,"MOORE, J.M. #196"
4215731522,"MOORE, J. M. ET AL #195"
4215731508,"MOORE, J. M. ET AL #193"
4215731507,"MOORE, J.M. #194"
4215731468,"MOORE, J.M. #192"
4215731453,"MOORE, J. M. #189"
4215731451,"MOORE, J. M. ET AL #190"
4215731450,"MOORE, J. M. ET AL #191"
4215731418,"MOORE, J. M., ETAL #187"
4215731395,MOORE #12 U
4215731387,MOORE #11
4215731373,MOORE #9C
4215731368,MOORE #10
4215731350,MOORE #8
4215731308,MOORE #7
4215731299,MOORE #6
4215731282,MOORE #5
4215731281,MOORE #4
4215731278,MOORE #3 T
4215731252,MOORE #2
4215731200,MOORE #1
4215730247,"MOORE, J. M. ET AL #184"
4215730201,"MOORE, J. M., ETAL #182"
4215730199,"MOORE, J. M., ETAL #181"
4215730198,"MOORE, J. M., ETAL #180"
4215730176,"MOORE, J. M. ET AL #178"
4215730068,"MOORE, J. M. ET AL #177"
4215730054,"MOORE, J. M., ETAL #175 L"
4215730053,"MOORE, J. M., ETAL #176"
4215730006,"MOORE, J. M. ET AL #174"
4215703024,"MOORE, J. M. ET AL #169"
4215703022,"MOORE, J. M. ET AL #168"
4215703012,"MOORE, J. M. ET AL #166"
4215703011,"MOORE, J. M. ET AL #167"
4215703009,"MOORE, J. M., ETAL #163"
4215702966,"MOORE, J. M. ETAL #159"
4215702965,"MOORE, J. M., ETAL #158"
4215702957,"MOORE, J. M., ETAL #157 D"
4215702949,"MOORE, J. M. ET AL #114"
4215702941,"MOORE, J. M., ETAL #153"
4215702905,"MOORE, J. M., ETAL #152"
4215702904,"MOORE, J. M., ETAL #151"
4215702824,"MOORE, J. M., ETAL #150 U"
4215702823,"MOORE, J. M., ETAL #149 U"
4215702799,"MOORE, J. M., ET AL #66"
4215701279,"MOORE, J. M. ET AL #144"
4215701276,"MOORE, J. M. ET AL #141"
4215701275,"MOORE, J. M. ET AL #140"
4215701274,"MOORE, J. M. ET AL #139"
4215701273,"MOORE, J. M. ET AL #138"
4215701270,"MOORE, J. M. ET AL #135"
4215701269,"MOORE, J. M. ET AL #134"
4215701267,"MOORE, J. M. ET AL #132"
4215701259,"MOORE, J. M., ET AL #124"
4215701256,"MOORE, J. M., ET AL #121"
4215701254,"MOORE, J. M., ET AL #119"
4215701250,"MOORE, J. M., ETAL #115"
4215701247,"MOORE, J. M., ET AL #112"
4215701243,"MOORE, J. M., ETAL #108 L"
4215701240,"MOORE, J. M. ET AL #105"
